آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,15,14,1,93.3,6.7,14.0,2018-01-13_2018-02-11|2018-08-11_2018-09-09|2019-03-13_2019-04-11|2019-06-13_2019-07-12|2021-01-14_2021-02-12|2021-03-11_2021-04-09|2021-08-12_2021-09-10|2022-03-11_2022-04-09|2023-01-13_2023-02-11|2023-09-14_2023-10-13|2024-11-14_2024-12-13|2024-12-12_2025-01-10|2025-01-16_2025-02-14|2025-08-13_2025-09-11|2026-01-14_2026-02-12
0.0,1,CPI m/m,Good,14,12,2,85.7,14.3,6.0,2018-05-11_2018-06-09|2018-07-13_2018-08-11|2018-10-12_2018-11-10|2019-02-14_2019-03-15|2020-02-14_2020-03-14|2020-04-11_2020-05-10|2020-05-13_2020-06-11|2020-06-11_2020-07-10|2023-06-14_2023-07-13|2024-05-16_2024-06-14|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-10-25_2025-11-23|2026-02-14_2026-03-15
0.0,1,CPI m/m,Bad,15,11,4,73.3,26.7,2.75,2019-07-12_2019-08-10|2019-11-14_2019-12-13|2019-12-12_2020-01-10|2020-12-11_2021-01-09|2021-05-13_2021-06-11|2021-07-14_2021-08-12|2021-12-11_2022-01-09|2022-01-13_2022-02-11|2022-02-11_2022-03-12|2022-06-11_2022-07-10|2022-07-14_2022-08-12|2022-09-14_2022-10-13|2023-12-13_2024-01-11|2024-04-11_2024-05-10|2025-09-12_2025-10-11
0.1,1,CPI m/m,Neutral,30,25,5,83.3,16.7,5.0,2018-01-13_2018-02-11|2018-05-11_2018-06-09|2018-07-13_2018-08-11|2018-08-11_2018-09-09|2018-10-12_2018-11-10|2019-02-14_2019-03-15|2019-03-13_2019-04-11|2019-06-13_2019-07-12|2019-07-12_2019-08-10|2019-12-12_2020-01-10|2020-02-14_2020-03-14|2020-06-11_2020-07-10|2020-12-11_2021-01-09|2021-01-14_2021-02-12|2021-03-11_2021-04-09|2021-08-12_2021-09-10|2022-01-13_2022-02-11|2022-03-11_2022-04-09|2023-01-13_2023-02-11|2023-06-14_2023-07-13|2023-09-14_2023-10-13|2023-12-13_2024-01-11|2024-11-14_2024-12-13|2024-12-12_2025-01-10|2025-01-16_2025-02-14|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-08-13_2025-09-11|2026-01-14_2026-02-12|2026-02-14_2026-03-15
0.1,1,CPI m/m,Bad,10,9,1,90.0,10.0,9.0,2019-11-14_2019-12-13|2021-05-13_2021-06-11|2021-07-14_2021-08-12|2021-12-11_2022-01-09|2022-02-11_2022-03-12|2022-06-11_2022-07-10|2022-07-14_2022-08-12|2022-09-14_2022-10-13|2024-04-11_2024-05-10|2025-09-12_2025-10-11
0.1,1,CPI m/m,Good,4,3,1,75.0,25.0,3.0,2020-04-11_2020-05-10|2020-05-13_2020-06-11|2024-05-16_2024-06-14|2025-10-25_2025-11-23
0.2,1,CPI m/m,Neutral,41,34,7,82.9,17.1,4.86,2018-01-13_2018-02-11|2018-05-11_2018-06-09|2018-07-13_2018-08-11|2018-08-11_2018-09-09|2018-10-12_2018-11-10|2019-02-14_2019-03-15|2019-03-13_2019-04-11|2019-06-13_2019-07-12|2019-07-12_2019-08-10|2019-11-14_2019-12-13|2019-12-12_2020-01-10|2020-02-14_2020-03-14|2020-04-11_2020-05-10|2020-05-13_2020-06-11|2020-06-11_2020-07-10|2020-12-11_2021-01-09|2021-01-14_2021-02-12|2021-03-11_2021-04-09|2021-08-12_2021-09-10|2021-12-11_2022-01-09|2022-01-13_2022-02-11|2022-02-11_2022-03-12|2022-03-11_2022-04-09|2022-07-14_2022-08-12|2022-09-14_2022-10-13|2023-01-13_2023-02-11|2023-06-14_2023-07-13|2023-09-14_2023-10-13|2023-12-13_2024-01-11|2024-04-11_2024-05-10|2024-05-16_2024-06-14|2024-11-14_2024-12-13|2024-12-12_2025-01-10|2025-01-16_2025-02-14|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-08-13_2025-09-11|2025-09-12_2025-10-11|2025-10-25_2025-11-23|2026-01-14_2026-02-12|2026-02-14_2026-03-15
0.2,1,CPI m/m,Bad,3,3,0,100.0,0.0,inf,2021-05-13_2021-06-11|2021-07-14_2021-08-12|2022-06-11_2022-07-10
0.3,1,CPI m/m,Neutral,41,34,7,82.9,17.1,4.86,2018-01-13_2018-02-11|2018-05-11_2018-06-09|2018-07-13_2018-08-11|2018-08-11_2018-09-09|2018-10-12_2018-11-10|2019-02-14_2019-03-15|2019-03-13_2019-04-11|2019-06-13_2019-07-12|2019-07-12_2019-08-10|2019-11-14_2019-12-13|2019-12-12_2020-01-10|2020-02-14_2020-03-14|2020-04-11_2020-05-10|2020-05-13_2020-06-11|2020-06-11_2020-07-10|2020-12-11_2021-01-09|2021-01-14_2021-02-12|2021-03-11_2021-04-09|2021-08-12_2021-09-10|2021-12-11_2022-01-09|2022-01-13_2022-02-11|2022-02-11_2022-03-12|2022-03-11_2022-04-09|2022-07-14_2022-08-12|2022-09-14_2022-10-13|2023-01-13_2023-02-11|2023-06-14_2023-07-13|2023-09-14_2023-10-13|2023-12-13_2024-01-11|2024-04-11_2024-05-10|2024-05-16_2024-06-14|2024-11-14_2024-12-13|2024-12-12_2025-01-10|2025-01-16_2025-02-14|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-08-13_2025-09-11|2025-09-12_2025-10-11|2025-10-25_2025-11-23|2026-01-14_2026-02-12|2026-02-14_2026-03-15
0.3,1,CPI m/m,Bad,3,3,0,100.0,0.0,inf,2021-05-13_2021-06-11|2021-07-14_2021-08-12|2022-06-11_2022-07-10
