آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Good,15,12,3,80.0,20.0,4.0,2018-01-12_2018-01-21|2018-08-10_2018-08-19|2019-03-14_2019-03-23|2019-12-13_2019-12-22|2020-05-14_2020-05-23|2020-12-12_2020-12-21|2022-03-16_2022-03-25|2022-06-15_2022-06-24|2022-07-15_2022-07-24|2023-12-14_2023-12-23|2025-01-15_2025-01-24|2025-05-16_2025-05-25|2025-06-13_2025-06-22|2025-09-11_2025-09-20|2025-11-26_2025-12-05
0.0,1,Core PPI m/m,Neutral,14,13,1,92.9,7.1,13.0,2018-05-10_2018-05-19|2018-10-11_2018-10-20|2019-06-12_2019-06-21|2020-06-12_2020-06-21|2021-01-16_2021-01-25|2021-03-13_2021-03-22|2022-01-14_2022-01-23|2023-01-19_2023-01-28|2023-06-15_2023-06-24|2023-09-15_2023-09-24|2024-04-12_2024-04-21|2024-11-15_2024-11-24|2024-12-13_2024-12-22|2026-01-15_2026-01-24
0.0,1,Core PPI m/m,Bad,15,12,3,80.0,20.0,4.0,2018-07-12_2018-07-21|2019-02-15_2019-02-24|2019-07-13_2019-07-22|2019-11-15_2019-11-24|2020-02-20_2020-02-29|2020-04-10_2020-04-19|2021-05-14_2021-05-23|2021-07-15_2021-07-24|2021-08-13_2021-08-22|2021-12-15_2021-12-24|2022-02-16_2022-02-25|2022-09-15_2022-09-24|2024-05-15_2024-05-24|2025-08-15_2025-08-24|2026-02-28_2026-03-09
0.1,1,Core PPI m/m,Good,9,6,3,66.7,33.3,2.0,2018-01-12_2018-01-21|2019-12-13_2019-12-22|2020-05-14_2020-05-23|2022-03-16_2022-03-25|2023-12-14_2023-12-23|2025-01-15_2025-01-24|2025-05-16_2025-05-25|2025-06-13_2025-06-22|2025-09-11_2025-09-20
0.1,1,Core PPI m/m,Neutral,24,22,2,91.7,8.3,11.0,2018-05-10_2018-05-19|2018-07-12_2018-07-21|2018-08-10_2018-08-19|2018-10-11_2018-10-20|2019-02-15_2019-02-24|2019-03-14_2019-03-23|2019-06-12_2019-06-21|2019-07-13_2019-07-22|2019-11-15_2019-11-24|2020-06-12_2020-06-21|2020-12-12_2020-12-21|2021-01-16_2021-01-25|2021-03-13_2021-03-22|2022-01-14_2022-01-23|2022-06-15_2022-06-24|2022-07-15_2022-07-24|2023-01-19_2023-01-28|2023-06-15_2023-06-24|2023-09-15_2023-09-24|2024-04-12_2024-04-21|2024-11-15_2024-11-24|2024-12-13_2024-12-22|2025-11-26_2025-12-05|2026-01-15_2026-01-24
0.1,1,Core PPI m/m,Bad,11,9,2,81.8,18.2,4.5,2020-02-20_2020-02-29|2020-04-10_2020-04-19|2021-05-14_2021-05-23|2021-07-15_2021-07-24|2021-08-13_2021-08-22|2021-12-15_2021-12-24|2022-02-16_2022-02-25|2022-09-15_2022-09-24|2024-05-15_2024-05-24|2025-08-15_2025-08-24|2026-02-28_2026-03-09
0.2,1,Core PPI m/m,Good,5,5,0,100.0,0.0,inf,2018-01-12_2018-01-21|2019-12-13_2019-12-22|2022-03-16_2022-03-25|2025-05-16_2025-05-25|2025-09-11_2025-09-20
0.2,1,Core PPI m/m,Neutral,30,25,5,83.3,16.7,5.0,2018-05-10_2018-05-19|2018-07-12_2018-07-21|2018-08-10_2018-08-19|2018-10-11_2018-10-20|2019-02-15_2019-02-24|2019-03-14_2019-03-23|2019-06-12_2019-06-21|2019-07-13_2019-07-22|2019-11-15_2019-11-24|2020-04-10_2020-04-19|2020-05-14_2020-05-23|2020-06-12_2020-06-21|2020-12-12_2020-12-21|2021-01-16_2021-01-25|2021-03-13_2021-03-22|2022-01-14_2022-01-23|2022-06-15_2022-06-24|2022-07-15_2022-07-24|2022-09-15_2022-09-24|2023-01-19_2023-01-28|2023-06-15_2023-06-24|2023-09-15_2023-09-24|2023-12-14_2023-12-23|2024-04-12_2024-04-21|2024-11-15_2024-11-24|2024-12-13_2024-12-22|2025-01-15_2025-01-24|2025-06-13_2025-06-22|2025-11-26_2025-12-05|2026-01-15_2026-01-24
0.2,1,Core PPI m/m,Bad,9,7,2,77.8,22.2,3.5,2020-02-20_2020-02-29|2021-05-14_2021-05-23|2021-07-15_2021-07-24|2021-08-13_2021-08-22|2021-12-15_2021-12-24|2022-02-16_2022-02-25|2024-05-15_2024-05-24|2025-08-15_2025-08-24|2026-02-28_2026-03-09
0.3,1,Core PPI m/m,Good,5,5,0,100.0,0.0,inf,2018-01-12_2018-01-21|2019-12-13_2019-12-22|2022-03-16_2022-03-25|2025-05-16_2025-05-25|2025-09-11_2025-09-20
0.3,1,Core PPI m/m,Neutral,34,27,7,79.4,20.6,3.86,2018-05-10_2018-05-19|2018-07-12_2018-07-21|2018-08-10_2018-08-19|2018-10-11_2018-10-20|2019-02-15_2019-02-24|2019-03-14_2019-03-23|2019-06-12_2019-06-21|2019-07-13_2019-07-22|2019-11-15_2019-11-24|2020-02-20_2020-02-29|2020-04-10_2020-04-19|2020-05-14_2020-05-23|2020-06-12_2020-06-21|2020-12-12_2020-12-21|2021-01-16_2021-01-25|2021-03-13_2021-03-22|2021-05-14_2021-05-23|2021-12-15_2021-12-24|2022-01-14_2022-01-23|2022-06-15_2022-06-24|2022-07-15_2022-07-24|2022-09-15_2022-09-24|2023-01-19_2023-01-28|2023-06-15_2023-06-24|2023-09-15_2023-09-24|2023-12-14_2023-12-23|2024-04-12_2024-04-21|2024-05-15_2024-05-24|2024-11-15_2024-11-24|2024-12-13_2024-12-22|2025-01-15_2025-01-24|2025-06-13_2025-06-22|2025-11-26_2025-12-05|2026-01-15_2026-01-24
0.3,1,Core PPI m/m,Bad,5,5,0,100.0,0.0,inf,2021-07-15_2021-07-24|2021-08-13_2021-08-22|2022-02-16_2022-02-25|2025-08-15_2025-08-24|2026-02-28_2026-03-09
