آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core CPI m/m,Bad,8,7,1,87.5,12.5,7.0,2021-05-13_2021-05-17|2021-11-11_2021-11-15|2022-01-13_2022-01-17|2022-07-14_2022-07-18|2024-03-13_2024-03-17|2024-04-11_2024-04-15|2024-09-12_2024-09-16|2025-02-13_2025-02-17
0.0,1,Core CPI m/m,Good,10,9,1,90.0,10.0,9.0,2021-08-12_2021-08-16|2021-09-15_2021-09-19|2024-07-12_2024-07-16|2025-01-16_2025-01-20|2025-03-13_2025-03-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2025-10-25_2025-10-29
0.0,1,Core CPI m/m,Neutral,11,6,5,54.5,45.5,1.2,2021-10-14_2021-10-18|2021-12-11_2021-12-15|2022-03-11_2022-03-15|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-05-16_2024-05-20|2024-11-14_2024-11-18|2024-12-12_2024-12-16|2025-08-13_2025-08-17|2025-09-12_2025-09-16|2026-02-14_2026-02-18
0.1,1,Core CPI m/m,Bad,6,5,1,83.3,16.7,5.0,2021-05-13_2021-05-17|2021-11-11_2021-11-15|2022-07-14_2022-07-18|2024-03-13_2024-03-17|2024-04-11_2024-04-15|2025-02-13_2025-02-17
0.1,1,Core CPI m/m,Good,4,4,0,100.0,0.0,inf,2021-08-12_2021-08-16|2021-09-15_2021-09-19|2025-04-11_2025-04-15|2025-06-12_2025-06-16
0.1,1,Core CPI m/m,Neutral,19,13,6,68.4,31.6,2.17,2021-10-14_2021-10-18|2021-12-11_2021-12-15|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-05-16_2024-05-20|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2024-11-14_2024-11-18|2024-12-12_2024-12-16|2025-01-16_2025-01-20|2025-03-13_2025-03-17|2025-05-14_2025-05-18|2025-07-16_2025-07-20|2025-08-13_2025-08-17|2025-09-12_2025-09-16|2025-10-25_2025-10-29|2026-02-14_2026-02-18
0.2,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-05-13_2021-05-17
0.2,1,Core CPI m/m,Neutral,28,21,7,75.0,25.0,3.0,2021-08-12_2021-08-16|2021-09-15_2021-09-19|2021-10-14_2021-10-18|2021-11-11_2021-11-15|2021-12-11_2021-12-15|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2022-07-14_2022-07-18|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-03-13_2024-03-17|2024-04-11_2024-04-15|2024-05-16_2024-05-20|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2024-11-14_2024-11-18|2024-12-12_2024-12-16|2025-01-16_2025-01-20|2025-02-13_2025-02-17|2025-03-13_2025-03-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2025-08-13_2025-08-17|2025-09-12_2025-09-16|2025-10-25_2025-10-29|2026-02-14_2026-02-18
0.3,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-05-13_2021-05-17
0.3,1,Core CPI m/m,Neutral,28,21,7,75.0,25.0,3.0,2021-08-12_2021-08-16|2021-09-15_2021-09-19|2021-10-14_2021-10-18|2021-11-11_2021-11-15|2021-12-11_2021-12-15|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2022-07-14_2022-07-18|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-03-13_2024-03-17|2024-04-11_2024-04-15|2024-05-16_2024-05-20|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2024-11-14_2024-11-18|2024-12-12_2024-12-16|2025-01-16_2025-01-20|2025-02-13_2025-02-17|2025-03-13_2025-03-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2025-08-13_2025-08-17|2025-09-12_2025-09-16|2025-10-25_2025-10-29|2026-02-14_2026-02-18
