آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,6,4,2,66.7,33.3,2.0,2018-07-05_2018-07-14|2019-05-01_2019-05-10|2022-08-03_2022-08-12|2024-06-03_2024-06-12|2024-07-03_2024-07-12|2025-04-09_2025-04-18
0.0,1,CPI m/m,Bad,6,6,0,100.0,0.0,inf,2019-12-07_2019-12-16|2020-03-06_2020-03-15|2020-09-02_2020-09-11|2022-06-04_2022-06-13|2022-09-12_2022-09-21|2024-10-01_2024-10-10
0.0,1,CPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2020-10-12_2020-10-21|2021-08-08_2021-08-17|2022-03-06_2022-03-15|2023-02-09_2023-02-18|2023-03-11_2023-03-20|2023-05-10_2023-05-19
0.1,1,CPI m/m,Neutral,11,8,3,72.7,27.3,2.67,2018-07-05_2018-07-14|2019-12-07_2019-12-16|2020-03-06_2020-03-15|2020-10-12_2020-10-21|2021-08-08_2021-08-17|2022-03-06_2022-03-15|2023-02-09_2023-02-18|2023-03-11_2023-03-20|2023-05-10_2023-05-19|2024-06-03_2024-06-12|2024-10-01_2024-10-10
0.1,1,CPI m/m,Good,4,3,1,75.0,25.0,3.0,2019-05-01_2019-05-10|2022-08-03_2022-08-12|2024-07-03_2024-07-12|2025-04-09_2025-04-18
0.1,1,CPI m/m,Bad,3,3,0,100.0,0.0,inf,2020-09-02_2020-09-11|2022-06-04_2022-06-13|2022-09-12_2022-09-21
0.2,1,CPI m/m,Neutral,17,13,4,76.5,23.5,3.25,2018-07-05_2018-07-14|2019-05-01_2019-05-10|2019-12-07_2019-12-16|2020-03-06_2020-03-15|2020-09-02_2020-09-11|2020-10-12_2020-10-21|2021-08-08_2021-08-17|2022-03-06_2022-03-15|2022-08-03_2022-08-12|2022-09-12_2022-09-21|2023-02-09_2023-02-18|2023-03-11_2023-03-20|2023-05-10_2023-05-19|2024-06-03_2024-06-12|2024-07-03_2024-07-12|2024-10-01_2024-10-10|2025-04-09_2025-04-18
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-06-04_2022-06-13
0.3,1,CPI m/m,Neutral,17,13,4,76.5,23.5,3.25,2018-07-05_2018-07-14|2019-05-01_2019-05-10|2019-12-07_2019-12-16|2020-03-06_2020-03-15|2020-09-02_2020-09-11|2020-10-12_2020-10-21|2021-08-08_2021-08-17|2022-03-06_2022-03-15|2022-08-03_2022-08-12|2022-09-12_2022-09-21|2023-02-09_2023-02-18|2023-03-11_2023-03-20|2023-05-10_2023-05-19|2024-06-03_2024-06-12|2024-07-03_2024-07-12|2024-10-01_2024-10-10|2025-04-09_2025-04-18
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-06-04_2022-06-13
0.0,1,Core CPI m/m,Neutral,6,6,0,100.0,0.0,inf,2018-07-05_2018-07-14|2019-12-07_2019-12-16|2020-03-06_2020-03-15|2020-10-12_2020-10-21|2022-03-06_2022-03-15|2023-02-09_2023-02-18
0.0,1,Core CPI m/m,Good,6,3,3,50.0,50.0,1.0,2019-05-01_2019-05-10|2021-08-08_2021-08-17|2022-08-03_2022-08-12|2024-06-03_2024-06-12|2024-07-03_2024-07-12|2025-04-09_2025-04-18
0.0,1,Core CPI m/m,Bad,6,5,1,83.3,16.7,5.0,2020-09-02_2020-09-11|2022-06-04_2022-06-13|2022-09-12_2022-09-21|2023-03-11_2023-03-20|2023-05-10_2023-05-19|2024-10-01_2024-10-10
0.1,1,Core CPI m/m,Neutral,12,11,1,91.7,8.3,11.0,2018-07-05_2018-07-14|2019-05-01_2019-05-10|2019-12-07_2019-12-16|2020-03-06_2020-03-15|2020-10-12_2020-10-21|2022-03-06_2022-03-15|2022-06-04_2022-06-13|2023-02-09_2023-02-18|2023-03-11_2023-03-20|2024-06-03_2024-06-12|2024-07-03_2024-07-12|2024-10-01_2024-10-10
0.1,1,Core CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2020-09-02_2020-09-11|2022-09-12_2022-09-21|2023-05-10_2023-05-19
0.1,1,Core CPI m/m,Good,3,1,2,33.3,66.7,0.5,2021-08-08_2021-08-17|2022-08-03_2022-08-12|2025-04-09_2025-04-18
0.2,1,Core CPI m/m,Neutral,17,13,4,76.5,23.5,3.25,2018-07-05_2018-07-14|2019-05-01_2019-05-10|2019-12-07_2019-12-16|2020-03-06_2020-03-15|2020-09-02_2020-09-11|2020-10-12_2020-10-21|2021-08-08_2021-08-17|2022-03-06_2022-03-15|2022-06-04_2022-06-13|2022-08-03_2022-08-12|2023-02-09_2023-02-18|2023-03-11_2023-03-20|2023-05-10_2023-05-19|2024-06-03_2024-06-12|2024-07-03_2024-07-12|2024-10-01_2024-10-10|2025-04-09_2025-04-18
0.2,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-09-12_2022-09-21
0.3,1,Core CPI m/m,Neutral,18,14,4,77.8,22.2,3.5,2018-07-05_2018-07-14|2019-05-01_2019-05-10|2019-12-07_2019-12-16|2020-03-06_2020-03-15|2020-09-02_2020-09-11|2020-10-12_2020-10-21|2021-08-08_2021-08-17|2022-03-06_2022-03-15|2022-06-04_2022-06-13|2022-08-03_2022-08-12|2022-09-12_2022-09-21|2023-02-09_2023-02-18|2023-03-11_2023-03-20|2023-05-10_2023-05-19|2024-06-03_2024-06-12|2024-07-03_2024-07-12|2024-10-01_2024-10-10|2025-04-09_2025-04-18
0.0,1,PPI m/m,Bad,11,9,2,81.8,18.2,4.5,2018-07-05_2018-07-14|2018-11-02_2018-11-11|2019-04-11_2019-04-20|2020-09-02_2020-09-11|2020-10-12_2020-10-21|2021-03-11_2021-03-20|2021-08-08_2021-08-17|2022-07-14_2022-07-23|2022-12-01_2022-12-10|2023-02-09_2023-02-18|2024-07-03_2024-07-12
0.0,1,PPI m/m,Neutral,5,5,0,100.0,0.0,inf,2019-05-01_2019-05-10|2020-12-11_2020-12-20|2022-06-14_2022-06-23|2022-09-12_2022-09-21|2026-01-14_2026-01-23
0.0,1,PPI m/m,Good,7,5,2,71.4,28.6,2.5,2019-12-07_2019-12-16|2020-03-06_2020-03-15|2022-03-06_2022-03-15|2022-08-03_2022-08-12|2023-03-11_2023-03-20|2023-05-10_2023-05-19|2025-04-09_2025-04-18
0.1,1,PPI m/m,Neutral,11,9,2,81.8,18.2,4.5,2018-07-05_2018-07-14|2019-05-01_2019-05-10|2020-09-02_2020-09-11|2020-12-11_2020-12-20|2021-03-11_2021-03-20|2022-06-14_2022-06-23|2022-09-12_2022-09-21|2022-12-01_2022-12-10|2023-05-10_2023-05-19|2024-07-03_2024-07-12|2026-01-14_2026-01-23
