آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,16,9,7,56.2,43.8,1.29,2018-08-11_2018-08-15|2019-01-12_2019-01-16|2019-08-14_2019-08-18|2020-01-15_2020-01-19|2021-01-14_2021-01-18|2022-03-11_2022-03-15|2022-04-13_2022-04-17|2023-01-13_2023-01-17|2023-02-15_2023-02-19|2023-03-15_2023-03-19|2023-05-11_2023-05-15|2023-09-14_2023-09-18|2024-03-13_2024-03-17|2024-08-15_2024-08-19|2024-09-12_2024-09-16|2024-11-14_2024-11-18
0.0,1,CPI m/m,Good,12,10,2,83.3,16.7,5.0,2018-09-14_2018-09-18|2019-10-11_2019-10-15|2020-02-14_2020-02-18|2020-05-13_2020-05-17|2022-08-11_2022-08-15|2022-11-11_2022-11-15|2022-12-14_2022-12-18|2023-11-15_2023-11-19|2024-05-16_2024-05-20|2025-04-11_2025-04-15|2025-10-25_2025-10-29|2026-02-14_2026-02-18
0.0,1,CPI m/m,Bad,14,10,4,71.4,28.6,2.5,2020-07-15_2020-07-19|2020-08-13_2020-08-17|2020-09-12_2020-09-16|2021-04-14_2021-04-18|2021-05-13_2021-05-17|2021-07-14_2021-07-18|2021-10-14_2021-10-18|2022-01-13_2022-01-17|2022-05-12_2022-05-16|2022-09-14_2022-09-18|2022-10-14_2022-10-18|2023-10-13_2023-10-17|2024-01-12_2024-01-16|2024-10-11_2024-10-15
0.1,1,CPI m/m,Neutral,27,16,11,59.3,40.7,1.45,2018-08-11_2018-08-15|2018-09-14_2018-09-18|2019-01-12_2019-01-16|2019-08-14_2019-08-18|2019-10-11_2019-10-15|2020-01-15_2020-01-19|2020-02-14_2020-02-18|2020-07-15_2020-07-19|2021-01-14_2021-01-18|2021-04-14_2021-04-18|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2022-04-13_2022-04-17|2022-05-12_2022-05-16|2023-01-13_2023-01-17|2023-02-15_2023-02-19|2023-03-15_2023-03-19|2023-05-11_2023-05-15|2023-09-14_2023-09-18|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2024-03-13_2024-03-17|2024-08-15_2024-08-19|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2026-02-14_2026-02-18
0.1,1,CPI m/m,Good,7,6,1,85.7,14.3,6.0,2020-05-13_2020-05-17|2022-08-11_2022-08-15|2022-11-11_2022-11-15|2022-12-14_2022-12-18|2024-05-16_2024-05-20|2025-04-11_2025-04-15|2025-10-25_2025-10-29
0.1,1,CPI m/m,Bad,8,7,1,87.5,12.5,7.0,2020-08-13_2020-08-17|2020-09-12_2020-09-16|2021-05-13_2021-05-17|2021-07-14_2021-07-18|2021-10-14_2021-10-18|2022-09-14_2022-09-18|2022-10-14_2022-10-18|2023-10-13_2023-10-17
0.2,1,CPI m/m,Neutral,39,26,13,66.7,33.3,2.0,2018-08-11_2018-08-15|2018-09-14_2018-09-18|2019-01-12_2019-01-16|2019-08-14_2019-08-18|2019-10-11_2019-10-15|2020-01-15_2020-01-19|2020-02-14_2020-02-18|2020-05-13_2020-05-17|2020-07-15_2020-07-19|2020-09-12_2020-09-16|2021-01-14_2021-01-18|2021-04-14_2021-04-18|2021-10-14_2021-10-18|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2022-04-13_2022-04-17|2022-05-12_2022-05-16|2022-08-11_2022-08-15|2022-09-14_2022-09-18|2022-10-14_2022-10-18|2022-11-11_2022-11-15|2022-12-14_2022-12-18|2023-01-13_2023-01-17|2023-02-15_2023-02-19|2023-03-15_2023-03-19|2023-05-11_2023-05-15|2023-09-14_2023-09-18|2023-10-13_2023-10-17|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2024-03-13_2024-03-17|2024-05-16_2024-05-20|2024-08-15_2024-08-19|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2025-04-11_2025-04-15|2025-10-25_2025-10-29|2026-02-14_2026-02-18
0.2,1,CPI m/m,Bad,3,3,0,100.0,0.0,inf,2020-08-13_2020-08-17|2021-05-13_2021-05-17|2021-07-14_2021-07-18
0.3,1,CPI m/m,Neutral,40,27,13,67.5,32.5,2.08,2018-08-11_2018-08-15|2018-09-14_2018-09-18|2019-01-12_2019-01-16|2019-08-14_2019-08-18|2019-10-11_2019-10-15|2020-01-15_2020-01-19|2020-02-14_2020-02-18|2020-05-13_2020-05-17|2020-07-15_2020-07-19|2020-08-13_2020-08-17|2020-09-12_2020-09-16|2021-01-14_2021-01-18|2021-04-14_2021-04-18|2021-10-14_2021-10-18|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2022-04-13_2022-04-17|2022-05-12_2022-05-16|2022-08-11_2022-08-15|2022-09-14_2022-09-18|2022-10-14_2022-10-18|2022-11-11_2022-11-15|2022-12-14_2022-12-18|2023-01-13_2023-01-17|2023-02-15_2023-02-19|2023-03-15_2023-03-19|2023-05-11_2023-05-15|2023-09-14_2023-09-18|2023-10-13_2023-10-17|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2024-03-13_2024-03-17|2024-05-16_2024-05-20|2024-08-15_2024-08-19|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2025-04-11_2025-04-15|2025-10-25_2025-10-29|2026-02-14_2026-02-18
0.3,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-05-13_2021-05-17|2021-07-14_2021-07-18
