آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Neutral,3,1,2,33.3,66.7,0.5,2018-02-15_2018-02-19|2019-07-12_2019-07-16|2022-05-12_2022-05-16
0.0,1,PPI m/m,Bad,13,10,3,76.9,23.1,3.33,2018-06-13_2018-06-17|2019-04-11_2019-04-15|2020-06-11_2020-06-15|2020-11-13_2020-11-17|2021-06-11_2021-06-15|2021-07-14_2021-07-18|2021-12-11_2021-12-15|2022-02-11_2022-02-15|2023-02-15_2023-02-19|2023-08-11_2023-08-15|2024-03-13_2024-03-17|2024-12-12_2024-12-16|2025-08-13_2025-08-17
0.0,1,PPI m/m,Good,13,10,3,76.9,23.1,3.33,2019-01-12_2019-01-16|2019-02-14_2019-02-18|2019-12-12_2019-12-16|2020-05-13_2020-05-17|2021-10-14_2021-10-18|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2022-08-11_2022-08-15|2023-07-13_2023-07-17|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2024-06-13_2024-06-17|2024-10-11_2024-10-15
0.1,1,PPI m/m,Neutral,9,7,2,77.8,22.2,3.5,2018-02-15_2018-02-19|2019-01-12_2019-01-16|2019-07-12_2019-07-16|2020-11-13_2020-11-17|2021-10-14_2021-10-18|2022-05-12_2022-05-16|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2024-10-11_2024-10-15
0.1,1,PPI m/m,Bad,11,8,3,72.7,27.3,2.67,2018-06-13_2018-06-17|2019-04-11_2019-04-15|2020-06-11_2020-06-15|2021-06-11_2021-06-15|2021-07-14_2021-07-18|2021-12-11_2021-12-15|2022-02-11_2022-02-15|2023-02-15_2023-02-19|2024-03-13_2024-03-17|2024-12-12_2024-12-16|2025-08-13_2025-08-17
0.1,1,PPI m/m,Good,9,6,3,66.7,33.3,2.0,2019-02-14_2019-02-18|2019-12-12_2019-12-16|2020-05-13_2020-05-17|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2022-08-11_2022-08-15|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2024-06-13_2024-06-17
0.2,1,PPI m/m,Neutral,16,13,3,81.2,18.8,4.33,2018-02-15_2018-02-19|2018-06-13_2018-06-17|2019-01-12_2019-01-16|2019-02-14_2019-02-18|2019-07-12_2019-07-16|2019-12-12_2019-12-16|2020-11-13_2020-11-17|2021-10-14_2021-10-18|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2022-05-12_2022-05-16|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2024-01-12_2024-01-16|2024-10-11_2024-10-15|2024-12-12_2024-12-16
0.2,1,PPI m/m,Bad,9,6,3,66.7,33.3,2.0,2019-04-11_2019-04-15|2020-06-11_2020-06-15|2021-06-11_2021-06-15|2021-07-14_2021-07-18|2021-12-11_2021-12-15|2022-02-11_2022-02-15|2023-02-15_2023-02-19|2024-03-13_2024-03-17|2025-08-13_2025-08-17
0.2,1,PPI m/m,Good,4,2,2,50.0,50.0,1.0,2020-05-13_2020-05-17|2022-08-11_2022-08-15|2023-11-15_2023-11-19|2024-06-13_2024-06-17
0.3,1,PPI m/m,Neutral,19,15,4,78.9,21.1,3.75,2018-02-15_2018-02-19|2018-06-13_2018-06-17|2019-01-12_2019-01-16|2019-02-14_2019-02-18|2019-04-11_2019-04-15|2019-07-12_2019-07-16|2019-12-12_2019-12-16|2020-11-13_2020-11-17|2021-10-14_2021-10-18|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2022-05-12_2022-05-16|2023-02-15_2023-02-19|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2024-01-12_2024-01-16|2024-03-13_2024-03-17|2024-10-11_2024-10-15|2024-12-12_2024-12-16
0.3,1,PPI m/m,Good,4,2,2,50.0,50.0,1.0,2020-05-13_2020-05-17|2022-08-11_2022-08-15|2023-11-15_2023-11-19|2024-06-13_2024-06-17
0.3,1,PPI m/m,Bad,6,4,2,66.7,33.3,2.0,2020-06-11_2020-06-15|2021-06-11_2021-06-15|2021-07-14_2021-07-18|2021-12-11_2021-12-15|2022-02-11_2022-02-15|2025-08-13_2025-08-17
0.0,1,Core PPI m/m,Bad,13,9,4,69.2,30.8,2.25,2018-02-15_2018-02-19|2018-06-13_2018-06-17|2019-02-14_2019-02-18|2019-04-11_2019-04-15|2019-07-12_2019-07-16|2021-06-11_2021-06-15|2021-07-14_2021-07-18|2021-12-11_2021-12-15|2022-02-11_2022-02-15|2023-02-15_2023-02-19|2023-08-11_2023-08-15|2024-03-13_2024-03-17|2025-08-13_2025-08-17
0.0,1,Core PPI m/m,Good,12,8,4,66.7,33.3,2.0,2019-01-12_2019-01-16|2019-12-12_2019-12-16|2020-05-13_2020-05-17|2020-11-13_2020-11-17|2021-10-14_2021-10-18|2022-03-11_2022-03-15|2022-05-12_2022-05-16|2022-08-11_2022-08-15|2023-07-13_2023-07-17|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2024-06-13_2024-06-17
0.0,1,Core PPI m/m,Neutral,4,4,0,100.0,0.0,inf,2020-06-11_2020-06-15|2022-01-13_2022-01-17|2024-10-11_2024-10-15|2024-12-12_2024-12-16
0.1,1,Core PPI m/m,Bad,7,4,3,57.1,42.9,1.33,2018-02-15_2018-02-19|2021-06-11_2021-06-15|2021-07-14_2021-07-18|2021-12-11_2021-12-15|2022-02-11_2022-02-15|2023-02-15_2023-02-19|2025-08-13_2025-08-17
0.1,1,Core PPI m/m,Neutral,12,11,1,91.7,8.3,11.0,2018-06-13_2018-06-17|2019-02-14_2019-02-18|2019-04-11_2019-04-15|2019-07-12_2019-07-16|2020-06-11_2020-06-15|2020-11-13_2020-11-17|2022-01-13_2022-01-17|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2024-03-13_2024-03-17|2024-10-11_2024-10-15|2024-12-12_2024-12-16
0.1,1,Core PPI m/m,Good,10,6,4,60.0,40.0,1.5,2019-01-12_2019-01-16|2019-12-12_2019-12-16|2020-05-13_2020-05-17|2021-10-14_2021-10-18|2022-03-11_2022-03-15|2022-05-12_2022-05-16|2022-08-11_2022-08-15|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2024-06-13_2024-06-17
0.2,1,Core PPI m/m,Neutral,19,16,3,84.2,15.8,5.33,2018-02-15_2018-02-19|2018-06-13_2018-06-17|2019-02-14_2019-02-18|2019-04-11_2019-04-15|2019-07-12_2019-07-16|2020-05-13_2020-05-17|2020-06-11_2020-06-15|2020-11-13_2020-11-17|2021-06-11_2021-06-15|2022-01-13_2022-01-17|2022-05-12_2022-05-16|2022-08-11_2022-08-15|2023-02-15_2023-02-19|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2024-01-12_2024-01-16|2024-03-13_2024-03-17|2024-10-11_2024-10-15|2024-12-12_2024-12-16
0.2,1,Core PPI m/m,Good,6,3,3,50.0,50.0,1.0,2019-01-12_2019-01-16|2019-12-12_2019-12-16|2021-10-14_2021-10-18|2022-03-11_2022-03-15|2023-11-15_2023-11-19|2024-06-13_2024-06-17
0.2,1,Core PPI m/m,Bad,4,2,2,50.0,50.0,1.0,2021-07-14_2021-07-18|2021-12-11_2021-12-15|2022-02-11_2022-02-15|2025-08-13_2025-08-17
0.3,1,Core PPI m/m,Neutral,23,17,6,73.9,26.1,2.83,2018-02-15_2018-02-19|2018-06-13_2018-06-17|2019-02-14_2019-02-18|2019-04-11_2019-04-15|2019-07-12_2019-07-16|2020-05-13_2020-05-17|2020-06-11_2020-06-15|2020-11-13_2020-11-17|2021-06-11_2021-06-15|2021-10-14_2021-10-18|2021-12-11_2021-12-15|2022-01-13_2022-01-17|2022-05-12_2022-05-16|2022-08-11_2022-08-15|2023-02-15_2023-02-19|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2024-03-13_2024-03-17|2024-06-13_2024-06-17|2024-10-11_2024-10-15|2024-12-12_2024-12-16
0.3,1,Core PPI m/m,Good,3,2,1,66.7,33.3,2.0,2019-01-12_2019-01-16|2019-12-12_2019-12-16|2022-03-11_2022-03-15
0.3,1,Core PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-07-14_2021-07-18|2022-02-11_2022-02-15|2025-08-13_2025-08-17
0.0,1,FOMC,Neutral,4,2,2,50.0,50.0,1.0,2018-06-13_2018-06-17|2021-12-11_2021-12-15|2022-12-14_2022-12-18|2025-10-25_2025-10-29
0.1,1,FOMC,Neutral,4,2,2,50.0,50.0,1.0,2018-06-13_2018-06-17|2021-12-11_2021-12-15|2022-12-14_2022-12-18|2025-10-25_2025-10-29
0.2,1,FOMC,Neutral,4,2,2,50.0,50.0,1.0,2018-06-13_2018-06-17|2021-12-11_2021-12-15|2022-12-14_2022-12-18|2025-10-25_2025-10-29
0.3,1,FOMC,Neutral,4,2,2,50.0,50.0,1.0,2018-06-13_2018-06-17|2021-12-11_2021-12-15|2022-12-14_2022-12-18|2025-10-25_2025-10-29
0.0,2,PPI m/m|Core PPI m/m,Neutral|Bad,2,1,1,50.0,50.0,1.0,2018-02-15_2018-02-19|2019-07-12_2019-07-16
0.0,2,PPI m/m|Core PPI m/m,Bad|Bad,10,7,3,70.0,30.0,2.33,2018-06-13_2018-06-17|2019-04-11_2019-04-15|2021-06-11_2021-06-15|2021-07-14_2021-07-18|2021-12-11_2021-12-15|2022-02-11_2022-02-15|2023-02-15_2023-02-19|2023-08-11_2023-08-15|2024-03-13_2024-03-17|2025-08-13_2025-08-17
0.0,2,PPI m/m|Core PPI m/m,Good|Good,10,7,3,70.0,30.0,2.33,2019-01-12_2019-01-16|2019-12-12_2019-12-16|2020-05-13_2020-05-17|2021-10-14_2021-10-18|2022-03-11_2022-03-15|2022-08-11_2022-08-15|2023-07-13_2023-07-17|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2024-06-13_2024-06-17
0.0,2,PPI m/m|Core PPI m/m,Good|Bad,1,1,0,100.0,0.0,inf,2019-02-14_2019-02-18
0.0,2,PPI m/m|Core PPI m/m,Bad|Neutral,2,2,0,100.0,0.0,inf,2020-06-11_2020-06-15|2024-12-12_2024-12-16
0.0,2,PPI m/m|Core PPI m/m,Bad|Good,1,1,0,100.0,0.0,inf,2020-11-13_2020-11-17
0.0,2,PPI m/m|Core PPI m/m,Good|Neutral,2,2,0,100.0,0.0,inf,2022-01-13_2022-01-17|2024-10-11_2024-10-15
0.0,2,PPI m/m|Core PPI m/m,Neutral|Good,1,0,1,0.0,100.0,0.0,2022-05-12_2022-05-16
0.1,2,PPI m/m|Core PPI m/m,Neutral|Bad,1,0,1,0.0,100.0,0.0,2018-02-15_2018-02-19
0.1,2,PPI m/m|Core PPI m/m,Bad|Neutral,5,4,1,80.0,20.0,4.0,2018-06-13_2018-06-17|2019-04-11_2019-04-15|2020-06-11_2020-06-15|2024-03-13_2024-03-17|2024-12-12_2024-12-16
0.1,2,PPI m/m|Core PPI m/m,Neutral|Good,3,2,1,66.7,33.3,2.0,2019-01-12_2019-01-16|2021-10-14_2021-10-18|2022-05-12_2022-05-16
0.1,2,PPI m/m|Core PPI m/m,Good|Neutral,2,2,0,100.0,0.0,inf,2019-02-14_2019-02-18|2022-01-13_2022-01-17
0.1,2,PPI m/m|Core PPI m/m,Neutral|Neutral,5,5,0,100.0,0.0,inf,2019-07-12_2019-07-16|2020-11-13_2020-11-17|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2024-10-11_2024-10-15
0.1,2,PPI m/m|Core PPI m/m,Good|Good,7,4,3,57.1,42.9,1.33,2019-12-12_2019-12-16|2020-05-13_2020-05-17|2022-03-11_2022-03-15|2022-08-11_2022-08-15|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2024-06-13_2024-06-17
0.1,2,PPI m/m|Core PPI m/m,Bad|Bad,6,4,2,66.7,33.3,2.0,2021-06-11_2021-06-15|2021-07-14_2021-07-18|2021-12-11_2021-12-15|2022-02-11_2022-02-15|2023-02-15_2023-02-19|2025-08-13_2025-08-17
0.2,2,PPI m/m|Core PPI m/m,Neutral|Neutral,12,10,2,83.3,16.7,5.0,2018-02-15_2018-02-19|2018-06-13_2018-06-17|2019-02-14_2019-02-18|2019-07-12_2019-07-16|2020-11-13_2020-11-17|2022-01-13_2022-01-17|2022-05-12_2022-05-16|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2024-01-12_2024-01-16|2024-10-11_2024-10-15|2024-12-12_2024-12-16
0.2,2,PPI m/m|Core PPI m/m,Neutral|Good,4,3,1,75.0,25.0,3.0,2019-01-12_2019-01-16|2019-12-12_2019-12-16|2021-10-14_2021-10-18|2022-03-11_2022-03-15
0.2,2,PPI m/m|Core PPI m/m,Bad|Neutral,5,4,1,80.0,20.0,4.0,2019-04-11_2019-04-15|2020-06-11_2020-06-15|2021-06-11_2021-06-15|2023-02-15_2023-02-19|2024-03-13_2024-03-17
0.2,2,PPI m/m|Core PPI m/m,Good|Neutral,2,2,0,100.0,0.0,inf,2020-05-13_2020-05-17|2022-08-11_2022-08-15
0.2,2,PPI m/m|Core PPI m/m,Bad|Bad,4,2,2,50.0,50.0,1.0,2021-07-14_2021-07-18|2021-12-11_2021-12-15|2022-02-11_2022-02-15|2025-08-13_2025-08-17
0.2,2,PPI m/m|Core PPI m/m,Good|Good,2,0,2,0.0,100.0,0.0,2023-11-15_2023-11-19|2024-06-13_2024-06-17
0.3,2,PPI m/m|Core PPI m/m,Neutral|Neutral,16,13,3,81.2,18.8,4.33,2018-02-15_2018-02-19|2018-06-13_2018-06-17|2019-02-14_2019-02-18|2019-04-11_2019-04-15|2019-07-12_2019-07-16|2020-11-13_2020-11-17|2021-10-14_2021-10-18|2022-01-13_2022-01-17|2022-05-12_2022-05-16|2023-02-15_2023-02-19|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2024-01-12_2024-01-16|2024-03-13_2024-03-17|2024-10-11_2024-10-15|2024-12-12_2024-12-16
0.3,2,PPI m/m|Core PPI m/m,Neutral|Good,3,2,1,66.7,33.3,2.0,2019-01-12_2019-01-16|2019-12-12_2019-12-16|2022-03-11_2022-03-15
0.3,2,PPI m/m|Core PPI m/m,Good|Neutral,4,2,2,50.0,50.0,1.0,2020-05-13_2020-05-17|2022-08-11_2022-08-15|2023-11-15_2023-11-19|2024-06-13_2024-06-17
