آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Good,17,11,6,64.7,35.3,1.83,2018-01-12_2018-01-16|2018-08-10_2018-08-14|2018-09-13_2018-09-17|2019-03-14_2019-03-18|2019-10-09_2019-10-13|2019-12-13_2019-12-17|2020-05-14_2020-05-18|2022-03-16_2022-03-20|2022-05-13_2022-05-17|2022-08-12_2022-08-16|2023-04-14_2023-04-18|2023-07-14_2023-07-18|2023-12-14_2023-12-18|2024-01-13_2024-01-17|2024-06-14_2024-06-18|2024-08-14_2024-08-18|2025-09-11_2025-09-15
0.0,1,Core PPI m/m,Bad,15,14,1,93.3,6.7,14.0,2018-02-16_2018-02-20|2018-04-11_2018-04-15|2018-06-14_2018-06-18|2019-04-12_2019-04-16|2019-07-13_2019-07-17|2019-09-12_2019-09-16|2020-08-12_2020-08-16|2020-10-15_2020-10-19|2021-06-16_2021-06-20|2021-12-15_2021-12-19|2022-02-16_2022-02-20|2022-12-10_2022-12-14|2023-10-12_2023-10-16|2024-09-13_2024-09-17|2026-01-31_2026-02-04
0.0,1,Core PPI m/m,Neutral,5,3,2,60.0,40.0,1.5,2018-03-15_2018-03-19|2020-06-12_2020-06-16|2023-05-12_2023-05-16|2023-06-15_2023-06-19|2024-04-12_2024-04-16
0.1,1,Core PPI m/m,Good,14,9,5,64.3,35.7,1.8,2018-01-12_2018-01-16|2018-09-13_2018-09-17|2019-10-09_2019-10-13|2019-12-13_2019-12-17|2020-05-14_2020-05-18|2022-03-16_2022-03-20|2022-05-13_2022-05-17|2022-08-12_2022-08-16|2023-04-14_2023-04-18|2023-12-14_2023-12-18|2024-01-13_2024-01-17|2024-06-14_2024-06-18|2024-08-14_2024-08-18|2025-09-11_2025-09-15
0.1,1,Core PPI m/m,Bad,8,7,1,87.5,12.5,7.0,2018-02-16_2018-02-20|2020-08-12_2020-08-16|2020-10-15_2020-10-19|2021-06-16_2021-06-20|2021-12-15_2021-12-19|2022-02-16_2022-02-20|2022-12-10_2022-12-14|2026-01-31_2026-02-04
0.1,1,Core PPI m/m,Neutral,15,12,3,80.0,20.0,4.0,2018-03-15_2018-03-19|2018-04-11_2018-04-15|2018-06-14_2018-06-18|2018-08-10_2018-08-14|2019-03-14_2019-03-18|2019-04-12_2019-04-16|2019-07-13_2019-07-17|2019-09-12_2019-09-16|2020-06-12_2020-06-16|2023-05-12_2023-05-16|2023-06-15_2023-06-19|2023-07-14_2023-07-18|2023-10-12_2023-10-16|2024-04-12_2024-04-16|2024-09-13_2024-09-17
0.2,1,Core PPI m/m,Good,8,7,1,87.5,12.5,7.0,2018-01-12_2018-01-16|2018-09-13_2018-09-17|2019-10-09_2019-10-13|2019-12-13_2019-12-17|2022-03-16_2022-03-20|2023-04-14_2023-04-18|2024-06-14_2024-06-18|2025-09-11_2025-09-15
0.2,1,Core PPI m/m,Neutral,25,17,8,68.0,32.0,2.12,2018-02-16_2018-02-20|2018-03-15_2018-03-19|2018-04-11_2018-04-15|2018-06-14_2018-06-18|2018-08-10_2018-08-14|2019-03-14_2019-03-18|2019-04-12_2019-04-16|2019-07-13_2019-07-17|2019-09-12_2019-09-16|2020-05-14_2020-05-18|2020-06-12_2020-06-16|2020-10-15_2020-10-19|2021-06-16_2021-06-20|2022-05-13_2022-05-17|2022-08-12_2022-08-16|2022-12-10_2022-12-14|2023-05-12_2023-05-16|2023-06-15_2023-06-19|2023-07-14_2023-07-18|2023-10-12_2023-10-16|2023-12-14_2023-12-18|2024-01-13_2024-01-17|2024-04-12_2024-04-16|2024-08-14_2024-08-18|2024-09-13_2024-09-17
0.2,1,Core PPI m/m,Bad,4,4,0,100.0,0.0,inf,2020-08-12_2020-08-16|2021-12-15_2021-12-19|2022-02-16_2022-02-20|2026-01-31_2026-02-04
0.3,1,Core PPI m/m,Good,7,6,1,85.7,14.3,6.0,2018-01-12_2018-01-16|2018-09-13_2018-09-17|2019-10-09_2019-10-13|2019-12-13_2019-12-17|2022-03-16_2022-03-20|2023-04-14_2023-04-18|2025-09-11_2025-09-15
0.3,1,Core PPI m/m,Neutral,27,19,8,70.4,29.6,2.38,2018-02-16_2018-02-20|2018-03-15_2018-03-19|2018-04-11_2018-04-15|2018-06-14_2018-06-18|2018-08-10_2018-08-14|2019-03-14_2019-03-18|2019-04-12_2019-04-16|2019-07-13_2019-07-17|2019-09-12_2019-09-16|2020-05-14_2020-05-18|2020-06-12_2020-06-16|2020-10-15_2020-10-19|2021-06-16_2021-06-20|2021-12-15_2021-12-19|2022-05-13_2022-05-17|2022-08-12_2022-08-16|2022-12-10_2022-12-14|2023-05-12_2023-05-16|2023-06-15_2023-06-19|2023-07-14_2023-07-18|2023-10-12_2023-10-16|2023-12-14_2023-12-18|2024-01-13_2024-01-17|2024-04-12_2024-04-16|2024-06-14_2024-06-18|2024-08-14_2024-08-18|2024-09-13_2024-09-17
0.3,1,Core PPI m/m,Bad,3,3,0,100.0,0.0,inf,2020-08-12_2020-08-16|2022-02-16_2022-02-20|2026-01-31_2026-02-04
