آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,4,4,0,100.0,0.0,inf,2019-10-08_2019-10-17|2023-07-09_2023-07-18|2024-06-03_2024-06-12|2024-07-03_2024-07-12
0.0,1,CPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2023-08-08_2023-08-17|2024-03-05_2024-03-14
0.0,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2024-01-05_2024-01-14
0.1,1,CPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2019-10-08_2019-10-17|2023-07-09_2023-07-18|2023-08-08_2023-08-17|2024-01-05_2024-01-14|2024-03-05_2024-03-14|2024-06-03_2024-06-12
0.1,1,CPI m/m,Good,1,1,0,100.0,0.0,inf,2024-07-03_2024-07-12
0.2,1,CPI m/m,Neutral,7,6,1,85.7,14.3,6.0,2019-10-08_2019-10-17|2023-07-09_2023-07-18|2023-08-08_2023-08-17|2024-01-05_2024-01-14|2024-03-05_2024-03-14|2024-06-03_2024-06-12|2024-07-03_2024-07-12
0.3,1,CPI m/m,Neutral,7,6,1,85.7,14.3,6.0,2019-10-08_2019-10-17|2023-07-09_2023-07-18|2023-08-08_2023-08-17|2024-01-05_2024-01-14|2024-03-05_2024-03-14|2024-06-03_2024-06-12|2024-07-03_2024-07-12
0.0,1,Core CPI m/m,Good,4,4,0,100.0,0.0,inf,2019-10-08_2019-10-17|2023-07-09_2023-07-18|2024-06-03_2024-06-12|2024-07-03_2024-07-12
0.0,1,Core CPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2023-08-08_2023-08-17|2024-01-05_2024-01-14
0.0,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2024-03-05_2024-03-14
0.1,1,Core CPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2019-10-08_2019-10-17|2023-07-09_2023-07-18|2023-08-08_2023-08-17|2024-01-05_2024-01-14|2024-06-03_2024-06-12|2024-07-03_2024-07-12
