آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,4,4,0,100.0,0.0,inf,2022-07-04_2022-08-02|2023-11-26_2023-12-25|2024-03-25_2024-04-23|2025-08-17_2025-09-15
0.0,1,CPI m/m,Neutral,1,1,0,100.0,0.0,inf,2024-02-24_2024-03-24
0.1,1,CPI m/m,Bad,3,3,0,100.0,0.0,inf,2022-07-04_2022-08-02|2024-03-25_2024-04-23|2025-08-17_2025-09-15
0.1,1,CPI m/m,Neutral,2,2,0,100.0,0.0,inf,2023-11-26_2023-12-25|2024-02-24_2024-03-24
0.2,1,CPI m/m,Neutral,5,5,0,100.0,0.0,inf,2022-07-04_2022-08-02|2023-11-26_2023-12-25|2024-02-24_2024-03-24|2024-03-25_2024-04-23|2025-08-17_2025-09-15
0.3,1,CPI m/m,Neutral,5,5,0,100.0,0.0,inf,2022-07-04_2022-08-02|2023-11-26_2023-12-25|2024-02-24_2024-03-24|2024-03-25_2024-04-23|2025-08-17_2025-09-15
0.0,1,Core CPI m/m,Bad,3,3,0,100.0,0.0,inf,2022-07-04_2022-08-02|2024-02-24_2024-03-24|2024-03-25_2024-04-23
0.0,1,Core CPI m/m,Neutral,2,2,0,100.0,0.0,inf,2023-11-26_2023-12-25|2025-08-17_2025-09-15
0.1,1,Core CPI m/m,Bad,3,3,0,100.0,0.0,inf,2022-07-04_2022-08-02|2024-02-24_2024-03-24|2024-03-25_2024-04-23
0.1,1,Core CPI m/m,Neutral,2,2,0,100.0,0.0,inf,2023-11-26_2023-12-25|2025-08-17_2025-09-15
0.2,1,Core CPI m/m,Neutral,5,5,0,100.0,0.0,inf,2022-07-04_2022-08-02|2023-11-26_2023-12-25|2024-02-24_2024-03-24|2024-03-25_2024-04-23|2025-08-17_2025-09-15
0.3,1,Core CPI m/m,Neutral,5,5,0,100.0,0.0,inf,2022-07-04_2022-08-02|2023-11-26_2023-12-25|2024-02-24_2024-03-24|2024-03-25_2024-04-23|2025-08-17_2025-09-15
0.0,1,PPI m/m,Bad,2,2,0,100.0,0.0,inf,2022-07-04_2022-08-02|2024-02-24_2024-03-24
0.0,1,PPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2023-11-26_2023-12-25|2025-11-15_2025-12-14
0.0,1,PPI m/m,Good,2,2,0,100.0,0.0,inf,2024-03-25_2024-04-23|2025-08-17_2025-09-15
0.1,1,PPI m/m,Bad,2,2,0,100.0,0.0,inf,2022-07-04_2022-08-02|2024-02-24_2024-03-24
0.1,1,PPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2023-11-26_2023-12-25|2024-03-25_2024-04-23|2025-11-15_2025-12-14
0.1,1,PPI m/m,Good,1,1,0,100.0,0.0,inf,2025-08-17_2025-09-15
0.2,1,PPI m/m,Bad,2,2,0,100.0,0.0,inf,2022-07-04_2022-08-02|2024-02-24_2024-03-24
0.2,1,PPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2023-11-26_2023-12-25|2024-03-25_2024-04-23|2025-11-15_2025-12-14
0.2,1,PPI m/m,Good,1,1,0,100.0,0.0,inf,2025-08-17_2025-09-15
0.3,1,PPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-07-04_2022-08-02
0.3,1,PPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2023-11-26_2023-12-25|2024-02-24_2024-03-24|2024-03-25_2024-04-23|2025-11-15_2025-12-14
0.3,1,PPI m/m,Good,1,1,0,100.0,0.0,inf,2025-08-17_2025-09-15
0.0,1,Core PPI m/m,Good,4,3,1,75.0,25.0,3.0,2022-07-04_2022-08-02|2023-11-26_2023-12-25|2025-08-17_2025-09-15|2025-11-15_2025-12-14
0.0,1,Core PPI m/m,Bad,1,1,0,100.0,0.0,inf,2024-02-24_2024-03-24
0.0,1,Core PPI m/m,Neutral,1,1,0,100.0,0.0,inf,2024-03-25_2024-04-23
0.1,1,Core PPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2022-07-04_2022-08-02|2024-02-24_2024-03-24|2024-03-25_2024-04-23|2025-11-15_2025-12-14
0.1,1,Core PPI m/m,Good,2,2,0,100.0,0.0,inf,2023-11-26_2023-12-25|2025-08-17_2025-09-15
0.2,1,Core PPI m/m,Neutral,5,4,1,80.0,20.0,4.0,2022-07-04_2022-08-02|2023-11-26_2023-12-25|2024-02-24_2024-03-24|2024-03-25_2024-04-23|2025-11-15_2025-12-14
0.2,1,Core PPI m/m,Good,1,1,0,100.0,0.0,inf,2025-08-17_2025-09-15
0.3,1,Core PPI m/m,Neutral,5,4,1,80.0,20.0,4.0,2022-07-04_2022-08-02|2023-11-26_2023-12-25|2024-02-24_2024-03-24|2024-03-25_2024-04-23|2025-11-15_2025-12-14
0.3,1,Core PPI m/m,Good,1,1,0,100.0,0.0,inf,2025-08-17_2025-09-15
0.0,1,FOMC,Neutral,5,4,1,80.0,20.0,4.0,2022-07-04_2022-08-02|2023-11-26_2023-12-25|2024-02-24_2024-03-24|2025-09-16_2025-10-15|2025-11-15_2025-12-14
0.1,1,FOMC,Neutral,5,4,1,80.0,20.0,4.0,2022-07-04_2022-08-02|2023-11-26_2023-12-25|2024-02-24_2024-03-24|2025-09-16_2025-10-15|2025-11-15_2025-12-14
0.2,1,FOMC,Neutral,5,4,1,80.0,20.0,4.0,2022-07-04_2022-08-02|2023-11-26_2023-12-25|2024-02-24_2024-03-24|2025-09-16_2025-10-15|2025-11-15_2025-12-14
0.3,1,FOMC,Neutral,5,4,1,80.0,20.0,4.0,2022-07-04_2022-08-02|2023-11-26_2023-12-25|2024-02-24_2024-03-24|2025-09-16_2025-10-15|2025-11-15_2025-12-14
0.0,1,CPI y/y,Bad,3,3,0,100.0,0.0,inf,2022-07-04_2022-08-02|2024-02-24_2024-03-24|2024-03-25_2024-04-23
0.0,1,CPI y/y,Neutral,2,2,0,100.0,0.0,inf,2023-11-26_2023-12-25|2025-08-17_2025-09-15
0.1,1,CPI y/y,Bad,3,3,0,100.0,0.0,inf,2022-07-04_2022-08-02|2024-02-24_2024-03-24|2024-03-25_2024-04-23
0.1,1,CPI y/y,Neutral,2,2,0,100.0,0.0,inf,2023-11-26_2023-12-25|2025-08-17_2025-09-15
0.2,1,CPI y/y,Bad,1,1,0,100.0,0.0,inf,2022-07-04_2022-08-02
0.2,1,CPI y/y,Neutral,4,4,0,100.0,0.0,inf,2023-11-26_2023-12-25|2024-02-24_2024-03-24|2024-03-25_2024-04-23|2025-08-17_2025-09-15
0.3,1,CPI y/y,Bad,1,1,0,100.0,0.0,inf,2022-07-04_2022-08-02
0.3,1,CPI y/y,Neutral,4,4,0,100.0,0.0,inf,2023-11-26_2023-12-25|2024-02-24_2024-03-24|2024-03-25_2024-04-23|2025-08-17_2025-09-15
0.0,2,CPI m/m|Core CPI m/m,Bad|Bad,2,2,0,100.0,0.0,inf,2022-07-04_2022-08-02|2024-03-25_2024-04-23
0.0,2,CPI m/m|Core CPI m/m,Bad|Neutral,2,2,0,100.0,0.0,inf,2023-11-26_2023-12-25|2025-08-17_2025-09-15
0.0,2,CPI m/m|Core CPI m/m,Neutral|Bad,1,1,0,100.0,0.0,inf,2024-02-24_2024-03-24
0.1,2,CPI m/m|Core CPI m/m,Bad|Bad,2,2,0,100.0,0.0,inf,2022-07-04_2022-08-02|2024-03-25_2024-04-23
0.1,2,CPI m/m|Core CPI m/m,Neutral|Neutral,1,1,0,100.0,0.0,inf,2023-11-26_2023-12-25
0.1,2,CPI m/m|Core CPI m/m,Neutral|Bad,1,1,0,100.0,0.0,inf,2024-02-24_2024-03-24
0.1,2,CPI m/m|Core CPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2025-08-17_2025-09-15
