آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,ماه‌ها
0.0,1,CPI m/m,Neutral,25,17,8,68.0,32.0,2.12,2018-01|2018-06|2018-11|2019-01|2019-03|2019-06|2019-08|2020-01|2020-10|2021-01|2021-02|2021-03|2021-08|2022-03|2022-04|2023-01|2023-02|2023-08|2023-09|2024-09|2024-11|2024-12|2025-01|2025-08|2026-01
0.0,1,CPI m/m,Bad,24,13,11,54.2,45.8,1.18,2018-02|2019-04|2019-07|2020-03|2020-07|2020-08|2020-12|2021-04|2021-05|2021-07|2021-11|2021-12|2022-01|2022-02|2022-05|2022-06|2022-09|2022-10|2023-10|2023-12|2024-01|2024-02|2024-04|2024-10
0.0,1,CPI m/m,Good,24,18,6,75.0,25.0,3.0,2018-09|2018-10|2019-05|2019-10|2020-02|2020-04|2020-05|2020-06|2020-11|2021-09|2022-11|2022-12|2023-04|2023-06|2023-07|2023-11|2024-05|2024-07|2025-03|2025-04|2025-05|2025-06|2025-10|2026-02
0.1,1,CPI m/m,Neutral,50,34,16,68.0,32.0,2.12,2018-01|2018-06|2018-09|2018-10|2018-11|2019-01|2019-03|2019-06|2019-07|2019-08|2019-10|2020-01|2020-02|2020-03|2020-06|2020-07|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-08|2022-01|2022-03|2022-04|2022-05|2023-01|2023-02|2023-04|2023-06|2023-07|2023-08|2023-09|2023-11|2023-12|2024-01|2024-02|2024-09|2024-10|2024-11|2024-12|2025-01|2025-03|2025-05|2025-06|2025-08|2026-01|2026-02
0.1,1,CPI m/m,Bad,13,6,7,46.2,53.8,0.86,2018-02|2019-04|2020-08|2021-05|2021-07|2021-11|2021-12|2022-02|2022-06|2022-09|2022-10|2023-10|2024-04
0.1,1,CPI m/m,Good,10,8,2,80.0,20.0,4.0,2019-05|2020-04|2020-05|2021-09|2022-11|2022-12|2024-05|2024-07|2025-04|2025-10
0.2,1,CPI m/m,Neutral,68,44,24,64.7,35.3,1.83,2018-01|2018-02|2018-06|2018-09|2018-10|2018-11|2019-01|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-10|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-08|2021-09|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-04|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-04|2024-05|2024-07|2024-09|2024-10|2024-11|2024-12|2025-01|2025-03|2025-04|2025-05|2025-06|2025-08|2025-10|2026-01|2026-02
0.2,1,CPI m/m,Bad,5,4,1,80.0,20.0,4.0,2020-08|2021-05|2021-07|2021-11|2022-06
0.3,1,CPI m/m,Neutral,69,45,24,65.2,34.8,1.88,2018-01|2018-02|2018-06|2018-09|2018-10|2018-11|2019-01|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-10|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-08|2021-09|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-04|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-04|2024-05|2024-07|2024-09|2024-10|2024-11|2024-12|2025-01|2025-03|2025-04|2025-05|2025-06|2025-08|2025-10|2026-01|2026-02
0.3,1,CPI m/m,Bad,4,3,1,75.0,25.0,3.0,2021-05|2021-07|2021-11|2022-06
