آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,9,4,5,44.4,55.6,0.8,2018-02-01_2018-02-15|2019-10-31_2019-11-14|2020-07-30_2020-08-13|2021-04-29_2021-05-13|2021-11-04_2021-11-18|2022-01-27_2022-02-10|2022-05-05_2022-05-19|2024-02-01_2024-02-15|2025-01-30_2025-02-13
0.0,1,CPI m/m,Good,11,10,1,90.9,9.1,10.0,2018-05-03_2018-05-17|2018-09-27_2018-10-11|2019-05-02_2019-05-16|2020-01-30_2020-02-13|2020-04-30_2020-05-14|2020-11-06_2020-11-20|2022-07-28_2022-08-11|2022-11-03_2022-11-17|2023-11-02_2023-11-16|2024-05-02_2024-05-16|2025-05-08_2025-05-22
0.0,1,CPI m/m,Neutral,11,4,7,36.4,63.6,0.57,2018-08-02_2018-08-16|2018-11-09_2018-11-23|2019-08-01_2019-08-15|2021-01-28_2021-02-11|2021-07-29_2021-08-12|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-07-31_2025-08-14
0.1,1,CPI m/m,Bad,7,4,3,57.1,42.9,1.33,2018-02-01_2018-02-15|2019-10-31_2019-11-14|2020-07-30_2020-08-13|2021-04-29_2021-05-13|2021-11-04_2021-11-18|2022-01-27_2022-02-10|2025-01-30_2025-02-13
0.1,1,CPI m/m,Neutral,19,9,10,47.4,52.6,0.9,2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-08-01_2019-08-15|2020-01-30_2020-02-13|2020-11-06_2020-11-20|2021-01-28_2021-02-11|2021-07-29_2021-08-12|2022-05-05_2022-05-19|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2023-11-02_2023-11-16|2024-02-01_2024-02-15|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-05-08_2025-05-22|2025-07-31_2025-08-14
0.1,1,CPI m/m,Good,5,5,0,100.0,0.0,inf,2019-05-02_2019-05-16|2020-04-30_2020-05-14|2022-07-28_2022-08-11|2022-11-03_2022-11-17|2024-05-02_2024-05-16
0.2,1,CPI m/m,Neutral,28,15,13,53.6,46.4,1.15,2018-02-01_2018-02-15|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-05-02_2019-05-16|2019-08-01_2019-08-15|2019-10-31_2019-11-14|2020-01-30_2020-02-13|2020-04-30_2020-05-14|2020-11-06_2020-11-20|2021-01-28_2021-02-11|2021-07-29_2021-08-12|2022-01-27_2022-02-10|2022-05-05_2022-05-19|2022-07-28_2022-08-11|2022-11-03_2022-11-17|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2023-11-02_2023-11-16|2024-02-01_2024-02-15|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2025-05-08_2025-05-22|2025-07-31_2025-08-14
0.2,1,CPI m/m,Bad,3,3,0,100.0,0.0,inf,2020-07-30_2020-08-13|2021-04-29_2021-05-13|2021-11-04_2021-11-18
0.3,1,CPI m/m,Neutral,29,16,13,55.2,44.8,1.23,2018-02-01_2018-02-15|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-05-02_2019-05-16|2019-08-01_2019-08-15|2019-10-31_2019-11-14|2020-01-30_2020-02-13|2020-04-30_2020-05-14|2020-07-30_2020-08-13|2020-11-06_2020-11-20|2021-01-28_2021-02-11|2021-07-29_2021-08-12|2022-01-27_2022-02-10|2022-05-05_2022-05-19|2022-07-28_2022-08-11|2022-11-03_2022-11-17|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2023-11-02_2023-11-16|2024-02-01_2024-02-15|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2025-05-08_2025-05-22|2025-07-31_2025-08-14
0.3,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-04-29_2021-05-13|2021-11-04_2021-11-18
