آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,2,0,2,0.0,100.0,0.0,2019-05-10_2019-05-19|2022-12-10_2022-12-19
0.0,1,CPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2019-06-12_2019-06-21|2019-09-12_2019-09-21|2025-01-15_2025-01-24
0.0,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-08-12_2020-08-21|2020-09-11_2020-09-20
0.1,1,CPI m/m,Good,2,0,2,0.0,100.0,0.0,2019-05-10_2019-05-19|2022-12-10_2022-12-19
0.1,1,CPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2019-06-12_2019-06-21|2019-09-12_2019-09-21|2025-01-15_2025-01-24
0.1,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-08-12_2020-08-21|2020-09-11_2020-09-20
0.2,1,CPI m/m,Neutral,6,3,3,50.0,50.0,1.0,2019-05-10_2019-05-19|2019-06-12_2019-06-21|2019-09-12_2019-09-21|2020-09-11_2020-09-20|2022-12-10_2022-12-19|2025-01-15_2025-01-24
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-08-21
0.3,1,CPI m/m,Neutral,7,4,3,57.1,42.9,1.33,2019-05-10_2019-05-19|2019-06-12_2019-06-21|2019-09-12_2019-09-21|2020-08-12_2020-08-21|2020-09-11_2020-09-20|2022-12-10_2022-12-19|2025-01-15_2025-01-24
0.0,1,Core CPI m/m,Good,4,1,3,25.0,75.0,0.33,2019-05-10_2019-05-19|2019-06-12_2019-06-21|2022-12-10_2022-12-19|2025-01-15_2025-01-24
0.0,1,Core CPI m/m,Bad,3,3,0,100.0,0.0,inf,2019-09-12_2019-09-21|2020-08-12_2020-08-21|2020-09-11_2020-09-20
0.1,1,Core CPI m/m,Neutral,5,2,3,40.0,60.0,0.67,2019-05-10_2019-05-19|2019-06-12_2019-06-21|2019-09-12_2019-09-21|2022-12-10_2022-12-19|2025-01-15_2025-01-24
0.1,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-08-12_2020-08-21|2020-09-11_2020-09-20
0.2,1,Core CPI m/m,Neutral,6,3,3,50.0,50.0,1.0,2019-05-10_2019-05-19|2019-06-12_2019-06-21|2019-09-12_2019-09-21|2020-09-11_2020-09-20|2022-12-10_2022-12-19|2025-01-15_2025-01-24
0.2,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-08-21
0.3,1,Core CPI m/m,Neutral,6,3,3,50.0,50.0,1.0,2019-05-10_2019-05-19|2019-06-12_2019-06-21|2019-09-12_2019-09-21|2020-09-11_2020-09-20|2022-12-10_2022-12-19|2025-01-15_2025-01-24
0.3,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-08-21
0.0,1,FOMC,Good,1,1,0,100.0,0.0,inf,2024-09-13_2024-09-22
