آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,ماه‌ها
0.0,1,CPI m/m,Good,24,13,11,54.2,45.8,1.18,2018-05|2018-07|2018-09|2018-10|2019-02|2019-05|2019-10|2020-05|2020-06|2020-11|2022-08|2022-12|2023-04|2023-07|2023-11|2024-05|2024-06|2024-07|2025-03|2025-04|2025-05|2025-06|2025-10|2026-02
0.0,1,CPI m/m,Neutral,21,9,12,42.9,57.1,0.75,2018-11|2018-12|2019-01|2019-06|2019-08|2019-09|2020-01|2020-10|2021-03|2021-08|2022-03|2022-04|2023-01|2023-02|2023-03|2023-05|2023-08|2023-09|2024-08|2024-09|2026-01
0.0,1,CPI m/m,Bad,23,17,6,73.9,26.1,2.83,2019-04|2019-07|2019-11|2019-12|2020-03|2020-07|2020-08|2020-09|2020-12|2021-05|2021-07|2021-11|2021-12|2022-01|2022-05|2022-06|2022-09|2022-10|2023-10|2024-01|2024-10|2025-02|2025-09
0.1,1,CPI m/m,Neutral,46,25,21,54.3,45.7,1.19,2018-05|2018-07|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-06|2019-07|2019-08|2019-09|2019-10|2019-12|2020-01|2020-03|2020-06|2020-07|2020-10|2020-11|2020-12|2021-03|2021-08|2022-01|2022-03|2022-04|2022-05|2023-01|2023-02|2023-03|2023-04|2023-05|2023-07|2023-08|2023-09|2023-11|2024-01|2024-06|2024-08|2024-09|2024-10|2025-03|2025-05|2025-06|2026-01|2026-02
0.1,1,CPI m/m,Bad,14,10,4,71.4,28.6,2.5,2019-04|2019-11|2020-08|2020-09|2021-05|2021-07|2021-11|2021-12|2022-06|2022-09|2022-10|2023-10|2025-02|2025-09
0.1,1,CPI m/m,Good,8,4,4,50.0,50.0,1.0,2019-05|2020-05|2022-08|2022-12|2024-05|2024-07|2025-04|2025-10
0.2,1,CPI m/m,Neutral,63,36,27,57.1,42.9,1.33,2018-05|2018-07|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-03|2020-05|2020-06|2020-07|2020-09|2020-10|2020-11|2020-12|2021-03|2021-08|2021-12|2022-01|2022-03|2022-04|2022-05|2022-08|2022-09|2022-10|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-07|2023-08|2023-09|2023-10|2023-11|2024-01|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2025-02|2025-03|2025-04|2025-05|2025-06|2025-09|2025-10|2026-01|2026-02
0.2,1,CPI m/m,Bad,5,3,2,60.0,40.0,1.5,2020-08|2021-05|2021-07|2021-11|2022-06
0.3,1,CPI m/m,Neutral,64,36,28,56.2,43.8,1.29,2018-05|2018-07|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-03|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-03|2021-08|2021-12|2022-01|2022-03|2022-04|2022-05|2022-08|2022-09|2022-10|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-07|2023-08|2023-09|2023-10|2023-11|2024-01|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2025-02|2025-03|2025-04|2025-05|2025-06|2025-09|2025-10|2026-01|2026-02
0.3,1,CPI m/m,Bad,4,3,1,75.0,25.0,3.0,2021-05|2021-07|2021-11|2022-06
0.0,1,Core CPI m/m,Good,26,13,13,50.0,50.0,1.0,2018-05|2018-09|2018-10|2019-04|2019-05|2019-06|2019-10|2020-01|2020-05|2020-06|2020-11|2021-03|2021-08|2022-04|2022-08|2022-12|2023-07|2023-11|2024-06|2024-07|2025-03|2025-04|2025-05|2025-06|2025-10|2026-01
0.0,1,Core CPI m/m,Neutral,21,13,8,61.9,38.1,1.62,2018-07|2018-11|2018-12|2019-01|2019-02|2019-11|2019-12|2020-03|2020-10|2021-12|2022-03|2023-01|2023-02|2023-04|2023-08|2023-10|2024-01|2024-05|2024-08|2025-09|2026-02
0.0,1,Core CPI m/m,Bad,21,13,8,61.9,38.1,1.62,2019-07|2019-08|2019-09|2020-07|2020-08|2020-09|2020-12|2021-05|2021-07|2021-11|2022-01|2022-05|2022-06|2022-09|2022-10|2023-03|2023-05|2023-09|2024-09|2024-10|2025-02
0.1,1,Core CPI m/m,Neutral,51,31,20,60.8,39.2,1.55,2018-05|2018-07|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-03|2020-06|2020-07|2020-10|2020-12|2021-03|2021-12|2022-01|2022-03|2022-06|2022-12|2023-01|2023-02|2023-03|2023-04|2023-07|2023-08|2023-09|2023-10|2023-11|2024-01|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2025-03|2025-05|2025-09|2025-10|2026-01|2026-02
0.1,1,Core CPI m/m,Good,7,1,6,14.3,85.7,0.17,2020-05|2020-11|2021-08|2022-04|2022-08|2025-04|2025-06
0.1,1,Core CPI m/m,Bad,10,7,3,70.0,30.0,2.33,2020-08|2020-09|2021-05|2021-07|2021-11|2022-05|2022-09|2022-10|2023-05|2025-02
0.2,1,Core CPI m/m,Neutral,64,36,28,56.2,43.8,1.29,2018-05|2018-07|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-03|2020-05|2020-06|2020-07|2020-09|2020-10|2020-11|2020-12|2021-03|2021-08|2021-11|2021-12|2022-01|2022-03|2022-04|2022-05|2022-06|2022-08|2022-10|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-07|2023-08|2023-09|2023-10|2023-11|2024-01|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2025-02|2025-03|2025-04|2025-05|2025-06|2025-09|2025-10|2026-01|2026-02
0.2,1,Core CPI m/m,Bad,4,3,1,75.0,25.0,3.0,2020-08|2021-05|2021-07|2022-09
