آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Good,14,8,6,57.1,42.9,1.33,2018-01-12_2018-01-21|2018-09-13_2018-09-22|2019-01-16_2019-01-25|2019-05-10_2019-05-19|2020-01-16_2020-01-25|2020-05-14_2020-05-23|2020-11-14_2020-11-23|2021-10-15_2021-10-24|2022-05-13_2022-05-22|2023-07-14_2023-07-23|2024-06-14_2024-06-23|2024-08-14_2024-08-23|2025-01-15_2025-01-24|2025-11-26_2025-12-05
0.0,1,Core PPI m/m,Bad,13,11,2,84.6,15.4,5.5,2018-02-16_2018-02-25|2018-07-12_2018-07-21|2019-04-12_2019-04-21|2020-04-10_2020-04-19|2020-08-12_2020-08-21|2020-10-15_2020-10-24|2021-12-15_2021-12-24|2022-02-16_2022-02-25|2022-12-10_2022-12-19|2023-02-17_2023-02-26|2023-08-12_2023-08-21|2024-03-15_2024-03-24|2026-01-31_2026-02-09
0.0,1,Core PPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2019-06-12_2019-06-21|2020-06-12_2020-06-21|2021-03-13_2021-03-22|2023-01-19_2023-01-28|2023-06-15_2023-06-24|2024-10-12_2024-10-21
0.1,1,Core PPI m/m,Good,9,5,4,55.6,44.4,1.25,2018-01-12_2018-01-21|2018-09-13_2018-09-22|2019-01-16_2019-01-25|2020-05-14_2020-05-23|2021-10-15_2021-10-24|2022-05-13_2022-05-22|2024-06-14_2024-06-23|2024-08-14_2024-08-23|2025-01-15_2025-01-24
0.1,1,Core PPI m/m,Bad,9,9,0,100.0,0.0,inf,2018-02-16_2018-02-25|2020-04-10_2020-04-19|2020-08-12_2020-08-21|2020-10-15_2020-10-24|2021-12-15_2021-12-24|2022-02-16_2022-02-25|2022-12-10_2022-12-19|2023-02-17_2023-02-26|2026-01-31_2026-02-09
0.1,1,Core PPI m/m,Neutral,15,9,6,60.0,40.0,1.5,2018-07-12_2018-07-21|2019-04-12_2019-04-21|2019-05-10_2019-05-19|2019-06-12_2019-06-21|2020-01-16_2020-01-25|2020-06-12_2020-06-21|2020-11-14_2020-11-23|2021-03-13_2021-03-22|2023-01-19_2023-01-28|2023-06-15_2023-06-24|2023-07-14_2023-07-23|2023-08-12_2023-08-21|2024-03-15_2024-03-24|2024-10-12_2024-10-21|2025-11-26_2025-12-05
0.2,1,Core PPI m/m,Good,5,3,2,60.0,40.0,1.5,2018-01-12_2018-01-21|2018-09-13_2018-09-22|2019-01-16_2019-01-25|2021-10-15_2021-10-24|2024-06-14_2024-06-23
0.2,1,Core PPI m/m,Neutral,24,16,8,66.7,33.3,2.0,2018-02-16_2018-02-25|2018-07-12_2018-07-21|2019-04-12_2019-04-21|2019-05-10_2019-05-19|2019-06-12_2019-06-21|2020-01-16_2020-01-25|2020-04-10_2020-04-19|2020-05-14_2020-05-23|2020-06-12_2020-06-21|2020-10-15_2020-10-24|2020-11-14_2020-11-23|2021-03-13_2021-03-22|2022-05-13_2022-05-22|2022-12-10_2022-12-19|2023-01-19_2023-01-28|2023-02-17_2023-02-26|2023-06-15_2023-06-24|2023-07-14_2023-07-23|2023-08-12_2023-08-21|2024-03-15_2024-03-24|2024-08-14_2024-08-23|2024-10-12_2024-10-21|2025-01-15_2025-01-24|2025-11-26_2025-12-05
0.2,1,Core PPI m/m,Bad,4,4,0,100.0,0.0,inf,2020-08-12_2020-08-21|2021-12-15_2021-12-24|2022-02-16_2022-02-25|2026-01-31_2026-02-09
0.3,1,Core PPI m/m,Good,3,2,1,66.7,33.3,2.0,2018-01-12_2018-01-21|2018-09-13_2018-09-22|2019-01-16_2019-01-25
0.3,1,Core PPI m/m,Neutral,27,18,9,66.7,33.3,2.0,2018-02-16_2018-02-25|2018-07-12_2018-07-21|2019-04-12_2019-04-21|2019-05-10_2019-05-19|2019-06-12_2019-06-21|2020-01-16_2020-01-25|2020-04-10_2020-04-19|2020-05-14_2020-05-23|2020-06-12_2020-06-21|2020-10-15_2020-10-24|2020-11-14_2020-11-23|2021-03-13_2021-03-22|2021-10-15_2021-10-24|2021-12-15_2021-12-24|2022-05-13_2022-05-22|2022-12-10_2022-12-19|2023-01-19_2023-01-28|2023-02-17_2023-02-26|2023-06-15_2023-06-24|2023-07-14_2023-07-23|2023-08-12_2023-08-21|2024-03-15_2024-03-24|2024-06-14_2024-06-23|2024-08-14_2024-08-23|2024-10-12_2024-10-21|2025-01-15_2025-01-24|2025-11-26_2025-12-05
0.3,1,Core PPI m/m,Bad,3,3,0,100.0,0.0,inf,2020-08-12_2020-08-21|2022-02-16_2022-02-25|2026-01-31_2026-02-09
