آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Good,13,9,4,69.2,30.8,2.25,2018-01-12_2018-02-10|2018-09-13_2018-10-12|2019-01-16_2019-02-14|2020-01-16_2020-02-14|2020-05-14_2020-06-12|2021-10-15_2021-11-13|2023-01-19_2023-02-17|2023-06-15_2023-07-14|2023-07-14_2023-08-12|2024-06-14_2024-07-13|2024-08-14_2024-09-12|2024-10-12_2024-11-10|2025-01-15_2025-02-13
0.0,1,PPI m/m,Neutral,5,2,3,40.0,60.0,0.67,2018-02-16_2018-03-17|2019-05-10_2019-06-08|2019-06-12_2019-07-11|2022-05-13_2022-06-11|2025-11-26_2025-12-25
0.0,1,PPI m/m,Bad,15,12,3,80.0,20.0,4.0,2018-07-12_2018-08-10|2019-04-12_2019-05-11|2020-04-10_2020-05-09|2020-06-12_2020-07-11|2020-08-12_2020-09-10|2020-10-15_2020-11-13|2020-11-14_2020-12-13|2021-03-13_2021-04-11|2021-12-15_2022-01-13|2022-02-16_2022-03-17|2022-12-10_2023-01-08|2023-02-17_2023-03-18|2023-08-12_2023-09-10|2024-03-15_2024-04-13|2026-01-31_2026-03-01
0.1,1,PPI m/m,Good,7,5,2,71.4,28.6,2.5,2018-01-12_2018-02-10|2018-09-13_2018-10-12|2020-05-14_2020-06-12|2023-01-19_2023-02-17|2023-06-15_2023-07-14|2024-06-14_2024-07-13|2025-01-15_2025-02-13
0.1,1,PPI m/m,Neutral,17,10,7,58.8,41.2,1.43,2018-02-16_2018-03-17|2018-07-12_2018-08-10|2019-01-16_2019-02-14|2019-05-10_2019-06-08|2019-06-12_2019-07-11|2020-01-16_2020-02-14|2020-04-10_2020-05-09|2020-11-14_2020-12-13|2021-03-13_2021-04-11|2021-10-15_2021-11-13|2022-05-13_2022-06-11|2022-12-10_2023-01-08|2023-07-14_2023-08-12|2023-08-12_2023-09-10|2024-08-14_2024-09-12|2024-10-12_2024-11-10|2025-11-26_2025-12-25
0.1,1,PPI m/m,Bad,9,8,1,88.9,11.1,8.0,2019-04-12_2019-05-11|2020-06-12_2020-07-11|2020-08-12_2020-09-10|2020-10-15_2020-11-13|2021-12-15_2022-01-13|2022-02-16_2022-03-17|2023-02-17_2023-03-18|2024-03-15_2024-04-13|2026-01-31_2026-03-01
0.2,1,PPI m/m,Good,5,4,1,80.0,20.0,4.0,2018-01-12_2018-02-10|2018-09-13_2018-10-12|2020-05-14_2020-06-12|2023-01-19_2023-02-17|2024-06-14_2024-07-13
0.2,1,PPI m/m,Neutral,20,12,8,60.0,40.0,1.5,2018-02-16_2018-03-17|2018-07-12_2018-08-10|2019-01-16_2019-02-14|2019-05-10_2019-06-08|2019-06-12_2019-07-11|2020-01-16_2020-02-14|2020-04-10_2020-05-09|2020-10-15_2020-11-13|2020-11-14_2020-12-13|2021-03-13_2021-04-11|2021-10-15_2021-11-13|2022-05-13_2022-06-11|2022-12-10_2023-01-08|2023-06-15_2023-07-14|2023-07-14_2023-08-12|2023-08-12_2023-09-10|2024-08-14_2024-09-12|2024-10-12_2024-11-10|2025-01-15_2025-02-13|2025-11-26_2025-12-25
0.2,1,PPI m/m,Bad,8,7,1,87.5,12.5,7.0,2019-04-12_2019-05-11|2020-06-12_2020-07-11|2020-08-12_2020-09-10|2021-12-15_2022-01-13|2022-02-16_2022-03-17|2023-02-17_2023-03-18|2024-03-15_2024-04-13|2026-01-31_2026-03-01
0.3,1,PPI m/m,Good,5,4,1,80.0,20.0,4.0,2018-01-12_2018-02-10|2018-09-13_2018-10-12|2020-05-14_2020-06-12|2023-01-19_2023-02-17|2024-06-14_2024-07-13
0.3,1,PPI m/m,Neutral,25,16,9,64.0,36.0,1.78,2018-02-16_2018-03-17|2018-07-12_2018-08-10|2019-01-16_2019-02-14|2019-04-12_2019-05-11|2019-05-10_2019-06-08|2019-06-12_2019-07-11|2020-01-16_2020-02-14|2020-04-10_2020-05-09|2020-08-12_2020-09-10|2020-10-15_2020-11-13|2020-11-14_2020-12-13|2021-03-13_2021-04-11|2021-10-15_2021-11-13|2022-05-13_2022-06-11|2022-12-10_2023-01-08|2023-02-17_2023-03-18|2023-06-15_2023-07-14|2023-07-14_2023-08-12|2023-08-12_2023-09-10|2024-03-15_2024-04-13|2024-08-14_2024-09-12|2024-10-12_2024-11-10|2025-01-15_2025-02-13|2025-11-26_2025-12-25|2026-01-31_2026-03-01
0.3,1,PPI m/m,Bad,3,3,0,100.0,0.0,inf,2020-06-12_2020-07-11|2021-12-15_2022-01-13|2022-02-16_2022-03-17
