آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,19,8,11,42.1,57.9,0.73,2018-06-10_2018-06-24|2019-01-06_2019-01-20|2019-06-05_2019-06-19|2019-09-03_2019-09-17|2020-01-01_2020-01-15|2020-10-12_2020-10-26|2021-01-10_2021-01-24|2021-02-09_2021-02-23|2021-02-24_2021-03-10|2022-12-31_2023-01-14|2023-02-14_2023-02-28|2023-03-01_2023-03-15|2023-04-30_2023-05-14|2023-09-12_2023-09-26|2024-08-07_2024-08-21|2024-09-06_2024-09-20|2024-12-05_2024-12-19|2025-07-03_2025-07-17|2025-08-02_2025-08-16
0.0,1,CPI m/m,Good,7,5,2,71.4,28.6,2.5,2018-10-08_2018-10-22|2019-02-05_2019-02-19|2022-12-01_2022-12-15|2023-06-29_2023-07-13|2024-06-08_2024-06-22|2025-05-04_2025-05-18|2025-10-16_2025-10-30
0.0,1,CPI m/m,Bad,12,10,2,83.3,16.7,5.0,2019-04-06_2019-04-20|2019-07-05_2019-07-19|2019-11-02_2019-11-16|2020-07-29_2020-08-12|2020-08-28_2020-09-11|2021-04-10_2021-04-24|2021-07-09_2021-07-23|2022-02-04_2022-02-18|2022-05-05_2022-05-19|2022-10-02_2022-10-16|2024-02-09_2024-02-23|2024-10-06_2024-10-20
0.1,1,CPI m/m,Neutral,29,14,15,48.3,51.7,0.93,2018-06-10_2018-06-24|2018-10-08_2018-10-22|2019-01-06_2019-01-20|2019-02-05_2019-02-19|2019-06-05_2019-06-19|2019-07-05_2019-07-19|2019-09-03_2019-09-17|2020-01-01_2020-01-15|2020-10-12_2020-10-26|2021-01-10_2021-01-24|2021-02-09_2021-02-23|2021-02-24_2021-03-10|2021-04-10_2021-04-24|2022-05-05_2022-05-19|2022-12-31_2023-01-14|2023-02-14_2023-02-28|2023-03-01_2023-03-15|2023-04-30_2023-05-14|2023-06-29_2023-07-13|2023-09-12_2023-09-26|2024-02-09_2024-02-23|2024-06-08_2024-06-22|2024-08-07_2024-08-21|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2024-12-05_2024-12-19|2025-05-04_2025-05-18|2025-07-03_2025-07-17|2025-08-02_2025-08-16
0.1,1,CPI m/m,Bad,7,7,0,100.0,0.0,inf,2019-04-06_2019-04-20|2019-11-02_2019-11-16|2020-07-29_2020-08-12|2020-08-28_2020-09-11|2021-07-09_2021-07-23|2022-02-04_2022-02-18|2022-10-02_2022-10-16
0.1,1,CPI m/m,Good,2,2,0,100.0,0.0,inf,2022-12-01_2022-12-15|2025-10-16_2025-10-30
0.2,1,CPI m/m,Neutral,36,21,15,58.3,41.7,1.4,2018-06-10_2018-06-24|2018-10-08_2018-10-22|2019-01-06_2019-01-20|2019-02-05_2019-02-19|2019-04-06_2019-04-20|2019-06-05_2019-06-19|2019-07-05_2019-07-19|2019-09-03_2019-09-17|2019-11-02_2019-11-16|2020-01-01_2020-01-15|2020-08-28_2020-09-11|2020-10-12_2020-10-26|2021-01-10_2021-01-24|2021-02-09_2021-02-23|2021-02-24_2021-03-10|2021-04-10_2021-04-24|2022-02-04_2022-02-18|2022-05-05_2022-05-19|2022-10-02_2022-10-16|2022-12-01_2022-12-15|2022-12-31_2023-01-14|2023-02-14_2023-02-28|2023-03-01_2023-03-15|2023-04-30_2023-05-14|2023-06-29_2023-07-13|2023-09-12_2023-09-26|2024-02-09_2024-02-23|2024-06-08_2024-06-22|2024-08-07_2024-08-21|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2024-12-05_2024-12-19|2025-05-04_2025-05-18|2025-07-03_2025-07-17|2025-08-02_2025-08-16|2025-10-16_2025-10-30
0.2,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-07-29_2020-08-12|2021-07-09_2021-07-23
0.3,1,CPI m/m,Neutral,37,22,15,59.5,40.5,1.47,2018-06-10_2018-06-24|2018-10-08_2018-10-22|2019-01-06_2019-01-20|2019-02-05_2019-02-19|2019-04-06_2019-04-20|2019-06-05_2019-06-19|2019-07-05_2019-07-19|2019-09-03_2019-09-17|2019-11-02_2019-11-16|2020-01-01_2020-01-15|2020-07-29_2020-08-12|2020-08-28_2020-09-11|2020-10-12_2020-10-26|2021-01-10_2021-01-24|2021-02-09_2021-02-23|2021-02-24_2021-03-10|2021-04-10_2021-04-24|2022-02-04_2022-02-18|2022-05-05_2022-05-19|2022-10-02_2022-10-16|2022-12-01_2022-12-15|2022-12-31_2023-01-14|2023-02-14_2023-02-28|2023-03-01_2023-03-15|2023-04-30_2023-05-14|2023-06-29_2023-07-13|2023-09-12_2023-09-26|2024-02-09_2024-02-23|2024-06-08_2024-06-22|2024-08-07_2024-08-21|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2024-12-05_2024-12-19|2025-05-04_2025-05-18|2025-07-03_2025-07-17|2025-08-02_2025-08-16|2025-10-16_2025-10-30
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-07-09_2021-07-23
