آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,13,11,2,84.6,15.4,5.5,2021-10-14_2021-11-12|2021-11-11_2021-12-10|2022-04-13_2022-05-12|2022-09-14_2022-10-13|2023-09-14_2023-10-13|2023-12-13_2024-01-11|2024-03-13_2024-04-11|2024-09-12_2024-10-11|2025-08-13_2025-09-11|2019-06-13_2019-07-12|2020-07-15_2020-08-13|2022-01-13_2022-02-11|2025-01-16_2025-02-14
0.0,1,CPI m/m,Good,9,6,3,66.7,33.3,2.0,2022-10-14_2022-11-12|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2018-06-13_2018-07-12|2018-09-14_2018-10-13|2020-03-12_2020-04-10|2020-05-13_2020-06-11|2022-07-14_2022-08-12|2023-06-14_2023-07-13
0.0,1,CPI m/m,Neutral,12,6,6,50.0,50.0,1.0,2023-02-15_2023-03-16|2023-07-13_2023-08-11|2024-02-14_2024-03-14|2018-07-13_2018-08-11|2018-11-15_2018-12-14|2018-12-13_2019-01-11|2019-02-14_2019-03-15|2021-01-14_2021-02-12|2022-02-11_2022-03-12|2022-12-14_2023-01-12|2024-08-15_2024-09-13|2025-12-19_2026-01-17
0.1,1,CPI m/m,Bad,9,7,2,77.8,22.2,3.5,2021-10-14_2021-11-12|2021-11-11_2021-12-10|2022-09-14_2022-10-13|2023-09-14_2023-10-13|2024-03-13_2024-04-11|2025-08-13_2025-09-11|2020-07-15_2020-08-13|2022-01-13_2022-02-11|2025-01-16_2025-02-14
0.1,1,CPI m/m,Neutral,21,13,8,61.9,38.1,1.62,2022-04-13_2022-05-12|2023-02-15_2023-03-16|2023-07-13_2023-08-11|2023-12-13_2024-01-11|2024-02-14_2024-03-14|2024-05-16_2024-06-14|2024-09-12_2024-10-11|2018-06-13_2018-07-12|2018-07-13_2018-08-11|2018-09-14_2018-10-13|2018-11-15_2018-12-14|2018-12-13_2019-01-11|2019-02-14_2019-03-15|2019-06-13_2019-07-12|2020-05-13_2020-06-11|2021-01-14_2021-02-12|2022-02-11_2022-03-12|2022-12-14_2023-01-12|2023-06-14_2023-07-13|2024-08-15_2024-09-13|2025-12-19_2026-01-17
0.1,1,CPI m/m,Good,4,3,1,75.0,25.0,3.0,2022-10-14_2022-11-12|2024-06-13_2024-07-12|2020-03-12_2020-04-10|2022-07-14_2022-08-12
0.2,1,CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2021-10-14_2021-11-12|2020-07-15_2020-08-13
0.2,1,CPI m/m,Neutral,32,22,10,68.8,31.2,2.2,2021-11-11_2021-12-10|2022-04-13_2022-05-12|2022-09-14_2022-10-13|2022-10-14_2022-11-12|2023-02-15_2023-03-16|2023-07-13_2023-08-11|2023-09-14_2023-10-13|2023-12-13_2024-01-11|2024-02-14_2024-03-14|2024-03-13_2024-04-11|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2024-09-12_2024-10-11|2025-08-13_2025-09-11|2018-06-13_2018-07-12|2018-07-13_2018-08-11|2018-09-14_2018-10-13|2018-11-15_2018-12-14|2018-12-13_2019-01-11|2019-02-14_2019-03-15|2019-06-13_2019-07-12|2020-03-12_2020-04-10|2020-05-13_2020-06-11|2021-01-14_2021-02-12|2022-01-13_2022-02-11|2022-02-11_2022-03-12|2022-07-14_2022-08-12|2022-12-14_2023-01-12|2023-06-14_2023-07-13|2024-08-15_2024-09-13|2025-01-16_2025-02-14|2025-12-19_2026-01-17
0.3,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2021-10-14_2021-11-12
0.3,1,CPI m/m,Neutral,33,23,10,69.7,30.3,2.3,2021-11-11_2021-12-10|2022-04-13_2022-05-12|2022-09-14_2022-10-13|2022-10-14_2022-11-12|2023-02-15_2023-03-16|2023-07-13_2023-08-11|2023-09-14_2023-10-13|2023-12-13_2024-01-11|2024-02-14_2024-03-14|2024-03-13_2024-04-11|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2024-09-12_2024-10-11|2025-08-13_2025-09-11|2018-06-13_2018-07-12|2018-07-13_2018-08-11|2018-09-14_2018-10-13|2018-11-15_2018-12-14|2018-12-13_2019-01-11|2019-02-14_2019-03-15|2019-06-13_2019-07-12|2020-03-12_2020-04-10|2020-05-13_2020-06-11|2020-07-15_2020-08-13|2021-01-14_2021-02-12|2022-01-13_2022-02-11|2022-02-11_2022-03-12|2022-07-14_2022-08-12|2022-12-14_2023-01-12|2023-06-14_2023-07-13|2024-08-15_2024-09-13|2025-01-16_2025-02-14|2025-12-19_2026-01-17
