آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,14,11,3,78.6,21.4,3.67,2018-09-13_2018-09-17|2018-10-08_2018-10-12|2019-05-06_2019-05-10|2020-02-10_2020-02-14|2020-04-10_2020-04-14|2020-06-09_2020-06-13|2020-11-11_2020-11-15|2022-08-08_2022-08-12|2022-12-11_2022-12-15|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2024-05-14_2024-05-18|2025-04-09_2025-04-13|2025-05-09_2025-05-13
0.0,1,CPI m/m,Bad,10,9,1,90.0,10.0,9.0,2019-04-06_2019-04-10|2020-07-14_2020-07-18|2021-07-09_2021-07-13|2021-10-12_2021-10-16|2021-11-06_2021-11-10|2022-06-09_2022-06-13|2022-09-12_2022-09-16|2023-10-12_2023-10-16|2024-02-09_2024-02-13|2024-04-09_2024-04-13
0.0,1,CPI m/m,Neutral,13,9,4,69.2,30.8,2.25,2020-10-12_2020-10-16|2021-01-10_2021-01-14|2021-03-06_2021-03-10|2023-01-10_2023-01-14|2023-02-14_2023-02-18|2023-03-11_2023-03-15|2023-08-08_2023-08-12|2024-03-10_2024-03-14|2024-08-12_2024-08-16|2024-09-11_2024-09-15|2025-01-14_2025-01-18|2025-08-12_2025-08-16|2026-01-09_2026-01-13
0.1,1,CPI m/m,Neutral,23,18,5,78.3,21.7,3.6,2018-09-13_2018-09-17|2018-10-08_2018-10-12|2020-02-10_2020-02-14|2020-06-09_2020-06-13|2020-07-14_2020-07-18|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2021-01-10_2021-01-14|2021-03-06_2021-03-10|2023-01-10_2023-01-14|2023-02-14_2023-02-18|2023-03-11_2023-03-15|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2024-02-09_2024-02-13|2024-03-10_2024-03-14|2024-08-12_2024-08-16|2024-09-11_2024-09-15|2025-01-14_2025-01-18|2025-05-09_2025-05-13|2025-08-12_2025-08-16|2026-01-09_2026-01-13
0.1,1,CPI m/m,Bad,8,7,1,87.5,12.5,7.0,2019-04-06_2019-04-10|2021-07-09_2021-07-13|2021-10-12_2021-10-16|2021-11-06_2021-11-10|2022-06-09_2022-06-13|2022-09-12_2022-09-16|2023-10-12_2023-10-16|2024-04-09_2024-04-13
0.1,1,CPI m/m,Good,6,4,2,66.7,33.3,2.0,2019-05-06_2019-05-10|2020-04-10_2020-04-14|2022-08-08_2022-08-12|2022-12-11_2022-12-15|2024-05-14_2024-05-18|2025-04-09_2025-04-13
0.2,1,CPI m/m,Neutral,34,26,8,76.5,23.5,3.25,2018-09-13_2018-09-17|2018-10-08_2018-10-12|2019-04-06_2019-04-10|2019-05-06_2019-05-10|2020-02-10_2020-02-14|2020-04-10_2020-04-14|2020-06-09_2020-06-13|2020-07-14_2020-07-18|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2021-01-10_2021-01-14|2021-03-06_2021-03-10|2021-10-12_2021-10-16|2022-08-08_2022-08-12|2022-09-12_2022-09-16|2022-12-11_2022-12-15|2023-01-10_2023-01-14|2023-02-14_2023-02-18|2023-03-11_2023-03-15|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2023-10-12_2023-10-16|2024-02-09_2024-02-13|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2024-05-14_2024-05-18|2024-08-12_2024-08-16|2024-09-11_2024-09-15|2025-01-14_2025-01-18|2025-04-09_2025-04-13|2025-05-09_2025-05-13|2025-08-12_2025-08-16|2026-01-09_2026-01-13
0.2,1,CPI m/m,Bad,3,3,0,100.0,0.0,inf,2021-07-09_2021-07-13|2021-11-06_2021-11-10|2022-06-09_2022-06-13
0.3,1,CPI m/m,Neutral,34,26,8,76.5,23.5,3.25,2018-09-13_2018-09-17|2018-10-08_2018-10-12|2019-04-06_2019-04-10|2019-05-06_2019-05-10|2020-02-10_2020-02-14|2020-04-10_2020-04-14|2020-06-09_2020-06-13|2020-07-14_2020-07-18|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2021-01-10_2021-01-14|2021-03-06_2021-03-10|2021-10-12_2021-10-16|2022-08-08_2022-08-12|2022-09-12_2022-09-16|2022-12-11_2022-12-15|2023-01-10_2023-01-14|2023-02-14_2023-02-18|2023-03-11_2023-03-15|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2023-10-12_2023-10-16|2024-02-09_2024-02-13|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2024-05-14_2024-05-18|2024-08-12_2024-08-16|2024-09-11_2024-09-15|2025-01-14_2025-01-18|2025-04-09_2025-04-13|2025-05-09_2025-05-13|2025-08-12_2025-08-16|2026-01-09_2026-01-13
0.3,1,CPI m/m,Bad,3,3,0,100.0,0.0,inf,2021-07-09_2021-07-13|2021-11-06_2021-11-10|2022-06-09_2022-06-13
