آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,5,4,1,80.0,20.0,4.0,2018-07-05_2018-07-14|2019-10-08_2019-10-17|2020-11-11_2020-11-20|2023-07-09_2023-07-18|2025-03-10_2025-03-19
0.0,1,CPI m/m,Neutral,4,4,0,100.0,0.0,inf,2018-08-04_2018-08-13|2023-02-09_2023-02-18|2023-08-08_2023-08-17|2025-01-09_2025-01-18
0.0,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2019-04-01_2019-04-10
0.1,1,CPI m/m,Neutral,9,8,1,88.9,11.1,8.0,2018-07-05_2018-07-14|2018-08-04_2018-08-13|2019-10-08_2019-10-17|2020-11-11_2020-11-20|2023-02-09_2023-02-18|2023-07-09_2023-07-18|2023-08-08_2023-08-17|2025-01-09_2025-01-18|2025-03-10_2025-03-19
0.1,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2019-04-01_2019-04-10
0.2,1,CPI m/m,Neutral,10,8,2,80.0,20.0,4.0,2018-07-05_2018-07-14|2018-08-04_2018-08-13|2019-04-01_2019-04-10|2019-10-08_2019-10-17|2020-11-11_2020-11-20|2023-02-09_2023-02-18|2023-07-09_2023-07-18|2023-08-08_2023-08-17|2025-01-09_2025-01-18|2025-03-10_2025-03-19
0.3,1,CPI m/m,Neutral,10,8,2,80.0,20.0,4.0,2018-07-05_2018-07-14|2018-08-04_2018-08-13|2019-04-01_2019-04-10|2019-10-08_2019-10-17|2020-11-11_2020-11-20|2023-02-09_2023-02-18|2023-07-09_2023-07-18|2023-08-08_2023-08-17|2025-01-09_2025-01-18|2025-03-10_2025-03-19
0.0,1,Core CPI m/m,Neutral,4,4,0,100.0,0.0,inf,2018-07-05_2018-07-14|2018-08-04_2018-08-13|2023-02-09_2023-02-18|2023-08-08_2023-08-17
0.0,1,Core CPI m/m,Good,6,4,2,66.7,33.3,2.0,2019-04-01_2019-04-10|2019-10-08_2019-10-17|2020-11-11_2020-11-20|2023-07-09_2023-07-18|2025-01-09_2025-01-18|2025-03-10_2025-03-19
0.1,1,Core CPI m/m,Neutral,9,8,1,88.9,11.1,8.0,2018-07-05_2018-07-14|2018-08-04_2018-08-13|2019-04-01_2019-04-10|2019-10-08_2019-10-17|2023-02-09_2023-02-18|2023-07-09_2023-07-18|2023-08-08_2023-08-17|2025-01-09_2025-01-18|2025-03-10_2025-03-19
0.1,1,Core CPI m/m,Good,1,0,1,0.0,100.0,0.0,2020-11-11_2020-11-20
0.2,1,Core CPI m/m,Neutral,10,8,2,80.0,20.0,4.0,2018-07-05_2018-07-14|2018-08-04_2018-08-13|2019-04-01_2019-04-10|2019-10-08_2019-10-17|2020-11-11_2020-11-20|2023-02-09_2023-02-18|2023-07-09_2023-07-18|2023-08-08_2023-08-17|2025-01-09_2025-01-18|2025-03-10_2025-03-19
0.3,1,Core CPI m/m,Neutral,10,8,2,80.0,20.0,4.0,2018-07-05_2018-07-14|2018-08-04_2018-08-13|2019-04-01_2019-04-10|2019-10-08_2019-10-17|2020-11-11_2020-11-20|2023-02-09_2023-02-18|2023-07-09_2023-07-18|2023-08-08_2023-08-17|2025-01-09_2025-01-18|2025-03-10_2025-03-19
