آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,8,4,4,50.0,50.0,1.0,2018-01-11_2018-01-25|2019-06-05_2019-06-19|2019-09-03_2019-09-17|2021-02-09_2021-02-23|2021-08-08_2021-08-22|2022-04-05_2022-04-19|2024-03-10_2024-03-24|2024-09-06_2024-09-20
0.0,1,CPI m/m,Bad,11,8,3,72.7,27.3,2.67,2019-11-02_2019-11-16|2021-04-10_2021-04-24|2021-05-10_2021-05-24|2021-12-06_2021-12-20|2022-01-05_2022-01-19|2022-02-04_2022-02-18|2022-10-02_2022-10-16|2023-10-12_2023-10-26|2023-12-11_2023-12-25|2024-10-06_2024-10-20|2025-02-03_2025-02-17
0.0,1,CPI m/m,Good,3,2,1,66.7,33.3,2.0,2020-05-30_2020-06-13|2023-06-29_2023-07-13|2025-04-04_2025-04-18
0.1,1,CPI m/m,Neutral,14,8,6,57.1,42.9,1.33,2018-01-11_2018-01-25|2019-06-05_2019-06-19|2019-09-03_2019-09-17|2020-05-30_2020-06-13|2021-02-09_2021-02-23|2021-04-10_2021-04-24|2021-08-08_2021-08-22|2022-01-05_2022-01-19|2022-04-05_2022-04-19|2023-06-29_2023-07-13|2023-12-11_2023-12-25|2024-03-10_2024-03-24|2024-09-06_2024-09-20|2024-10-06_2024-10-20
0.1,1,CPI m/m,Bad,7,5,2,71.4,28.6,2.5,2019-11-02_2019-11-16|2021-05-10_2021-05-24|2021-12-06_2021-12-20|2022-02-04_2022-02-18|2022-10-02_2022-10-16|2023-10-12_2023-10-26|2025-02-03_2025-02-17
0.1,1,CPI m/m,Good,1,1,0,100.0,0.0,inf,2025-04-04_2025-04-18
0.2,1,CPI m/m,Neutral,21,13,8,61.9,38.1,1.62,2018-01-11_2018-01-25|2019-06-05_2019-06-19|2019-09-03_2019-09-17|2019-11-02_2019-11-16|2020-05-30_2020-06-13|2021-02-09_2021-02-23|2021-04-10_2021-04-24|2021-08-08_2021-08-22|2021-12-06_2021-12-20|2022-01-05_2022-01-19|2022-02-04_2022-02-18|2022-04-05_2022-04-19|2022-10-02_2022-10-16|2023-06-29_2023-07-13|2023-10-12_2023-10-26|2023-12-11_2023-12-25|2024-03-10_2024-03-24|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2025-02-03_2025-02-17|2025-04-04_2025-04-18
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-05-10_2021-05-24
0.3,1,CPI m/m,Neutral,21,13,8,61.9,38.1,1.62,2018-01-11_2018-01-25|2019-06-05_2019-06-19|2019-09-03_2019-09-17|2019-11-02_2019-11-16|2020-05-30_2020-06-13|2021-02-09_2021-02-23|2021-04-10_2021-04-24|2021-08-08_2021-08-22|2021-12-06_2021-12-20|2022-01-05_2022-01-19|2022-02-04_2022-02-18|2022-04-05_2022-04-19|2022-10-02_2022-10-16|2023-06-29_2023-07-13|2023-10-12_2023-10-26|2023-12-11_2023-12-25|2024-03-10_2024-03-24|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2025-02-03_2025-02-17|2025-04-04_2025-04-18
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-05-10_2021-05-24
0.0,1,Core CPI m/m,Bad,11,5,6,45.5,54.5,0.83,2018-01-11_2018-01-25|2019-09-03_2019-09-17|2021-04-10_2021-04-24|2021-05-10_2021-05-24|2022-01-05_2022-01-19|2022-02-04_2022-02-18|2022-10-02_2022-10-16|2024-03-10_2024-03-24|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2025-02-03_2025-02-17
0.0,1,Core CPI m/m,Good,7,6,1,85.7,14.3,6.0,2019-06-05_2019-06-19|2020-05-30_2020-06-13|2021-02-09_2021-02-23|2021-08-08_2021-08-22|2022-04-05_2022-04-19|2023-06-29_2023-07-13|2025-04-04_2025-04-18
0.0,1,Core CPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2019-11-02_2019-11-16|2021-12-06_2021-12-20|2023-10-12_2023-10-26|2023-12-11_2023-12-25
0.1,1,Core CPI m/m,Neutral,14,8,6,57.1,42.9,1.33,2018-01-11_2018-01-25|2019-06-05_2019-06-19|2019-09-03_2019-09-17|2019-11-02_2019-11-16|2020-05-30_2020-06-13|2021-04-10_2021-04-24|2021-12-06_2021-12-20|2022-01-05_2022-01-19|2022-02-04_2022-02-18|2023-06-29_2023-07-13|2023-10-12_2023-10-26|2023-12-11_2023-12-25|2024-09-06_2024-09-20|2024-10-06_2024-10-20
0.1,1,Core CPI m/m,Good,4,4,0,100.0,0.0,inf,2021-02-09_2021-02-23|2021-08-08_2021-08-22|2022-04-05_2022-04-19|2025-04-04_2025-04-18
0.1,1,Core CPI m/m,Bad,4,2,2,50.0,50.0,1.0,2021-05-10_2021-05-24|2022-10-02_2022-10-16|2024-03-10_2024-03-24|2025-02-03_2025-02-17
