آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,7,6,1,85.7,14.3,6.0,2018-06-10_2018-06-14|2019-06-10_2019-06-14|2021-08-08_2021-08-12|2023-08-08_2023-08-12|2025-01-14_2025-01-18|2021-03-06_2021-03-10|2025-08-12_2025-08-16
0.0,1,CPI m/m,Bad,11,7,4,63.6,36.4,1.75,2019-11-12_2019-11-16|2019-12-07_2019-12-11|2020-08-08_2020-08-12|2020-12-06_2020-12-10|2021-07-09_2021-07-13|2022-02-09_2022-02-13|2022-10-12_2022-10-16|2023-10-12_2023-10-16|2023-12-11_2023-12-15|2024-10-06_2024-10-10|2022-09-12_2022-09-16
0.0,1,CPI m/m,Good,5,4,1,80.0,20.0,4.0,2020-06-09_2020-06-13|2023-07-09_2023-07-13|2024-05-14_2024-05-18|2024-07-08_2024-07-12|2025-03-10_2025-03-14
0.1,1,CPI m/m,Neutral,14,11,3,78.6,21.4,3.67,2018-06-10_2018-06-14|2019-06-10_2019-06-14|2019-12-07_2019-12-11|2020-06-09_2020-06-13|2020-12-06_2020-12-10|2021-08-08_2021-08-12|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2023-12-11_2023-12-15|2024-10-06_2024-10-10|2025-01-14_2025-01-18|2025-03-10_2025-03-14|2021-03-06_2021-03-10|2025-08-12_2025-08-16
0.1,1,CPI m/m,Bad,7,4,3,57.1,42.9,1.33,2019-11-12_2019-11-16|2020-08-08_2020-08-12|2021-07-09_2021-07-13|2022-02-09_2022-02-13|2022-10-12_2022-10-16|2023-10-12_2023-10-16|2022-09-12_2022-09-16
0.1,1,CPI m/m,Good,2,2,0,100.0,0.0,inf,2024-05-14_2024-05-18|2024-07-08_2024-07-12
0.2,1,CPI m/m,Neutral,21,16,5,76.2,23.8,3.2,2018-06-10_2018-06-14|2019-06-10_2019-06-14|2019-11-12_2019-11-16|2019-12-07_2019-12-11|2020-06-09_2020-06-13|2020-12-06_2020-12-10|2021-08-08_2021-08-12|2022-02-09_2022-02-13|2022-10-12_2022-10-16|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2023-10-12_2023-10-16|2023-12-11_2023-12-15|2024-05-14_2024-05-18|2024-07-08_2024-07-12|2024-10-06_2024-10-10|2025-01-14_2025-01-18|2025-03-10_2025-03-14|2021-03-06_2021-03-10|2022-09-12_2022-09-16|2025-08-12_2025-08-16
0.2,1,CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2020-08-08_2020-08-12|2021-07-09_2021-07-13
0.3,1,CPI m/m,Neutral,22,16,6,72.7,27.3,2.67,2018-06-10_2018-06-14|2019-06-10_2019-06-14|2019-11-12_2019-11-16|2019-12-07_2019-12-11|2020-06-09_2020-06-13|2020-08-08_2020-08-12|2020-12-06_2020-12-10|2021-08-08_2021-08-12|2022-02-09_2022-02-13|2022-10-12_2022-10-16|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2023-10-12_2023-10-16|2023-12-11_2023-12-15|2024-05-14_2024-05-18|2024-07-08_2024-07-12|2024-10-06_2024-10-10|2025-01-14_2025-01-18|2025-03-10_2025-03-14|2021-03-06_2021-03-10|2022-09-12_2022-09-16|2025-08-12_2025-08-16
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-07-09_2021-07-13
