آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2019-03-12_2019-03-16|2019-06-10_2019-06-14|2022-03-06_2022-03-10
0.0,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2025-09-11_2025-09-15
0.1,1,CPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2019-03-12_2019-03-16|2019-06-10_2019-06-14|2022-03-06_2022-03-10
0.1,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2025-09-11_2025-09-15
0.2,1,CPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2019-03-12_2019-03-16|2019-06-10_2019-06-14|2022-03-06_2022-03-10|2025-09-11_2025-09-15
0.3,1,CPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2019-03-12_2019-03-16|2019-06-10_2019-06-14|2022-03-06_2022-03-10|2025-09-11_2025-09-15
0.0,1,Core CPI m/m,Good,2,1,1,50.0,50.0,1.0,2019-03-12_2019-03-16|2019-06-10_2019-06-14
0.0,1,Core CPI m/m,Neutral,2,2,0,100.0,0.0,inf,2022-03-06_2022-03-10|2025-09-11_2025-09-15
0.1,1,Core CPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2019-03-12_2019-03-16|2019-06-10_2019-06-14|2022-03-06_2022-03-10|2025-09-11_2025-09-15
0.2,1,Core CPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2019-03-12_2019-03-16|2019-06-10_2019-06-14|2022-03-06_2022-03-10|2025-09-11_2025-09-15
0.3,1,Core CPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2019-03-12_2019-03-16|2019-06-10_2019-06-14|2022-03-06_2022-03-10|2025-09-11_2025-09-15
0.0,1,PPI m/m,Good,3,2,1,66.7,33.3,2.0,2019-03-12_2019-03-16|2019-12-12_2019-12-16|2024-06-13_2024-06-17
0.0,1,PPI m/m,Bad,1,1,0,100.0,0.0,inf,2019-04-11_2019-04-15
0.0,1,PPI m/m,Neutral,1,0,1,0.0,100.0,0.0,2019-06-10_2019-06-14
0.1,1,PPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2019-03-12_2019-03-16|2019-06-10_2019-06-14
0.1,1,PPI m/m,Bad,1,1,0,100.0,0.0,inf,2019-04-11_2019-04-15
0.1,1,PPI m/m,Good,2,1,1,50.0,50.0,1.0,2019-12-12_2019-12-16|2024-06-13_2024-06-17
0.2,1,PPI m/m,Neutral,3,1,2,33.3,66.7,0.5,2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-12-12_2019-12-16
0.2,1,PPI m/m,Bad,1,1,0,100.0,0.0,inf,2019-04-11_2019-04-15
0.2,1,PPI m/m,Good,1,1,0,100.0,0.0,inf,2024-06-13_2024-06-17
0.3,1,PPI m/m,Neutral,4,2,2,50.0,50.0,1.0,2019-03-12_2019-03-16|2019-04-11_2019-04-15|2019-06-10_2019-06-14|2019-12-12_2019-12-16
0.3,1,PPI m/m,Good,1,1,0,100.0,0.0,inf,2024-06-13_2024-06-17
0.0,1,Core PPI m/m,Good,3,2,1,66.7,33.3,2.0,2019-03-12_2019-03-16|2019-12-12_2019-12-16|2024-06-13_2024-06-17
0.0,1,Core PPI m/m,Bad,1,1,0,100.0,0.0,inf,2019-04-11_2019-04-15
0.0,1,Core PPI m/m,Neutral,1,0,1,0.0,100.0,0.0,2019-06-10_2019-06-14
