آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,4,2,2,50.0,50.0,1.0,2019-04-11_2019-05-10|2019-09-13_2019-10-12|2020-05-13_2020-06-11|2024-06-13_2024-07-12
0.0,1,CPI m/m,Neutral,1,1,0,100.0,0.0,inf,2019-08-14_2019-09-12
0.1,1,CPI m/m,Good,2,1,1,50.0,50.0,1.0,2019-04-11_2019-05-10|2024-06-13_2024-07-12
0.1,1,CPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2019-08-14_2019-09-12|2019-09-13_2019-10-12|2020-05-13_2020-06-11
0.2,1,CPI m/m,Neutral,5,3,2,60.0,40.0,1.5,2019-04-11_2019-05-10|2019-08-14_2019-09-12|2019-09-13_2019-10-12|2020-05-13_2020-06-11|2024-06-13_2024-07-12
0.3,1,CPI m/m,Neutral,5,3,2,60.0,40.0,1.5,2019-04-11_2019-05-10|2019-08-14_2019-09-12|2019-09-13_2019-10-12|2020-05-13_2020-06-11|2024-06-13_2024-07-12
0.0,1,Core CPI m/m,Good,4,2,2,50.0,50.0,1.0,2019-04-11_2019-05-10|2019-09-13_2019-10-12|2020-05-13_2020-06-11|2024-06-13_2024-07-12
0.0,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2019-08-14_2019-09-12
0.1,1,Core CPI m/m,Neutral,5,3,2,60.0,40.0,1.5,2019-04-11_2019-05-10|2019-08-14_2019-09-12|2019-09-13_2019-10-12|2020-05-13_2020-06-11|2024-06-13_2024-07-12
0.2,1,Core CPI m/m,Neutral,5,3,2,60.0,40.0,1.5,2019-04-11_2019-05-10|2019-08-14_2019-09-12|2019-09-13_2019-10-12|2020-05-13_2020-06-11|2024-06-13_2024-07-12
0.3,1,Core CPI m/m,Neutral,5,3,2,60.0,40.0,1.5,2019-04-11_2019-05-10|2019-08-14_2019-09-12|2019-09-13_2019-10-12|2020-05-13_2020-06-11|2024-06-13_2024-07-12
0.0,1,PPI m/m,Bad,2,2,0,100.0,0.0,inf,2019-04-11_2019-05-10|2019-08-14_2019-09-12
0.0,1,PPI m/m,Neutral,1,1,0,100.0,0.0,inf,2019-07-12_2019-08-10
0.0,1,PPI m/m,Good,5,3,2,60.0,40.0,1.5,2019-09-13_2019-10-12|2020-05-13_2020-06-11|2020-06-11_2020-07-10|2024-01-12_2024-02-10|2024-06-13_2024-07-12
0.1,1,PPI m/m,Bad,1,1,0,100.0,0.0,inf,2019-04-11_2019-05-10
0.1,1,PPI m/m,Neutral,2,2,0,100.0,0.0,inf,2019-07-12_2019-08-10|2019-08-14_2019-09-12
