آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,1,0,1,0.0,100.0,0.0,2019-09-08_2019-09-17
0.0,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2024-02-04_2024-02-13
0.1,1,CPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2019-09-08_2019-09-17|2024-02-04_2024-02-13
0.2,1,CPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2019-09-08_2019-09-17|2024-02-04_2024-02-13
0.3,1,CPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2019-09-08_2019-09-17|2024-02-04_2024-02-13
0.0,1,Core CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2019-09-08_2019-09-17|2024-02-04_2024-02-13
0.1,1,Core CPI m/m,Neutral,1,0,1,0.0,100.0,0.0,2019-09-08_2019-09-17
0.1,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2024-02-04_2024-02-13
0.2,1,Core CPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2019-09-08_2019-09-17|2024-02-04_2024-02-13
0.3,1,Core CPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2019-09-08_2019-09-17|2024-02-04_2024-02-13
0.0,1,PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2019-04-11_2019-04-20|2019-09-08_2019-09-17
0.0,1,PPI m/m,Good,1,0,1,0.0,100.0,0.0,2024-06-13_2024-06-22
0.1,1,PPI m/m,Bad,1,1,0,100.0,0.0,inf,2019-04-11_2019-04-20
0.1,1,PPI m/m,Neutral,1,0,1,0.0,100.0,0.0,2019-09-08_2019-09-17
0.1,1,PPI m/m,Good,1,0,1,0.0,100.0,0.0,2024-06-13_2024-06-22
0.2,1,PPI m/m,Bad,1,1,0,100.0,0.0,inf,2019-04-11_2019-04-20
0.2,1,PPI m/m,Neutral,1,0,1,0.0,100.0,0.0,2019-09-08_2019-09-17
0.2,1,PPI m/m,Good,1,0,1,0.0,100.0,0.0,2024-06-13_2024-06-22
0.3,1,PPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2019-04-11_2019-04-20|2019-09-08_2019-09-17
0.3,1,PPI m/m,Good,1,0,1,0.0,100.0,0.0,2024-06-13_2024-06-22
0.0,1,Core PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2019-04-11_2019-04-20|2019-09-08_2019-09-17
0.0,1,Core PPI m/m,Good,1,0,1,0.0,100.0,0.0,2024-06-13_2024-06-22
0.1,1,Core PPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2019-04-11_2019-04-20|2019-09-08_2019-09-17
0.1,1,Core PPI m/m,Good,1,0,1,0.0,100.0,0.0,2024-06-13_2024-06-22
0.2,1,Core PPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2019-04-11_2019-04-20|2019-09-08_2019-09-17
0.2,1,Core PPI m/m,Good,1,0,1,0.0,100.0,0.0,2024-06-13_2024-06-22
0.3,1,Core PPI m/m,Neutral,3,1,2,33.3,66.7,0.5,2019-04-11_2019-04-20|2019-09-08_2019-09-17|2024-06-13_2024-06-22
0.0,1,CPI y/y,Good,1,0,1,0.0,100.0,0.0,2019-09-08_2019-09-17
0.0,1,CPI y/y,Bad,1,1,0,100.0,0.0,inf,2024-02-04_2024-02-13
0.1,1,CPI y/y,Good,1,0,1,0.0,100.0,0.0,2019-09-08_2019-09-17
0.1,1,CPI y/y,Bad,1,1,0,100.0,0.0,inf,2024-02-04_2024-02-13
