آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,8,4,4,50.0,50.0,1.0,2018-07-10_2018-07-14|2018-10-08_2018-10-12|2019-02-10_2019-02-14|2021-09-12_2021-09-16|2022-08-08_2022-08-12|2023-07-09_2023-07-13|2024-07-08_2024-07-12|2025-05-09_2025-05-13
0.0,1,CPI m/m,Neutral,9,5,4,55.6,44.4,1.25,2019-09-08_2019-09-12|2020-10-12_2020-10-16|2022-03-06_2022-03-10|2022-04-10_2022-04-14|2023-02-14_2023-02-18|2023-03-11_2023-03-15|2023-08-08_2023-08-12|2024-08-12_2024-08-16|2024-12-10_2024-12-14
0.0,1,CPI m/m,Bad,9,7,2,77.8,22.2,3.5,2019-12-07_2019-12-11|2020-07-14_2020-07-18|2020-09-07_2020-09-11|2020-12-06_2020-12-10|2021-10-12_2021-10-16|2022-01-10_2022-01-14|2022-10-12_2022-10-16|2024-10-06_2024-10-10|2025-09-11_2025-09-15
0.1,1,CPI m/m,Neutral,19,12,7,63.2,36.8,1.71,2018-07-10_2018-07-14|2018-10-08_2018-10-12|2019-02-10_2019-02-14|2019-09-08_2019-09-12|2019-12-07_2019-12-11|2020-07-14_2020-07-18|2020-10-12_2020-10-16|2020-12-06_2020-12-10|2022-01-10_2022-01-14|2022-03-06_2022-03-10|2022-04-10_2022-04-14|2023-02-14_2023-02-18|2023-03-11_2023-03-15|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2024-12-10_2024-12-14|2025-05-09_2025-05-13
0.1,1,CPI m/m,Bad,4,3,1,75.0,25.0,3.0,2020-09-07_2020-09-11|2021-10-12_2021-10-16|2022-10-12_2022-10-16|2025-09-11_2025-09-15
0.1,1,CPI m/m,Good,3,1,2,33.3,66.7,0.5,2021-09-12_2021-09-16|2022-08-08_2022-08-12|2024-07-08_2024-07-12
0.2,1,CPI m/m,Neutral,26,16,10,61.5,38.5,1.6,2018-07-10_2018-07-14|2018-10-08_2018-10-12|2019-02-10_2019-02-14|2019-09-08_2019-09-12|2019-12-07_2019-12-11|2020-07-14_2020-07-18|2020-09-07_2020-09-11|2020-10-12_2020-10-16|2020-12-06_2020-12-10|2021-09-12_2021-09-16|2021-10-12_2021-10-16|2022-01-10_2022-01-14|2022-03-06_2022-03-10|2022-04-10_2022-04-14|2022-08-08_2022-08-12|2022-10-12_2022-10-16|2023-02-14_2023-02-18|2023-03-11_2023-03-15|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2024-12-10_2024-12-14|2025-05-09_2025-05-13|2025-09-11_2025-09-15
0.3,1,CPI m/m,Neutral,26,16,10,61.5,38.5,1.6,2018-07-10_2018-07-14|2018-10-08_2018-10-12|2019-02-10_2019-02-14|2019-09-08_2019-09-12|2019-12-07_2019-12-11|2020-07-14_2020-07-18|2020-09-07_2020-09-11|2020-10-12_2020-10-16|2020-12-06_2020-12-10|2021-09-12_2021-09-16|2021-10-12_2021-10-16|2022-01-10_2022-01-14|2022-03-06_2022-03-10|2022-04-10_2022-04-14|2022-08-08_2022-08-12|2022-10-12_2022-10-16|2023-02-14_2023-02-18|2023-03-11_2023-03-15|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2024-12-10_2024-12-14|2025-05-09_2025-05-13|2025-09-11_2025-09-15
0.0,1,Core CPI m/m,Neutral,11,7,4,63.6,36.4,1.75,2018-07-10_2018-07-14|2019-02-10_2019-02-14|2019-12-07_2019-12-11|2020-10-12_2020-10-16|2021-10-12_2021-10-16|2022-03-06_2022-03-10|2023-02-14_2023-02-18|2023-08-08_2023-08-12|2024-08-12_2024-08-16|2024-12-10_2024-12-14|2025-09-11_2025-09-15
0.0,1,Core CPI m/m,Good,7,3,4,42.9,57.1,0.75,2018-10-08_2018-10-12|2021-09-12_2021-09-16|2022-04-10_2022-04-14|2022-08-08_2022-08-12|2023-07-09_2023-07-13|2024-07-08_2024-07-12|2025-05-09_2025-05-13
0.0,1,Core CPI m/m,Bad,8,6,2,75.0,25.0,3.0,2019-09-08_2019-09-12|2020-07-14_2020-07-18|2020-09-07_2020-09-11|2020-12-06_2020-12-10|2022-01-10_2022-01-14|2022-10-12_2022-10-16|2023-03-11_2023-03-15|2024-10-06_2024-10-10
0.1,1,Core CPI m/m,Neutral,21,13,8,61.9,38.1,1.62,2018-07-10_2018-07-14|2018-10-08_2018-10-12|2019-02-10_2019-02-14|2019-09-08_2019-09-12|2019-12-07_2019-12-11|2020-07-14_2020-07-18|2020-10-12_2020-10-16|2020-12-06_2020-12-10|2021-10-12_2021-10-16|2022-01-10_2022-01-14|2022-03-06_2022-03-10|2023-02-14_2023-02-18|2023-03-11_2023-03-15|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2024-12-10_2024-12-14|2025-05-09_2025-05-13|2025-09-11_2025-09-15
0.1,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-09-07_2020-09-11|2022-10-12_2022-10-16
0.1,1,Core CPI m/m,Good,3,1,2,33.3,66.7,0.5,2021-09-12_2021-09-16|2022-04-10_2022-04-14|2022-08-08_2022-08-12
0.2,1,Core CPI m/m,Neutral,26,16,10,61.5,38.5,1.6,2018-07-10_2018-07-14|2018-10-08_2018-10-12|2019-02-10_2019-02-14|2019-09-08_2019-09-12|2019-12-07_2019-12-11|2020-07-14_2020-07-18|2020-09-07_2020-09-11|2020-10-12_2020-10-16|2020-12-06_2020-12-10|2021-09-12_2021-09-16|2021-10-12_2021-10-16|2022-01-10_2022-01-14|2022-03-06_2022-03-10|2022-04-10_2022-04-14|2022-08-08_2022-08-12|2022-10-12_2022-10-16|2023-02-14_2023-02-18|2023-03-11_2023-03-15|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2024-12-10_2024-12-14|2025-05-09_2025-05-13|2025-09-11_2025-09-15
0.3,1,Core CPI m/m,Neutral,26,16,10,61.5,38.5,1.6,2018-07-10_2018-07-14|2018-10-08_2018-10-12|2019-02-10_2019-02-14|2019-09-08_2019-09-12|2019-12-07_2019-12-11|2020-07-14_2020-07-18|2020-09-07_2020-09-11|2020-10-12_2020-10-16|2020-12-06_2020-12-10|2021-09-12_2021-09-16|2021-10-12_2021-10-16|2022-01-10_2022-01-14|2022-03-06_2022-03-10|2022-04-10_2022-04-14|2022-08-08_2022-08-12|2022-10-12_2022-10-16|2023-02-14_2023-02-18|2023-03-11_2023-03-15|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2024-12-10_2024-12-14|2025-05-09_2025-05-13|2025-09-11_2025-09-15
0.0,1,PPI m/m,Bad,17,9,8,52.9,47.1,1.13,2018-07-10_2018-07-14|2019-04-11_2019-04-15|2019-09-08_2019-09-12|2020-02-15_2020-02-19|2020-04-05_2020-04-09|2020-09-07_2020-09-11|2020-10-12_2020-10-16|2021-03-11_2021-03-15|2021-06-14_2021-06-18|2021-07-14_2021-07-18|2022-04-10_2022-04-14|2022-10-12_2022-10-16|2022-12-06_2022-12-10|2023-02-14_2023-02-18|2023-08-08_2023-08-12|2024-07-08_2024-07-12|2024-12-10_2024-12-14
0.0,1,PPI m/m,Good,13,7,6,53.8,46.2,1.17,2018-09-08_2018-09-12|2019-02-10_2019-02-14|2021-10-12_2021-10-16|2022-01-10_2022-01-14|2022-03-11_2022-03-15|2022-08-08_2022-08-12|2023-03-11_2023-03-15|2023-06-14_2023-06-18|2023-07-09_2023-07-13|2024-06-13_2024-06-17|2024-08-12_2024-08-16|2024-10-11_2024-10-15|2025-09-06_2025-09-10
0.0,1,PPI m/m,Neutral,2,2,0,100.0,0.0,inf,2018-10-08_2018-10-12|2025-11-25_2025-11-29
0.1,1,PPI m/m,Neutral,14,7,7,50.0,50.0,1.0,2018-07-10_2018-07-14|2018-10-08_2018-10-12|2019-09-08_2019-09-12|2020-04-05_2020-04-09|2020-09-07_2020-09-11|2021-03-11_2021-03-15|2021-10-12_2021-10-16|2022-12-06_2022-12-10|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-11_2024-10-15|2025-11-25_2025-11-29
0.1,1,PPI m/m,Good,9,4,5,44.4,55.6,0.8,2018-09-08_2018-09-12|2019-02-10_2019-02-14|2022-01-10_2022-01-14|2022-03-11_2022-03-15|2022-08-08_2022-08-12|2023-03-11_2023-03-15|2023-06-14_2023-06-18|2024-06-13_2024-06-17|2025-09-06_2025-09-10
0.1,1,PPI m/m,Bad,9,7,2,77.8,22.2,3.5,2019-04-11_2019-04-15|2020-02-15_2020-02-19|2020-10-12_2020-10-16|2021-06-14_2021-06-18|2021-07-14_2021-07-18|2022-04-10_2022-04-14|2022-10-12_2022-10-16|2023-02-14_2023-02-18|2024-12-10_2024-12-14
0.2,1,PPI m/m,Neutral,21,13,8,61.9,38.1,1.62,2018-07-10_2018-07-14|2018-10-08_2018-10-12|2019-02-10_2019-02-14|2019-09-08_2019-09-12|2020-04-05_2020-04-09|2020-09-07_2020-09-11|2020-10-12_2020-10-16|2021-03-11_2021-03-15|2021-10-12_2021-10-16|2022-01-10_2022-01-14|2022-03-11_2022-03-15|2022-10-12_2022-10-16|2022-12-06_2022-12-10|2023-06-14_2023-06-18|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-11_2024-10-15|2024-12-10_2024-12-14|2025-11-25_2025-11-29
0.2,1,PPI m/m,Good,5,1,4,20.0,80.0,0.25,2018-09-08_2018-09-12|2022-08-08_2022-08-12|2023-03-11_2023-03-15|2024-06-13_2024-06-17|2025-09-06_2025-09-10
0.2,1,PPI m/m,Bad,6,4,2,66.7,33.3,2.0,2019-04-11_2019-04-15|2020-02-15_2020-02-19|2021-06-14_2021-06-18|2021-07-14_2021-07-18|2022-04-10_2022-04-14|2023-02-14_2023-02-18
