آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,3,1,2,33.3,66.7,0.5,2018-07-10_2018-07-14|2019-02-10_2019-02-14|2022-08-08_2022-08-12
0.0,1,CPI m/m,Bad,3,3,0,100.0,0.0,inf,2020-09-07_2020-09-11|2020-12-06_2020-12-10|2022-10-12_2022-10-16
0.0,1,CPI m/m,Neutral,5,3,2,60.0,40.0,1.5,2020-10-12_2020-10-16|2022-03-06_2022-03-10|2022-04-10_2022-04-14|2023-02-14_2023-02-18|2024-08-12_2024-08-16
0.1,1,CPI m/m,Neutral,8,5,3,62.5,37.5,1.67,2018-07-10_2018-07-14|2019-02-10_2019-02-14|2020-10-12_2020-10-16|2020-12-06_2020-12-10|2022-03-06_2022-03-10|2022-04-10_2022-04-14|2023-02-14_2023-02-18|2024-08-12_2024-08-16
0.1,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-09-07_2020-09-11|2022-10-12_2022-10-16
0.1,1,CPI m/m,Good,1,0,1,0.0,100.0,0.0,2022-08-08_2022-08-12
0.2,1,CPI m/m,Neutral,11,7,4,63.6,36.4,1.75,2018-07-10_2018-07-14|2019-02-10_2019-02-14|2020-09-07_2020-09-11|2020-10-12_2020-10-16|2020-12-06_2020-12-10|2022-03-06_2022-03-10|2022-04-10_2022-04-14|2022-08-08_2022-08-12|2022-10-12_2022-10-16|2023-02-14_2023-02-18|2024-08-12_2024-08-16
0.3,1,CPI m/m,Neutral,11,7,4,63.6,36.4,1.75,2018-07-10_2018-07-14|2019-02-10_2019-02-14|2020-09-07_2020-09-11|2020-10-12_2020-10-16|2020-12-06_2020-12-10|2022-03-06_2022-03-10|2022-04-10_2022-04-14|2022-08-08_2022-08-12|2022-10-12_2022-10-16|2023-02-14_2023-02-18|2024-08-12_2024-08-16
0.0,1,Core CPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2018-07-10_2018-07-14|2019-02-10_2019-02-14|2020-10-12_2020-10-16|2022-03-06_2022-03-10|2023-02-14_2023-02-18|2024-08-12_2024-08-16
0.0,1,Core CPI m/m,Bad,3,3,0,100.0,0.0,inf,2020-09-07_2020-09-11|2020-12-06_2020-12-10|2022-10-12_2022-10-16
0.0,1,Core CPI m/m,Good,2,0,2,0.0,100.0,0.0,2022-04-10_2022-04-14|2022-08-08_2022-08-12
0.1,1,Core CPI m/m,Neutral,7,5,2,71.4,28.6,2.5,2018-07-10_2018-07-14|2019-02-10_2019-02-14|2020-10-12_2020-10-16|2020-12-06_2020-12-10|2022-03-06_2022-03-10|2023-02-14_2023-02-18|2024-08-12_2024-08-16
0.1,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-09-07_2020-09-11|2022-10-12_2022-10-16
0.1,1,Core CPI m/m,Good,2,0,2,0.0,100.0,0.0,2022-04-10_2022-04-14|2022-08-08_2022-08-12
0.2,1,Core CPI m/m,Neutral,11,7,4,63.6,36.4,1.75,2018-07-10_2018-07-14|2019-02-10_2019-02-14|2020-09-07_2020-09-11|2020-10-12_2020-10-16|2020-12-06_2020-12-10|2022-03-06_2022-03-10|2022-04-10_2022-04-14|2022-08-08_2022-08-12|2022-10-12_2022-10-16|2023-02-14_2023-02-18|2024-08-12_2024-08-16
0.3,1,Core CPI m/m,Neutral,11,7,4,63.6,36.4,1.75,2018-07-10_2018-07-14|2019-02-10_2019-02-14|2020-09-07_2020-09-11|2020-10-12_2020-10-16|2020-12-06_2020-12-10|2022-03-06_2022-03-10|2022-04-10_2022-04-14|2022-08-08_2022-08-12|2022-10-12_2022-10-16|2023-02-14_2023-02-18|2024-08-12_2024-08-16
0.0,1,PPI m/m,Bad,8,5,3,62.5,37.5,1.67,2018-07-10_2018-07-14|2020-09-07_2020-09-11|2020-10-12_2020-10-16|2021-03-11_2021-03-15|2022-04-10_2022-04-14|2022-10-12_2022-10-16|2022-12-06_2022-12-10|2023-02-14_2023-02-18
0.0,1,PPI m/m,Good,5,1,4,20.0,80.0,0.25,2019-02-10_2019-02-14|2022-08-08_2022-08-12|2024-06-13_2024-06-17|2024-08-12_2024-08-16|2024-10-11_2024-10-15
0.0,1,PPI m/m,Neutral,1,1,0,100.0,0.0,inf,2025-11-25_2025-11-29
0.1,1,PPI m/m,Neutral,7,4,3,57.1,42.9,1.33,2018-07-10_2018-07-14|2020-09-07_2020-09-11|2021-03-11_2021-03-15|2022-12-06_2022-12-10|2024-08-12_2024-08-16|2024-10-11_2024-10-15|2025-11-25_2025-11-29
0.1,1,PPI m/m,Good,3,0,3,0.0,100.0,0.0,2019-02-10_2019-02-14|2022-08-08_2022-08-12|2024-06-13_2024-06-17
0.1,1,PPI m/m,Bad,4,3,1,75.0,25.0,3.0,2020-10-12_2020-10-16|2022-04-10_2022-04-14|2022-10-12_2022-10-16|2023-02-14_2023-02-18
