آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,7,3,4,42.9,57.1,0.75,2020-02-20_2020-03-20|2020-07-11_2020-08-09|2020-11-14_2020-12-13|2022-10-13_2022-11-11|2023-09-15_2023-10-14|2023-10-12_2023-11-10|2025-09-11_2025-10-10
0.0,1,CPI m/m,Good,4,3,1,75.0,25.0,3.0,2020-10-15_2020-11-13|2021-09-11_2021-10-10|2022-07-15_2022-08-13|2025-05-16_2025-06-14
0.0,1,CPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2023-01-19_2023-02-17|2023-07-14_2023-08-12|2024-02-17_2024-03-17
0.1,1,CPI m/m,Neutral,9,6,3,66.7,33.3,2.0,2020-02-20_2020-03-20|2020-07-11_2020-08-09|2020-10-15_2020-11-13|2020-11-14_2020-12-13|2022-10-13_2022-11-11|2023-01-19_2023-02-17|2023-07-14_2023-08-12|2024-02-17_2024-03-17|2025-05-16_2025-06-14
0.1,1,CPI m/m,Good,2,1,1,50.0,50.0,1.0,2021-09-11_2021-10-10|2022-07-15_2022-08-13
0.1,1,CPI m/m,Bad,3,1,2,33.3,66.7,0.5,2023-09-15_2023-10-14|2023-10-12_2023-11-10|2025-09-11_2025-10-10
0.2,1,CPI m/m,Neutral,14,8,6,57.1,42.9,1.33,2020-02-20_2020-03-20|2020-07-11_2020-08-09|2020-10-15_2020-11-13|2020-11-14_2020-12-13|2021-09-11_2021-10-10|2022-07-15_2022-08-13|2022-10-13_2022-11-11|2023-01-19_2023-02-17|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2023-10-12_2023-11-10|2024-02-17_2024-03-17|2025-05-16_2025-06-14|2025-09-11_2025-10-10
0.3,1,CPI m/m,Neutral,14,8,6,57.1,42.9,1.33,2020-02-20_2020-03-20|2020-07-11_2020-08-09|2020-10-15_2020-11-13|2020-11-14_2020-12-13|2021-09-11_2021-10-10|2022-07-15_2022-08-13|2022-10-13_2022-11-11|2023-01-19_2023-02-17|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2023-10-12_2023-11-10|2024-02-17_2024-03-17|2025-05-16_2025-06-14|2025-09-11_2025-10-10
0.0,1,Core CPI m/m,Neutral,6,3,3,50.0,50.0,1.0,2020-02-20_2020-03-20|2023-01-19_2023-02-17|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2023-10-12_2023-11-10|2025-09-11_2025-10-10
0.0,1,Core CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2020-07-11_2020-08-09|2020-11-14_2020-12-13|2024-02-17_2024-03-17
0.0,1,Core CPI m/m,Good,5,3,2,60.0,40.0,1.5,2020-10-15_2020-11-13|2021-09-11_2021-10-10|2022-07-15_2022-08-13|2022-10-13_2022-11-11|2025-05-16_2025-06-14
0.1,1,Core CPI m/m,Neutral,9,4,5,44.4,55.6,0.8,2020-02-20_2020-03-20|2020-07-11_2020-08-09|2020-11-14_2020-12-13|2022-10-13_2022-11-11|2023-01-19_2023-02-17|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2023-10-12_2023-11-10|2025-09-11_2025-10-10
0.1,1,Core CPI m/m,Good,4,3,1,75.0,25.0,3.0,2020-10-15_2020-11-13|2021-09-11_2021-10-10|2022-07-15_2022-08-13|2025-05-16_2025-06-14
0.1,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2024-02-17_2024-03-17
0.2,1,Core CPI m/m,Neutral,14,8,6,57.1,42.9,1.33,2020-02-20_2020-03-20|2020-07-11_2020-08-09|2020-10-15_2020-11-13|2020-11-14_2020-12-13|2021-09-11_2021-10-10|2022-07-15_2022-08-13|2022-10-13_2022-11-11|2023-01-19_2023-02-17|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2023-10-12_2023-11-10|2024-02-17_2024-03-17|2025-05-16_2025-06-14|2025-09-11_2025-10-10
0.3,1,Core CPI m/m,Neutral,14,8,6,57.1,42.9,1.33,2020-02-20_2020-03-20|2020-07-11_2020-08-09|2020-10-15_2020-11-13|2020-11-14_2020-12-13|2021-09-11_2021-10-10|2022-07-15_2022-08-13|2022-10-13_2022-11-11|2023-01-19_2023-02-17|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2023-10-12_2023-11-10|2024-02-17_2024-03-17|2025-05-16_2025-06-14|2025-09-11_2025-10-10
0.0,1,PPI m/m,Good,4,3,1,75.0,25.0,3.0,2020-02-20_2020-03-20|2020-06-12_2020-07-11|2022-07-15_2022-08-13|2025-05-16_2025-06-14
0.0,1,PPI m/m,Bad,5,4,1,80.0,20.0,4.0,2020-10-15_2020-11-13|2023-01-19_2023-02-17|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2024-02-17_2024-03-17
0.0,1,PPI m/m,Neutral,1,1,0,100.0,0.0,inf,2020-11-14_2020-12-13
0.1,1,PPI m/m,Good,3,2,1,66.7,33.3,2.0,2020-02-20_2020-03-20|2020-06-12_2020-07-11|2022-07-15_2022-08-13
0.1,1,PPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2020-10-15_2020-11-13|2020-11-14_2020-12-13|2023-07-14_2023-08-12|2025-05-16_2025-06-14
0.1,1,PPI m/m,Bad,3,3,0,100.0,0.0,inf,2023-01-19_2023-02-17|2023-09-15_2023-10-14|2024-02-17_2024-03-17
0.2,1,PPI m/m,Good,3,2,1,66.7,33.3,2.0,2020-02-20_2020-03-20|2020-06-12_2020-07-11|2022-07-15_2022-08-13
0.2,1,PPI m/m,Neutral,5,4,1,80.0,20.0,4.0,2020-10-15_2020-11-13|2020-11-14_2020-12-13|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2025-05-16_2025-06-14
0.2,1,PPI m/m,Bad,2,2,0,100.0,0.0,inf,2023-01-19_2023-02-17|2024-02-17_2024-03-17
0.3,1,PPI m/m,Good,3,2,1,66.7,33.3,2.0,2020-02-20_2020-03-20|2020-06-12_2020-07-11|2022-07-15_2022-08-13
0.3,1,PPI m/m,Neutral,7,6,1,85.7,14.3,6.0,2020-10-15_2020-11-13|2020-11-14_2020-12-13|2023-01-19_2023-02-17|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2024-02-17_2024-03-17|2025-05-16_2025-06-14
0.0,1,Core PPI m/m,Good,6,5,1,83.3,16.7,5.0,2020-02-20_2020-03-20|2020-06-12_2020-07-11|2020-10-15_2020-11-13|2020-11-14_2020-12-13|2022-07-15_2022-08-13|2025-05-16_2025-06-14
0.0,1,Core PPI m/m,Bad,4,3,1,75.0,25.0,3.0,2023-01-19_2023-02-17|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2024-02-17_2024-03-17
0.1,1,Core PPI m/m,Good,4,3,1,75.0,25.0,3.0,2020-02-20_2020-03-20|2020-06-12_2020-07-11|2022-07-15_2022-08-13|2025-05-16_2025-06-14
0.1,1,Core PPI m/m,Neutral,5,4,1,80.0,20.0,4.0,2020-10-15_2020-11-13|2020-11-14_2020-12-13|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2024-02-17_2024-03-17
0.1,1,Core PPI m/m,Bad,1,1,0,100.0,0.0,inf,2023-01-19_2023-02-17
0.2,1,Core PPI m/m,Good,2,2,0,100.0,0.0,inf,2020-02-20_2020-03-20|2020-06-12_2020-07-11
