آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,4,3,1,75.0,25.0,3.0,2019-04-06_2019-04-10|2022-07-09_2022-07-13|2022-09-12_2022-09-16|2024-04-09_2024-04-13
0.0,1,CPI m/m,Neutral,6,6,0,100.0,0.0,inf,2021-02-09_2021-02-13|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2024-03-10_2024-03-14|2025-08-12_2025-08-16|2026-01-09_2026-01-13
0.0,1,CPI m/m,Good,4,3,1,75.0,25.0,3.0,2022-11-06_2022-11-10|2022-12-11_2022-12-15|2023-07-09_2023-07-13|2025-06-08_2025-06-12
0.1,1,CPI m/m,Bad,4,3,1,75.0,25.0,3.0,2019-04-06_2019-04-10|2022-07-09_2022-07-13|2022-09-12_2022-09-16|2024-04-09_2024-04-13
0.1,1,CPI m/m,Neutral,8,7,1,87.5,12.5,7.0,2021-02-09_2021-02-13|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2024-03-10_2024-03-14|2025-06-08_2025-06-12|2025-08-12_2025-08-16|2026-01-09_2026-01-13
0.1,1,CPI m/m,Good,2,2,0,100.0,0.0,inf,2022-11-06_2022-11-10|2022-12-11_2022-12-15
0.2,1,CPI m/m,Neutral,14,12,2,85.7,14.3,6.0,2019-04-06_2019-04-10|2021-02-09_2021-02-13|2022-07-09_2022-07-13|2022-09-12_2022-09-16|2022-11-06_2022-11-10|2022-12-11_2022-12-15|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2025-06-08_2025-06-12|2025-08-12_2025-08-16|2026-01-09_2026-01-13
0.3,1,CPI m/m,Neutral,14,12,2,85.7,14.3,6.0,2019-04-06_2019-04-10|2021-02-09_2021-02-13|2022-07-09_2022-07-13|2022-09-12_2022-09-16|2022-11-06_2022-11-10|2022-12-11_2022-12-15|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2025-06-08_2025-06-12|2025-08-12_2025-08-16|2026-01-09_2026-01-13
0.0,1,Core CPI m/m,Good,7,6,1,85.7,14.3,6.0,2019-04-06_2019-04-10|2021-02-09_2021-02-13|2022-11-06_2022-11-10|2022-12-11_2022-12-15|2023-07-09_2023-07-13|2025-06-08_2025-06-12|2026-01-09_2026-01-13
0.0,1,Core CPI m/m,Bad,5,4,1,80.0,20.0,4.0,2022-07-09_2022-07-13|2022-09-12_2022-09-16|2023-09-12_2023-09-16|2024-03-10_2024-03-14|2024-04-09_2024-04-13
0.0,1,Core CPI m/m,Neutral,2,2,0,100.0,0.0,inf,2023-08-08_2023-08-12|2025-08-12_2025-08-16
0.1,1,Core CPI m/m,Neutral,7,6,1,85.7,14.3,6.0,2019-04-06_2019-04-10|2022-12-11_2022-12-15|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2025-08-12_2025-08-16|2026-01-09_2026-01-13
0.1,1,Core CPI m/m,Good,3,3,0,100.0,0.0,inf,2021-02-09_2021-02-13|2022-11-06_2022-11-10|2025-06-08_2025-06-12
0.1,1,Core CPI m/m,Bad,4,3,1,75.0,25.0,3.0,2022-07-09_2022-07-13|2022-09-12_2022-09-16|2024-03-10_2024-03-14|2024-04-09_2024-04-13
0.2,1,Core CPI m/m,Neutral,13,12,1,92.3,7.7,12.0,2019-04-06_2019-04-10|2021-02-09_2021-02-13|2022-07-09_2022-07-13|2022-11-06_2022-11-10|2022-12-11_2022-12-15|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2025-06-08_2025-06-12|2025-08-12_2025-08-16|2026-01-09_2026-01-13
0.2,1,Core CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2022-09-12_2022-09-16
0.3,1,Core CPI m/m,Neutral,14,12,2,85.7,14.3,6.0,2019-04-06_2019-04-10|2021-02-09_2021-02-13|2022-07-09_2022-07-13|2022-09-12_2022-09-16|2022-11-06_2022-11-10|2022-12-11_2022-12-15|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2025-06-08_2025-06-12|2025-08-12_2025-08-16|2026-01-09_2026-01-13
0.0,1,PPI m/m,Bad,6,5,1,83.3,16.7,5.0,2022-07-14_2022-07-18|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2024-02-14_2024-02-18|2024-03-10_2024-03-14|2025-08-12_2025-08-16
0.0,1,PPI m/m,Neutral,1,0,1,0.0,100.0,0.0,2022-09-12_2022-09-16
0.0,1,PPI m/m,Good,4,3,1,75.0,25.0,3.0,2023-01-15_2023-01-19|2023-07-09_2023-07-13|2024-04-09_2024-04-13|2025-06-08_2025-06-12
0.1,1,PPI m/m,Bad,5,4,1,80.0,20.0,4.0,2022-07-14_2022-07-18|2023-09-12_2023-09-16|2024-02-14_2024-02-18|2024-03-10_2024-03-14|2025-08-12_2025-08-16
0.1,1,PPI m/m,Neutral,5,3,2,60.0,40.0,1.5,2022-09-12_2022-09-16|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2024-04-09_2024-04-13|2025-06-08_2025-06-12
0.1,1,PPI m/m,Good,1,1,0,100.0,0.0,inf,2023-01-15_2023-01-19
0.2,1,PPI m/m,Bad,4,3,1,75.0,25.0,3.0,2022-07-14_2022-07-18|2023-09-12_2023-09-16|2024-03-10_2024-03-14|2025-08-12_2025-08-16
0.2,1,PPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2022-09-12_2022-09-16|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2024-02-14_2024-02-18|2024-04-09_2024-04-13|2025-06-08_2025-06-12
0.2,1,PPI m/m,Good,1,1,0,100.0,0.0,inf,2023-01-15_2023-01-19
0.3,1,PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2022-07-14_2022-07-18|2025-08-12_2025-08-16
0.3,1,PPI m/m,Neutral,8,6,2,75.0,25.0,3.0,2022-09-12_2022-09-16|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2024-02-14_2024-02-18|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2025-06-08_2025-06-12
0.3,1,PPI m/m,Good,1,1,0,100.0,0.0,inf,2023-01-15_2023-01-19
0.0,1,Core PPI m/m,Good,3,1,2,33.3,66.7,0.5,2022-07-14_2022-07-18|2023-07-09_2023-07-13|2025-06-08_2025-06-12
0.0,1,Core PPI m/m,Bad,5,4,1,80.0,20.0,4.0,2022-09-12_2022-09-16|2023-08-08_2023-08-12|2024-02-14_2024-02-18|2024-03-10_2024-03-14|2025-08-12_2025-08-16
0.0,1,Core PPI m/m,Neutral,3,3,0,100.0,0.0,inf,2023-01-15_2023-01-19|2023-09-12_2023-09-16|2024-04-09_2024-04-13
0.1,1,Core PPI m/m,Neutral,7,5,2,71.4,28.6,2.5,2022-07-14_2022-07-18|2023-01-15_2023-01-19|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2024-03-10_2024-03-14|2024-04-09_2024-04-13
0.1,1,Core PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2022-09-12_2022-09-16|2024-02-14_2024-02-18|2025-08-12_2025-08-16
0.1,1,Core PPI m/m,Good,1,1,0,100.0,0.0,inf,2025-06-08_2025-06-12
0.2,1,Core PPI m/m,Neutral,9,6,3,66.7,33.3,2.0,2022-07-14_2022-07-18|2022-09-12_2022-09-16|2023-01-15_2023-01-19|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2025-06-08_2025-06-12
0.2,1,Core PPI m/m,Bad,2,2,0,100.0,0.0,inf,2024-02-14_2024-02-18|2025-08-12_2025-08-16
0.3,1,Core PPI m/m,Neutral,9,6,3,66.7,33.3,2.0,2022-07-14_2022-07-18|2022-09-12_2022-09-16|2023-01-15_2023-01-19|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2025-06-08_2025-06-12
0.3,1,Core PPI m/m,Bad,2,2,0,100.0,0.0,inf,2024-02-14_2024-02-18|2025-08-12_2025-08-16
0.0,1,FOMC,Neutral,2,1,1,50.0,50.0,1.0,2023-07-24_2023-07-28|2023-11-01_2023-11-05
0.1,1,FOMC,Neutral,2,1,1,50.0,50.0,1.0,2023-07-24_2023-07-28|2023-11-01_2023-11-05
0.2,1,FOMC,Neutral,2,1,1,50.0,50.0,1.0,2023-07-24_2023-07-28|2023-11-01_2023-11-05
0.3,1,FOMC,Neutral,2,1,1,50.0,50.0,1.0,2023-07-24_2023-07-28|2023-11-01_2023-11-05
0.0,1,CPI y/y,Bad,6,5,1,83.3,16.7,5.0,2019-04-06_2019-04-10|2022-07-09_2022-07-13|2022-09-12_2022-09-16|2023-09-12_2023-09-16|2024-03-10_2024-03-14|2024-04-09_2024-04-13
