آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,ماه‌ها
0.0,1,CPI m/m,Good,8,6,2,75.0,25.0,3.0,2018-07|2019-10|2020-05|2020-11|2023-07|2024-06|2025-03|2025-10
0.0,1,CPI m/m,Neutral,10,9,1,90.0,10.0,9.0,2018-08|2018-11|2019-08|2020-10|2021-01|2023-02|2023-03|2023-08|2025-01|2025-07
0.0,1,CPI m/m,Bad,7,3,4,42.9,57.1,0.75,2019-04|2019-12|2020-08|2020-09|2021-04|2022-05|2025-09
0.1,1,CPI m/m,Neutral,19,15,4,78.9,21.1,3.75,2018-07|2018-08|2018-11|2019-08|2019-10|2019-12|2020-10|2020-11|2021-01|2021-04|2022-05|2023-02|2023-03|2023-07|2023-08|2024-06|2025-01|2025-03|2025-07
0.1,1,CPI m/m,Bad,4,2,2,50.0,50.0,1.0,2019-04|2020-08|2020-09|2025-09
0.1,1,CPI m/m,Good,2,1,1,50.0,50.0,1.0,2020-05|2025-10
0.2,1,CPI m/m,Neutral,24,17,7,70.8,29.2,2.43,2018-07|2018-08|2018-11|2019-04|2019-08|2019-10|2019-12|2020-05|2020-09|2020-10|2020-11|2021-01|2021-04|2022-05|2023-02|2023-03|2023-07|2023-08|2024-06|2025-01|2025-03|2025-07|2025-09|2025-10
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08
0.3,1,CPI m/m,Neutral,25,18,7,72.0,28.0,2.57,2018-07|2018-08|2018-11|2019-04|2019-08|2019-10|2019-12|2020-05|2020-08|2020-09|2020-10|2020-11|2021-01|2021-04|2022-05|2023-02|2023-03|2023-07|2023-08|2024-06|2025-01|2025-03|2025-07|2025-09|2025-10
0.0,1,Core CPI m/m,Neutral,9,9,0,100.0,0.0,inf,2018-07|2018-08|2018-11|2019-12|2020-10|2021-01|2023-02|2023-08|2025-09
0.0,1,Core CPI m/m,Good,10,6,4,60.0,40.0,1.5,2019-04|2019-10|2020-05|2020-11|2023-07|2024-06|2025-01|2025-03|2025-07|2025-10
0.0,1,Core CPI m/m,Bad,6,3,3,50.0,50.0,1.0,2019-08|2020-08|2020-09|2021-04|2022-05|2023-03
0.1,1,Core CPI m/m,Neutral,20,16,4,80.0,20.0,4.0,2018-07|2018-08|2018-11|2019-04|2019-08|2019-10|2019-12|2020-10|2021-01|2021-04|2023-02|2023-03|2023-07|2023-08|2024-06|2025-01|2025-03|2025-07|2025-09|2025-10
0.1,1,Core CPI m/m,Good,2,1,1,50.0,50.0,1.0,2020-05|2020-11
0.1,1,Core CPI m/m,Bad,3,1,2,33.3,66.7,0.5,2020-08|2020-09|2022-05
0.2,1,Core CPI m/m,Neutral,24,17,7,70.8,29.2,2.43,2018-07|2018-08|2018-11|2019-04|2019-08|2019-10|2019-12|2020-05|2020-09|2020-10|2020-11|2021-01|2021-04|2022-05|2023-02|2023-03|2023-07|2023-08|2024-06|2025-01|2025-03|2025-07|2025-09|2025-10
0.2,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08
0.3,1,Core CPI m/m,Neutral,24,17,7,70.8,29.2,2.43,2018-07|2018-08|2018-11|2019-04|2019-08|2019-10|2019-12|2020-05|2020-09|2020-10|2020-11|2021-01|2021-04|2022-05|2023-02|2023-03|2023-07|2023-08|2024-06|2025-01|2025-03|2025-07|2025-09|2025-10
0.3,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08
0.0,1,PPI m/m,Bad,10,6,4,60.0,40.0,1.5,2018-07|2018-11|2019-04|2020-08|2020-09|2020-10|2020-11|2021-04|2023-02|2023-08
0.0,1,PPI m/m,Good,12,11,1,91.7,8.3,11.0,2018-08|2019-10|2019-12|2020-05|2021-01|2023-03|2023-07|2024-06|2025-01|2025-03|2025-07|2025-09
0.0,1,PPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2019-08|2022-05|2025-11
0.1,1,PPI m/m,Neutral,8,5,3,62.5,37.5,1.67,2018-07|2019-08|2020-09|2020-11|2022-05|2023-07|2023-08|2025-11
0.1,1,PPI m/m,Good,11,10,1,90.9,9.1,10.0,2018-08|2019-10|2019-12|2020-05|2021-01|2023-03|2024-06|2025-01|2025-03|2025-07|2025-09
0.1,1,PPI m/m,Bad,6,4,2,66.7,33.3,2.0,2018-11|2019-04|2020-08|2020-10|2021-04|2023-02
0.2,1,PPI m/m,Neutral,14,10,4,71.4,28.6,2.5,2018-07|2018-08|2019-08|2019-12|2020-09|2020-10|2020-11|2021-01|2022-05|2023-07|2023-08|2025-01|2025-07|2025-11
0.2,1,PPI m/m,Bad,5,3,2,60.0,40.0,1.5,2018-11|2019-04|2020-08|2021-04|2023-02
0.2,1,PPI m/m,Good,6,6,0,100.0,0.0,inf,2019-10|2020-05|2023-03|2024-06|2025-03|2025-09
0.3,1,PPI m/m,Neutral,18,13,5,72.2,27.8,2.6,2018-07|2018-08|2019-04|2019-08|2019-12|2020-08|2020-09|2020-10|2020-11|2021-01|2022-05|2023-02|2023-07|2023-08|2025-01|2025-03|2025-07|2025-11
0.3,1,PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2018-11|2021-04
0.3,1,PPI m/m,Good,5,5,0,100.0,0.0,inf,2019-10|2020-05|2023-03|2024-06|2025-09
0.0,1,Core PPI m/m,Bad,9,6,3,66.7,33.3,2.0,2018-07|2018-11|2019-04|2020-08|2020-09|2020-10|2021-04|2023-02|2023-08
0.0,1,Core PPI m/m,Good,15,12,3,80.0,20.0,4.0,2018-08|2019-08|2019-10|2019-12|2020-05|2020-11|2022-05|2023-03|2023-07|2024-06|2025-01|2025-03|2025-07|2025-09|2025-11
0.0,1,Core PPI m/m,Neutral,1,1,0,100.0,0.0,inf,2021-01
0.1,1,Core PPI m/m,Neutral,8,6,2,75.0,25.0,3.0,2018-07|2018-08|2019-04|2020-11|2021-01|2023-07|2023-08|2025-11
0.1,1,Core PPI m/m,Bad,6,4,2,66.7,33.3,2.0,2018-11|2020-08|2020-09|2020-10|2021-04|2023-02
0.1,1,Core PPI m/m,Good,11,9,2,81.8,18.2,4.5,2019-08|2019-10|2019-12|2020-05|2022-05|2023-03|2024-06|2025-01|2025-03|2025-07|2025-09
