آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,ماه‌ها
0.0,1,CPI m/m,Neutral,11,6,5,54.5,45.5,1.2,2018-01|2019-06|2019-09|2021-02|2022-04|2023-01|2023-09|2024-03|2024-09|2025-01|2025-08
0.0,1,CPI m/m,Bad,14,9,5,64.3,35.7,1.8,2019-07|2020-09|2021-04|2021-05|2021-12|2022-01|2022-02|2022-05|2022-06|2024-02|2024-04|2024-10|2025-02|2025-09
0.0,1,CPI m/m,Good,4,2,2,50.0,50.0,1.0,2023-07|2024-06|2025-04|2025-06
0.1,1,CPI m/m,Neutral,20,10,10,50.0,50.0,1.0,2018-01|2019-06|2019-07|2019-09|2021-02|2021-04|2022-01|2022-04|2022-05|2023-01|2023-07|2023-09|2024-02|2024-03|2024-06|2024-09|2024-10|2025-01|2025-06|2025-08
0.1,1,CPI m/m,Bad,8,6,2,75.0,25.0,3.0,2020-09|2021-05|2021-12|2022-02|2022-06|2024-04|2025-02|2025-09
0.1,1,CPI m/m,Good,1,1,0,100.0,0.0,inf,2025-04
0.2,1,CPI m/m,Neutral,27,15,12,55.6,44.4,1.25,2018-01|2019-06|2019-07|2019-09|2020-09|2021-02|2021-04|2021-12|2022-01|2022-02|2022-04|2022-05|2023-01|2023-07|2023-09|2024-02|2024-03|2024-04|2024-06|2024-09|2024-10|2025-01|2025-02|2025-04|2025-06|2025-08|2025-09
0.2,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-05|2022-06
0.3,1,CPI m/m,Neutral,27,15,12,55.6,44.4,1.25,2018-01|2019-06|2019-07|2019-09|2020-09|2021-02|2021-04|2021-12|2022-01|2022-02|2022-04|2022-05|2023-01|2023-07|2023-09|2024-02|2024-03|2024-04|2024-06|2024-09|2024-10|2025-01|2025-02|2025-04|2025-06|2025-08|2025-09
0.3,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-05|2022-06
0.0,1,Core CPI m/m,Bad,17,8,9,47.1,52.9,0.89,2018-01|2019-07|2019-09|2020-09|2021-04|2021-05|2022-01|2022-02|2022-05|2022-06|2023-09|2024-02|2024-03|2024-04|2024-09|2024-10|2025-02
0.0,1,Core CPI m/m,Good,8,6,2,75.0,25.0,3.0,2019-06|2021-02|2022-04|2023-07|2024-06|2025-01|2025-04|2025-06
0.0,1,Core CPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2021-12|2023-01|2025-08|2025-09
0.1,1,Core CPI m/m,Neutral,18,10,8,55.6,44.4,1.25,2018-01|2019-06|2019-07|2019-09|2021-04|2021-12|2022-01|2022-02|2022-06|2023-01|2023-07|2023-09|2024-06|2024-09|2024-10|2025-01|2025-08|2025-09
0.1,1,Core CPI m/m,Bad,7,4,3,57.1,42.9,1.33,2020-09|2021-05|2022-05|2024-02|2024-03|2024-04|2025-02
0.1,1,Core CPI m/m,Good,4,3,1,75.0,25.0,3.0,2021-02|2022-04|2025-04|2025-06
0.2,1,Core CPI m/m,Neutral,28,16,12,57.1,42.9,1.33,2018-01|2019-06|2019-07|2019-09|2020-09|2021-02|2021-04|2021-12|2022-01|2022-02|2022-04|2022-05|2022-06|2023-01|2023-07|2023-09|2024-02|2024-03|2024-04|2024-06|2024-09|2024-10|2025-01|2025-02|2025-04|2025-06|2025-08|2025-09
0.2,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-05
