آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,11,4,7,36.4,63.6,0.57,2018-04-11_2018-04-15|2020-05-10_2020-05-14|2022-12-11_2022-12-15|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2024-05-14_2024-05-18|2024-07-08_2024-07-12|2025-03-10_2025-03-14|2025-04-09_2025-04-13|2025-06-08_2025-06-12|2026-02-13_2026-02-17
0.0,1,CPI m/m,Neutral,4,1,3,25.0,75.0,0.33,2019-03-12_2019-03-16|2019-09-08_2019-09-12|2023-02-14_2023-02-18|2026-01-09_2026-01-13
0.0,1,CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2020-07-14_2020-07-18|2023-10-12_2023-10-16
0.1,1,CPI m/m,Neutral,11,5,6,45.5,54.5,0.83,2018-04-11_2018-04-15|2019-03-12_2019-03-16|2019-09-08_2019-09-12|2020-07-14_2020-07-18|2023-02-14_2023-02-18|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2025-03-10_2025-03-14|2025-06-08_2025-06-12|2026-01-09_2026-01-13|2026-02-13_2026-02-17
0.1,1,CPI m/m,Good,5,1,4,20.0,80.0,0.25,2020-05-10_2020-05-14|2022-12-11_2022-12-15|2024-05-14_2024-05-18|2024-07-08_2024-07-12|2025-04-09_2025-04-13
0.1,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2023-10-12_2023-10-16
0.2,1,CPI m/m,Neutral,17,6,11,35.3,64.7,0.55,2018-04-11_2018-04-15|2019-03-12_2019-03-16|2019-09-08_2019-09-12|2020-05-10_2020-05-14|2020-07-14_2020-07-18|2022-12-11_2022-12-15|2023-02-14_2023-02-18|2023-04-10_2023-04-14|2023-10-12_2023-10-16|2023-11-11_2023-11-15|2024-05-14_2024-05-18|2024-07-08_2024-07-12|2025-03-10_2025-03-14|2025-04-09_2025-04-13|2025-06-08_2025-06-12|2026-01-09_2026-01-13|2026-02-13_2026-02-17
0.3,1,CPI m/m,Neutral,17,6,11,35.3,64.7,0.55,2018-04-11_2018-04-15|2019-03-12_2019-03-16|2019-09-08_2019-09-12|2020-05-10_2020-05-14|2020-07-14_2020-07-18|2022-12-11_2022-12-15|2023-02-14_2023-02-18|2023-04-10_2023-04-14|2023-10-12_2023-10-16|2023-11-11_2023-11-15|2024-05-14_2024-05-18|2024-07-08_2024-07-12|2025-03-10_2025-03-14|2025-04-09_2025-04-13|2025-06-08_2025-06-12|2026-01-09_2026-01-13|2026-02-13_2026-02-17
0.0,1,Core CPI m/m,Neutral,6,1,5,16.7,83.3,0.2,2018-04-11_2018-04-15|2023-02-14_2023-02-18|2023-04-10_2023-04-14|2023-10-12_2023-10-16|2024-05-14_2024-05-18|2026-02-13_2026-02-17
0.0,1,Core CPI m/m,Good,9,4,5,44.4,55.6,0.8,2019-03-12_2019-03-16|2020-05-10_2020-05-14|2022-12-11_2022-12-15|2023-11-11_2023-11-15|2024-07-08_2024-07-12|2025-03-10_2025-03-14|2025-04-09_2025-04-13|2025-06-08_2025-06-12|2026-01-09_2026-01-13
0.0,1,Core CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2019-09-08_2019-09-12|2020-07-14_2020-07-18
0.1,1,Core CPI m/m,Neutral,14,6,8,42.9,57.1,0.75,2018-04-11_2018-04-15|2019-03-12_2019-03-16|2019-09-08_2019-09-12|2020-07-14_2020-07-18|2022-12-11_2022-12-15|2023-02-14_2023-02-18|2023-04-10_2023-04-14|2023-10-12_2023-10-16|2023-11-11_2023-11-15|2024-05-14_2024-05-18|2024-07-08_2024-07-12|2025-03-10_2025-03-14|2026-01-09_2026-01-13|2026-02-13_2026-02-17
0.1,1,Core CPI m/m,Good,3,0,3,0.0,100.0,0.0,2020-05-10_2020-05-14|2025-04-09_2025-04-13|2025-06-08_2025-06-12
0.2,1,Core CPI m/m,Neutral,17,6,11,35.3,64.7,0.55,2018-04-11_2018-04-15|2019-03-12_2019-03-16|2019-09-08_2019-09-12|2020-05-10_2020-05-14|2020-07-14_2020-07-18|2022-12-11_2022-12-15|2023-02-14_2023-02-18|2023-04-10_2023-04-14|2023-10-12_2023-10-16|2023-11-11_2023-11-15|2024-05-14_2024-05-18|2024-07-08_2024-07-12|2025-03-10_2025-03-14|2025-04-09_2025-04-13|2025-06-08_2025-06-12|2026-01-09_2026-01-13|2026-02-13_2026-02-17
