آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,28,17,11,60.7,39.3,1.55,2021-09-11_2021-09-20|2022-02-16_2022-02-25|2022-04-14_2022-04-23|2022-10-13_2022-10-22|2023-02-17_2023-02-26|2023-08-12_2023-08-21|2023-09-15_2023-09-24|2024-02-17_2024-02-26|2024-03-15_2024-03-24|2024-05-15_2024-05-24|2024-07-13_2024-07-22|2024-09-13_2024-09-22|2024-12-13_2024-12-22|2025-02-14_2025-02-23|2025-08-15_2025-08-24|2026-02-28_2026-03-09|2018-06-14_2018-06-23|2018-07-12_2018-07-21|2018-11-10_2018-11-19|2018-12-12_2018-12-21|2019-11-15_2019-11-24|2020-04-10_2020-04-19|2020-06-12_2020-06-21|2020-09-11_2020-09-20|2020-10-15_2020-10-24|2021-07-15_2021-07-24|2022-07-15_2022-07-24|2022-12-10_2022-12-19
0.0,1,PPI m/m,Good,27,23,4,85.2,14.8,5.75,2021-10-15_2021-10-24|2023-05-12_2023-05-21|2023-07-14_2023-07-23|2024-01-13_2024-01-22|2024-04-12_2024-04-21|2024-06-14_2024-06-23|2024-08-14_2024-08-23|2025-01-15_2025-01-24|2025-03-14_2025-03-23|2025-04-12_2025-04-21|2025-06-13_2025-06-22|2025-09-11_2025-09-20|2018-05-10_2018-05-19|2018-09-13_2018-09-22|2019-01-16_2019-01-25|2019-02-15_2019-02-24|2019-10-09_2019-10-18|2019-12-13_2019-12-22|2020-01-16_2020-01-25|2020-03-13_2020-03-22|2020-05-14_2020-05-23|2020-07-11_2020-07-20|2021-01-16_2021-01-25|2022-01-14_2022-01-23|2023-06-15_2023-06-24|2024-10-12_2024-10-21|2025-05-16_2025-05-25
0.0,1,PPI m/m,Neutral,10,9,1,90.0,10.0,9.0,2021-11-10_2021-11-19|2022-09-15_2022-09-24|2023-12-14_2023-12-23|2024-11-15_2024-11-24|2025-11-26_2025-12-05|2018-10-11_2018-10-20|2019-06-12_2019-06-21|2019-08-10_2019-08-19|2020-12-12_2020-12-21|2022-06-15_2022-06-24
0.1,1,PPI m/m,Neutral,29,21,8,72.4,27.6,2.62,2021-09-11_2021-09-20|2021-10-15_2021-10-24|2021-11-10_2021-11-19|2022-09-15_2022-09-24|2023-05-12_2023-05-21|2023-07-14_2023-07-23|2023-08-12_2023-08-21|2023-12-14_2023-12-23|2024-04-12_2024-04-21|2024-07-13_2024-07-22|2024-08-14_2024-08-23|2024-09-13_2024-09-22|2024-11-15_2024-11-24|2025-06-13_2025-06-22|2025-11-26_2025-12-05|2018-05-10_2018-05-19|2018-07-12_2018-07-21|2018-10-11_2018-10-20|2018-12-12_2018-12-21|2019-01-16_2019-01-25|2019-06-12_2019-06-21|2019-08-10_2019-08-19|2020-01-16_2020-01-25|2020-04-10_2020-04-19|2020-09-11_2020-09-20|2020-12-12_2020-12-21|2022-06-15_2022-06-24|2022-12-10_2022-12-19|2024-10-12_2024-10-21
0.1,1,PPI m/m,Bad,19,12,7,63.2,36.8,1.71,2022-02-16_2022-02-25|2022-04-14_2022-04-23|2022-10-13_2022-10-22|2023-02-17_2023-02-26|2023-09-15_2023-09-24|2024-02-17_2024-02-26|2024-03-15_2024-03-24|2024-05-15_2024-05-24|2024-12-13_2024-12-22|2025-02-14_2025-02-23|2025-08-15_2025-08-24|2026-02-28_2026-03-09|2018-06-14_2018-06-23|2018-11-10_2018-11-19|2019-11-15_2019-11-24|2020-06-12_2020-06-21|2020-10-15_2020-10-24|2021-07-15_2021-07-24|2022-07-15_2022-07-24
0.1,1,PPI m/m,Good,17,16,1,94.1,5.9,16.0,2024-01-13_2024-01-22|2024-06-14_2024-06-23|2025-01-15_2025-01-24|2025-03-14_2025-03-23|2025-04-12_2025-04-21|2025-09-11_2025-09-20|2018-09-13_2018-09-22|2019-02-15_2019-02-24|2019-10-09_2019-10-18|2019-12-13_2019-12-22|2020-03-13_2020-03-22|2020-05-14_2020-05-23|2020-07-11_2020-07-20|2021-01-16_2021-01-25|2022-01-14_2022-01-23|2023-06-15_2023-06-24|2025-05-16_2025-05-25
0.2,1,PPI m/m,Neutral,45,34,11,75.6,24.4,3.09,2021-09-11_2021-09-20|2021-10-15_2021-10-24|2021-11-10_2021-11-19|2022-09-15_2022-09-24|2022-10-13_2022-10-22|2023-05-12_2023-05-21|2023-07-14_2023-07-23|2023-08-12_2023-08-21|2023-12-14_2023-12-23|2024-01-13_2024-01-22|2024-02-17_2024-02-26|2024-04-12_2024-04-21|2024-05-15_2024-05-24|2024-07-13_2024-07-22|2024-08-14_2024-08-23|2024-09-13_2024-09-22|2024-11-15_2024-11-24|2024-12-13_2024-12-22|2025-01-15_2025-01-24|2025-02-14_2025-02-23|2025-06-13_2025-06-22|2025-11-26_2025-12-05|2026-02-28_2026-03-09|2018-05-10_2018-05-19|2018-06-14_2018-06-23|2018-07-12_2018-07-21|2018-10-11_2018-10-20|2018-12-12_2018-12-21|2019-01-16_2019-01-25|2019-02-15_2019-02-24|2019-06-12_2019-06-21|2019-08-10_2019-08-19|2019-11-15_2019-11-24|2019-12-13_2019-12-22|2020-01-16_2020-01-25|2020-04-10_2020-04-19|2020-09-11_2020-09-20|2020-10-15_2020-10-24|2020-12-12_2020-12-21|2021-01-16_2021-01-25|2022-01-14_2022-01-23|2022-06-15_2022-06-24|2022-12-10_2022-12-19|2023-06-15_2023-06-24|2024-10-12_2024-10-21
0.2,1,PPI m/m,Bad,10,6,4,60.0,40.0,1.5,2022-02-16_2022-02-25|2022-04-14_2022-04-23|2023-02-17_2023-02-26|2023-09-15_2023-09-24|2024-03-15_2024-03-24|2025-08-15_2025-08-24|2018-11-10_2018-11-19|2020-06-12_2020-06-21|2021-07-15_2021-07-24|2022-07-15_2022-07-24
0.2,1,PPI m/m,Good,10,9,1,90.0,10.0,9.0,2024-06-14_2024-06-23|2025-03-14_2025-03-23|2025-04-12_2025-04-21|2025-09-11_2025-09-20|2018-09-13_2018-09-22|2019-10-09_2019-10-18|2020-03-13_2020-03-22|2020-05-14_2020-05-23|2020-07-11_2020-07-20|2025-05-16_2025-05-25
0.3,1,PPI m/m,Neutral,50,38,12,76.0,24.0,3.17,2021-09-11_2021-09-20|2021-10-15_2021-10-24|2021-11-10_2021-11-19|2022-04-14_2022-04-23|2022-09-15_2022-09-24|2022-10-13_2022-10-22|2023-02-17_2023-02-26|2023-05-12_2023-05-21|2023-07-14_2023-07-23|2023-08-12_2023-08-21|2023-09-15_2023-09-24|2023-12-14_2023-12-23|2024-01-13_2024-01-22|2024-02-17_2024-02-26|2024-03-15_2024-03-24|2024-04-12_2024-04-21|2024-05-15_2024-05-24|2024-07-13_2024-07-22|2024-08-14_2024-08-23|2024-09-13_2024-09-22|2024-11-15_2024-11-24|2024-12-13_2024-12-22|2025-01-15_2025-01-24|2025-02-14_2025-02-23|2025-03-14_2025-03-23|2025-06-13_2025-06-22|2025-11-26_2025-12-05|2026-02-28_2026-03-09|2018-05-10_2018-05-19|2018-06-14_2018-06-23|2018-07-12_2018-07-21|2018-10-11_2018-10-20|2018-12-12_2018-12-21|2019-01-16_2019-01-25|2019-02-15_2019-02-24|2019-06-12_2019-06-21|2019-08-10_2019-08-19|2019-11-15_2019-11-24|2019-12-13_2019-12-22|2020-01-16_2020-01-25|2020-04-10_2020-04-19|2020-09-11_2020-09-20|2020-10-15_2020-10-24|2020-12-12_2020-12-21|2021-01-16_2021-01-25|2022-01-14_2022-01-23|2022-06-15_2022-06-24|2022-12-10_2022-12-19|2023-06-15_2023-06-24|2024-10-12_2024-10-21
0.3,1,PPI m/m,Bad,6,3,3,50.0,50.0,1.0,2022-02-16_2022-02-25|2025-08-15_2025-08-24|2018-11-10_2018-11-19|2020-06-12_2020-06-21|2021-07-15_2021-07-24|2022-07-15_2022-07-24
0.3,1,PPI m/m,Good,9,8,1,88.9,11.1,8.0,2024-06-14_2024-06-23|2025-04-12_2025-04-21|2025-09-11_2025-09-20|2018-09-13_2018-09-22|2019-10-09_2019-10-18|2020-03-13_2020-03-22|2020-05-14_2020-05-23|2020-07-11_2020-07-20|2025-05-16_2025-05-25
