آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Neutral,7,4,3,57.1,42.9,1.33,2018-03-15_2018-03-29|2018-10-11_2018-10-25|2020-06-12_2020-06-26|2023-01-19_2023-02-02|2024-10-12_2024-10-26|2024-12-13_2024-12-27|2026-01-15_2026-01-29
0.0,1,Core PPI m/m,Bad,16,8,8,50.0,50.0,1.0,2018-06-14_2018-06-28|2018-11-10_2018-11-24|2019-04-12_2019-04-26|2019-11-15_2019-11-29|2020-08-12_2020-08-26|2020-09-11_2020-09-25|2020-10-15_2020-10-29|2021-08-13_2021-08-27|2022-04-14_2022-04-28|2022-09-15_2022-09-29|2022-12-10_2022-12-24|2023-08-12_2023-08-26|2023-10-12_2023-10-26|2024-02-17_2024-03-02|2024-05-15_2024-05-29|2026-02-28_2026-03-14
0.0,1,Core PPI m/m,Good,19,13,6,68.4,31.6,2.17,2019-10-09_2019-10-23|2019-12-13_2019-12-27|2022-05-13_2022-05-27|2022-08-12_2022-08-26|2022-11-16_2022-11-30|2023-04-14_2023-04-28|2023-07-14_2023-07-28|2023-11-16_2023-11-30|2023-12-14_2023-12-28|2024-01-13_2024-01-27|2024-06-14_2024-06-28|2024-08-14_2024-08-28|2025-01-15_2025-01-29|2025-03-14_2025-03-28|2025-05-16_2025-05-30|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-09-11_2025-09-25|2025-11-26_2025-12-10
0.1,1,Core PPI m/m,Neutral,14,8,6,57.1,42.9,1.33,2018-03-15_2018-03-29|2018-06-14_2018-06-28|2018-10-11_2018-10-25|2019-04-12_2019-04-26|2019-11-15_2019-11-29|2020-06-12_2020-06-26|2023-01-19_2023-02-02|2023-07-14_2023-07-28|2023-08-12_2023-08-26|2023-10-12_2023-10-26|2024-10-12_2024-10-26|2024-12-13_2024-12-27|2025-11-26_2025-12-10|2026-01-15_2026-01-29
0.1,1,Core PPI m/m,Bad,11,6,5,54.5,45.5,1.2,2018-11-10_2018-11-24|2020-08-12_2020-08-26|2020-09-11_2020-09-25|2020-10-15_2020-10-29|2021-08-13_2021-08-27|2022-04-14_2022-04-28|2022-09-15_2022-09-29|2022-12-10_2022-12-24|2024-02-17_2024-03-02|2024-05-15_2024-05-29|2026-02-28_2026-03-14
0.1,1,Core PPI m/m,Good,17,11,6,64.7,35.3,1.83,2019-10-09_2019-10-23|2019-12-13_2019-12-27|2022-05-13_2022-05-27|2022-08-12_2022-08-26|2022-11-16_2022-11-30|2023-04-14_2023-04-28|2023-11-16_2023-11-30|2023-12-14_2023-12-28|2024-01-13_2024-01-27|2024-06-14_2024-06-28|2024-08-14_2024-08-28|2025-01-15_2025-01-29|2025-03-14_2025-03-28|2025-05-16_2025-05-30|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-09-11_2025-09-25
0.2,1,Core PPI m/m,Neutral,26,15,11,57.7,42.3,1.36,2018-03-15_2018-03-29|2018-06-14_2018-06-28|2018-10-11_2018-10-25|2019-04-12_2019-04-26|2019-11-15_2019-11-29|2020-06-12_2020-06-26|2020-09-11_2020-09-25|2020-10-15_2020-10-29|2022-05-13_2022-05-27|2022-08-12_2022-08-26|2022-09-15_2022-09-29|2022-12-10_2022-12-24|2023-01-19_2023-02-02|2023-07-14_2023-07-28|2023-08-12_2023-08-26|2023-10-12_2023-10-26|2023-12-14_2023-12-28|2024-01-13_2024-01-27|2024-08-14_2024-08-28|2024-10-12_2024-10-26|2024-12-13_2024-12-27|2025-01-15_2025-01-29|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-11-26_2025-12-10|2026-01-15_2026-01-29
0.2,1,Core PPI m/m,Bad,7,5,2,71.4,28.6,2.5,2018-11-10_2018-11-24|2020-08-12_2020-08-26|2021-08-13_2021-08-27|2022-04-14_2022-04-28|2024-02-17_2024-03-02|2024-05-15_2024-05-29|2026-02-28_2026-03-14
0.2,1,Core PPI m/m,Good,9,5,4,55.6,44.4,1.25,2019-10-09_2019-10-23|2019-12-13_2019-12-27|2022-11-16_2022-11-30|2023-04-14_2023-04-28|2023-11-16_2023-11-30|2024-06-14_2024-06-28|2025-03-14_2025-03-28|2025-05-16_2025-05-30|2025-09-11_2025-09-25
0.3,1,Core PPI m/m,Neutral,31,19,12,61.3,38.7,1.58,2018-03-15_2018-03-29|2018-06-14_2018-06-28|2018-10-11_2018-10-25|2018-11-10_2018-11-24|2019-04-12_2019-04-26|2019-11-15_2019-11-29|2020-06-12_2020-06-26|2020-09-11_2020-09-25|2020-10-15_2020-10-29|2022-05-13_2022-05-27|2022-08-12_2022-08-26|2022-09-15_2022-09-29|2022-11-16_2022-11-30|2022-12-10_2022-12-24|2023-01-19_2023-02-02|2023-07-14_2023-07-28|2023-08-12_2023-08-26|2023-10-12_2023-10-26|2023-11-16_2023-11-30|2023-12-14_2023-12-28|2024-01-13_2024-01-27|2024-05-15_2024-05-29|2024-06-14_2024-06-28|2024-08-14_2024-08-28|2024-10-12_2024-10-26|2024-12-13_2024-12-27|2025-01-15_2025-01-29|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-11-26_2025-12-10|2026-01-15_2026-01-29
