آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2018-11-12_2018-11-16|2022-03-06_2022-03-10
0.0,1,CPI m/m,Bad,7,6,1,85.7,14.3,6.0,2019-04-06_2019-04-10|2019-12-07_2019-12-11|2020-09-07_2020-09-11|2021-07-09_2021-07-13|2022-10-12_2022-10-16|2023-10-12_2023-10-16|2025-02-08_2025-02-12
0.0,1,CPI m/m,Good,3,2,1,66.7,33.3,2.0,2020-06-09_2020-06-13|2023-11-11_2023-11-15|2025-06-08_2025-06-12
0.1,1,CPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2018-11-12_2018-11-16|2019-12-07_2019-12-11|2020-06-09_2020-06-13|2022-03-06_2022-03-10|2023-11-11_2023-11-15|2025-06-08_2025-06-12
0.1,1,CPI m/m,Bad,6,5,1,83.3,16.7,5.0,2019-04-06_2019-04-10|2020-09-07_2020-09-11|2021-07-09_2021-07-13|2022-10-12_2022-10-16|2023-10-12_2023-10-16|2025-02-08_2025-02-12
0.2,1,CPI m/m,Neutral,11,8,3,72.7,27.3,2.67,2018-11-12_2018-11-16|2019-04-06_2019-04-10|2019-12-07_2019-12-11|2020-06-09_2020-06-13|2020-09-07_2020-09-11|2022-03-06_2022-03-10|2022-10-12_2022-10-16|2023-10-12_2023-10-16|2023-11-11_2023-11-15|2025-02-08_2025-02-12|2025-06-08_2025-06-12
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-07-09_2021-07-13
0.3,1,CPI m/m,Neutral,11,8,3,72.7,27.3,2.67,2018-11-12_2018-11-16|2019-04-06_2019-04-10|2019-12-07_2019-12-11|2020-06-09_2020-06-13|2020-09-07_2020-09-11|2022-03-06_2022-03-10|2022-10-12_2022-10-16|2023-10-12_2023-10-16|2023-11-11_2023-11-15|2025-02-08_2025-02-12|2025-06-08_2025-06-12
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-07-09_2021-07-13
0.0,1,Core CPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2018-11-12_2018-11-16|2019-12-07_2019-12-11|2022-03-06_2022-03-10|2023-10-12_2023-10-16
0.0,1,Core CPI m/m,Good,4,2,2,50.0,50.0,1.0,2019-04-06_2019-04-10|2020-06-09_2020-06-13|2023-11-11_2023-11-15|2025-06-08_2025-06-12
0.0,1,Core CPI m/m,Bad,4,4,0,100.0,0.0,inf,2020-09-07_2020-09-11|2021-07-09_2021-07-13|2022-10-12_2022-10-16|2025-02-08_2025-02-12
0.1,1,Core CPI m/m,Neutral,7,4,3,57.1,42.9,1.33,2018-11-12_2018-11-16|2019-04-06_2019-04-10|2019-12-07_2019-12-11|2020-06-09_2020-06-13|2022-03-06_2022-03-10|2023-10-12_2023-10-16|2023-11-11_2023-11-15
0.1,1,Core CPI m/m,Bad,4,4,0,100.0,0.0,inf,2020-09-07_2020-09-11|2021-07-09_2021-07-13|2022-10-12_2022-10-16|2025-02-08_2025-02-12
0.1,1,Core CPI m/m,Good,1,1,0,100.0,0.0,inf,2025-06-08_2025-06-12
0.2,1,Core CPI m/m,Neutral,11,8,3,72.7,27.3,2.67,2018-11-12_2018-11-16|2019-04-06_2019-04-10|2019-12-07_2019-12-11|2020-06-09_2020-06-13|2020-09-07_2020-09-11|2022-03-06_2022-03-10|2022-10-12_2022-10-16|2023-10-12_2023-10-16|2023-11-11_2023-11-15|2025-02-08_2025-02-12|2025-06-08_2025-06-12
0.2,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-07-09_2021-07-13
0.3,1,Core CPI m/m,Neutral,11,8,3,72.7,27.3,2.67,2018-11-12_2018-11-16|2019-04-06_2019-04-10|2019-12-07_2019-12-11|2020-06-09_2020-06-13|2020-09-07_2020-09-11|2022-03-06_2022-03-10|2022-10-12_2022-10-16|2023-10-12_2023-10-16|2023-11-11_2023-11-15|2025-02-08_2025-02-12|2025-06-08_2025-06-12
0.3,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-07-09_2021-07-13
0.0,1,PPI m/m,Good,7,5,2,71.4,28.6,2.5,2018-09-08_2018-09-12|2019-12-12_2019-12-16|2020-07-09_2020-07-13|2023-11-11_2023-11-15|2024-06-13_2024-06-17|2025-06-08_2025-06-12|2025-09-06_2025-09-10
0.0,1,PPI m/m,Bad,6,5,1,83.3,16.7,5.0,2019-04-11_2019-04-15|2020-06-09_2020-06-13|2020-09-07_2020-09-11|2021-06-14_2021-06-18|2022-10-12_2022-10-16|2022-12-06_2022-12-10
0.0,1,PPI m/m,Neutral,1,1,0,100.0,0.0,inf,2025-11-25_2025-11-29
0.1,1,PPI m/m,Good,6,4,2,66.7,33.3,2.0,2018-09-08_2018-09-12|2019-12-12_2019-12-16|2020-07-09_2020-07-13|2023-11-11_2023-11-15|2024-06-13_2024-06-17|2025-09-06_2025-09-10
0.1,1,PPI m/m,Bad,4,3,1,75.0,25.0,3.0,2019-04-11_2019-04-15|2020-06-09_2020-06-13|2021-06-14_2021-06-18|2022-10-12_2022-10-16
0.1,1,PPI m/m,Neutral,4,4,0,100.0,0.0,inf,2020-09-07_2020-09-11|2022-12-06_2022-12-10|2025-06-08_2025-06-12|2025-11-25_2025-11-29
0.2,1,PPI m/m,Good,5,3,2,60.0,40.0,1.5,2018-09-08_2018-09-12|2020-07-09_2020-07-13|2023-11-11_2023-11-15|2024-06-13_2024-06-17|2025-09-06_2025-09-10
0.2,1,PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2019-04-11_2019-04-15|2020-06-09_2020-06-13|2021-06-14_2021-06-18
0.2,1,PPI m/m,Neutral,6,6,0,100.0,0.0,inf,2019-12-12_2019-12-16|2020-09-07_2020-09-11|2022-10-12_2022-10-16|2022-12-06_2022-12-10|2025-06-08_2025-06-12|2025-11-25_2025-11-29
0.3,1,PPI m/m,Good,5,3,2,60.0,40.0,1.5,2018-09-08_2018-09-12|2020-07-09_2020-07-13|2023-11-11_2023-11-15|2024-06-13_2024-06-17|2025-09-06_2025-09-10
0.3,1,PPI m/m,Neutral,7,6,1,85.7,14.3,6.0,2019-04-11_2019-04-15|2019-12-12_2019-12-16|2020-09-07_2020-09-11|2022-10-12_2022-10-16|2022-12-06_2022-12-10|2025-06-08_2025-06-12|2025-11-25_2025-11-29
0.3,1,PPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-06-09_2020-06-13|2021-06-14_2021-06-18
0.0,1,Core PPI m/m,Good,8,6,2,75.0,25.0,3.0,2018-09-08_2018-09-12|2019-12-12_2019-12-16|2020-07-09_2020-07-13|2023-11-11_2023-11-15|2024-06-13_2024-06-17|2025-06-08_2025-06-12|2025-09-06_2025-09-10|2025-11-25_2025-11-29
