آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.1,1,CPI m/m,Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.2,1,CPI m/m,Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.3,1,CPI m/m,Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.0,1,Core CPI m/m,Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.1,1,Core CPI m/m,Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.2,1,Core CPI m/m,Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.3,1,Core CPI m/m,Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.0,1,FOMC,Neutral,8,7,1,87.5,12.5,7.0,2021-06-16_2021-06-30|2022-12-10_2022-12-24|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2023-09-15_2023-09-29|2024-03-15_2024-03-29|2025-11-26_2025-12-10|2026-01-15_2026-01-29
0.1,1,FOMC,Neutral,8,7,1,87.5,12.5,7.0,2021-06-16_2021-06-30|2022-12-10_2022-12-24|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2023-09-15_2023-09-29|2024-03-15_2024-03-29|2025-11-26_2025-12-10|2026-01-15_2026-01-29
0.2,1,FOMC,Neutral,8,7,1,87.5,12.5,7.0,2021-06-16_2021-06-30|2022-12-10_2022-12-24|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2023-09-15_2023-09-29|2024-03-15_2024-03-29|2025-11-26_2025-12-10|2026-01-15_2026-01-29
0.3,1,FOMC,Neutral,8,7,1,87.5,12.5,7.0,2021-06-16_2021-06-30|2022-12-10_2022-12-24|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2023-09-15_2023-09-29|2024-03-15_2024-03-29|2025-11-26_2025-12-10|2026-01-15_2026-01-29
0.0,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.1,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.2,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.3,1,CPI y/y,Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.0,2,CPI m/m|Core CPI m/m,Good|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.1,2,CPI m/m|Core CPI m/m,Good|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.2,2,CPI m/m|Core CPI m/m,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.3,2,CPI m/m|Core CPI m/m,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.0,2,CPI m/m|FOMC,Good|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.1,2,CPI m/m|FOMC,Good|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.2,2,CPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.3,2,CPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.0,2,CPI m/m|CPI y/y,Good|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.1,2,CPI m/m|CPI y/y,Good|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.2,2,CPI m/m|CPI y/y,Neutral|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.3,2,CPI m/m|CPI y/y,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.0,2,Core CPI m/m|FOMC,Good|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.1,2,Core CPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.2,2,Core CPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.3,2,Core CPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.0,2,Core CPI m/m|CPI y/y,Good|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.1,2,Core CPI m/m|CPI y/y,Neutral|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.2,2,Core CPI m/m|CPI y/y,Neutral|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.3,2,Core CPI m/m|CPI y/y,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.0,2,FOMC|CPI y/y,Neutral|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.1,2,FOMC|CPI y/y,Neutral|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.2,2,FOMC|CPI y/y,Neutral|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
0.3,2,FOMC|CPI y/y,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-24
