آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,7,5,2,71.4,28.6,2.5,2019-04-06_2019-04-10|2020-07-14_2020-07-18|2021-07-09_2021-07-13|2021-10-12_2021-10-16|2021-11-06_2021-11-10|2022-06-09_2022-06-13|2023-10-12_2023-10-16
0.0,1,CPI m/m,Good,7,4,3,57.1,42.9,1.33,2019-05-06_2019-05-10|2020-04-10_2020-04-14|2022-08-08_2022-08-12|2023-04-10_2023-04-14|2024-05-14_2024-05-18|2025-04-09_2025-04-13|2025-05-09_2025-05-13
0.0,1,CPI m/m,Neutral,9,7,2,77.8,22.2,3.5,2020-10-12_2020-10-16|2021-03-06_2021-03-10|2023-01-10_2023-01-14|2023-02-14_2023-02-18|2023-03-11_2023-03-15|2024-03-10_2024-03-14|2025-01-14_2025-01-18|2025-08-12_2025-08-16|2026-01-09_2026-01-13
0.1,1,CPI m/m,Bad,6,4,2,66.7,33.3,2.0,2019-04-06_2019-04-10|2021-07-09_2021-07-13|2021-10-12_2021-10-16|2021-11-06_2021-11-10|2022-06-09_2022-06-13|2023-10-12_2023-10-16
0.1,1,CPI m/m,Good,5,3,2,60.0,40.0,1.5,2019-05-06_2019-05-10|2020-04-10_2020-04-14|2022-08-08_2022-08-12|2024-05-14_2024-05-18|2025-04-09_2025-04-13
0.1,1,CPI m/m,Neutral,12,9,3,75.0,25.0,3.0,2020-07-14_2020-07-18|2020-10-12_2020-10-16|2021-03-06_2021-03-10|2023-01-10_2023-01-14|2023-02-14_2023-02-18|2023-03-11_2023-03-15|2023-04-10_2023-04-14|2024-03-10_2024-03-14|2025-01-14_2025-01-18|2025-05-09_2025-05-13|2025-08-12_2025-08-16|2026-01-09_2026-01-13
0.2,1,CPI m/m,Neutral,20,14,6,70.0,30.0,2.33,2019-04-06_2019-04-10|2019-05-06_2019-05-10|2020-04-10_2020-04-14|2020-07-14_2020-07-18|2020-10-12_2020-10-16|2021-03-06_2021-03-10|2021-10-12_2021-10-16|2022-08-08_2022-08-12|2023-01-10_2023-01-14|2023-02-14_2023-02-18|2023-03-11_2023-03-15|2023-04-10_2023-04-14|2023-10-12_2023-10-16|2024-03-10_2024-03-14|2024-05-14_2024-05-18|2025-01-14_2025-01-18|2025-04-09_2025-04-13|2025-05-09_2025-05-13|2025-08-12_2025-08-16|2026-01-09_2026-01-13
0.2,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-07-09_2021-07-13|2021-11-06_2021-11-10|2022-06-09_2022-06-13
0.3,1,CPI m/m,Neutral,20,14,6,70.0,30.0,2.33,2019-04-06_2019-04-10|2019-05-06_2019-05-10|2020-04-10_2020-04-14|2020-07-14_2020-07-18|2020-10-12_2020-10-16|2021-03-06_2021-03-10|2021-10-12_2021-10-16|2022-08-08_2022-08-12|2023-01-10_2023-01-14|2023-02-14_2023-02-18|2023-03-11_2023-03-15|2023-04-10_2023-04-14|2023-10-12_2023-10-16|2024-03-10_2024-03-14|2024-05-14_2024-05-18|2025-01-14_2025-01-18|2025-04-09_2025-04-13|2025-05-09_2025-05-13|2025-08-12_2025-08-16|2026-01-09_2026-01-13
0.3,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-07-09_2021-07-13|2021-11-06_2021-11-10|2022-06-09_2022-06-13
