آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core CPI m/m,Good,20,11,9,55.0,45.0,1.22,2020-11-13_2020-11-17|2021-02-11_2021-02-15|2021-03-11_2021-03-15|2021-08-12_2021-08-16|2022-04-13_2022-04-17|2022-08-11_2022-08-15|2022-11-11_2022-11-15|2022-12-14_2022-12-18|2023-07-13_2023-07-17|2023-11-15_2023-11-19|2024-06-13_2024-06-17|2024-07-12_2024-07-16|2025-01-16_2025-01-20|2025-03-13_2025-03-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2025-10-25_2025-10-29|2026-01-14_2026-01-18
0.0,1,Core CPI m/m,Bad,17,11,6,64.7,35.3,1.83,2020-12-11_2020-12-15|2021-05-13_2021-05-17|2021-11-11_2021-11-15|2022-01-13_2022-01-17|2022-06-11_2022-06-15|2022-07-14_2022-07-18|2022-09-14_2022-09-18|2022-10-14_2022-10-18|2023-03-15_2023-03-19|2023-05-11_2023-05-15|2023-09-14_2023-09-18|2024-02-14_2024-02-18|2024-03-13_2024-03-17|2024-04-11_2024-04-15|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2025-02-13_2025-02-17
0.0,1,Core CPI m/m,Neutral,16,14,2,87.5,12.5,7.0,2021-01-14_2021-01-18|2021-10-14_2021-10-18|2022-03-11_2022-03-15|2023-01-13_2023-01-17|2023-02-15_2023-02-19|2023-04-13_2023-04-17|2023-06-14_2023-06-18|2023-10-13_2023-10-17|2024-01-12_2024-01-16|2024-05-16_2024-05-20|2024-08-15_2024-08-19|2024-11-14_2024-11-18|2024-12-12_2024-12-16|2025-08-13_2025-08-17|2025-09-12_2025-09-16|2026-02-14_2026-02-18
0.1,1,Core CPI m/m,Good,8,5,3,62.5,37.5,1.67,2020-11-13_2020-11-17|2021-02-11_2021-02-15|2021-08-12_2021-08-16|2022-04-13_2022-04-17|2022-08-11_2022-08-15|2022-11-11_2022-11-15|2025-04-11_2025-04-15|2025-06-12_2025-06-16
0.1,1,Core CPI m/m,Neutral,35,24,11,68.6,31.4,2.18,2020-12-11_2020-12-15|2021-01-14_2021-01-18|2021-03-11_2021-03-15|2021-10-14_2021-10-18|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2022-06-11_2022-06-15|2022-12-14_2022-12-18|2023-01-13_2023-01-17|2023-02-15_2023-02-19|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-09-14_2023-09-18|2023-10-13_2023-10-17|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2024-05-16_2024-05-20|2024-06-13_2024-06-17|2024-07-12_2024-07-16|2024-08-15_2024-08-19|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2024-12-12_2024-12-16|2025-01-16_2025-01-20|2025-03-13_2025-03-17|2025-05-14_2025-05-18|2025-07-16_2025-07-20|2025-08-13_2025-08-17|2025-09-12_2025-09-16|2025-10-25_2025-10-29|2026-01-14_2026-01-18|2026-02-14_2026-02-18
0.1,1,Core CPI m/m,Bad,10,7,3,70.0,30.0,2.33,2021-05-13_2021-05-17|2021-11-11_2021-11-15|2022-07-14_2022-07-18|2022-09-14_2022-09-18|2022-10-14_2022-10-18|2023-05-11_2023-05-15|2024-02-14_2024-02-18|2024-03-13_2024-03-17|2024-04-11_2024-04-15|2025-02-13_2025-02-17
0.2,1,Core CPI m/m,Neutral,51,35,16,68.6,31.4,2.19,2020-11-13_2020-11-17|2020-12-11_2020-12-15|2021-01-14_2021-01-18|2021-02-11_2021-02-15|2021-03-11_2021-03-15|2021-08-12_2021-08-16|2021-10-14_2021-10-18|2021-11-11_2021-11-15|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2022-04-13_2022-04-17|2022-06-11_2022-06-15|2022-07-14_2022-07-18|2022-08-11_2022-08-15|2022-10-14_2022-10-18|2022-11-11_2022-11-15|2022-12-14_2022-12-18|2023-01-13_2023-01-17|2023-02-15_2023-02-19|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-09-14_2023-09-18|2023-10-13_2023-10-17|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2024-02-14_2024-02-18|2024-03-13_2024-03-17|2024-04-11_2024-04-15|2024-05-16_2024-05-20|2024-06-13_2024-06-17|2024-07-12_2024-07-16|2024-08-15_2024-08-19|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2024-12-12_2024-12-16|2025-01-16_2025-01-20|2025-02-13_2025-02-17|2025-03-13_2025-03-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2025-08-13_2025-08-17|2025-09-12_2025-09-16|2025-10-25_2025-10-29|2026-01-14_2026-01-18|2026-02-14_2026-02-18
0.2,1,Core CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2021-05-13_2021-05-17|2022-09-14_2022-09-18
0.3,1,Core CPI m/m,Neutral,52,36,16,69.2,30.8,2.25,2020-11-13_2020-11-17|2020-12-11_2020-12-15|2021-01-14_2021-01-18|2021-02-11_2021-02-15|2021-03-11_2021-03-15|2021-08-12_2021-08-16|2021-10-14_2021-10-18|2021-11-11_2021-11-15|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2022-04-13_2022-04-17|2022-06-11_2022-06-15|2022-07-14_2022-07-18|2022-08-11_2022-08-15|2022-09-14_2022-09-18|2022-10-14_2022-10-18|2022-11-11_2022-11-15|2022-12-14_2022-12-18|2023-01-13_2023-01-17|2023-02-15_2023-02-19|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-09-14_2023-09-18|2023-10-13_2023-10-17|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2024-02-14_2024-02-18|2024-03-13_2024-03-17|2024-04-11_2024-04-15|2024-05-16_2024-05-20|2024-06-13_2024-06-17|2024-07-12_2024-07-16|2024-08-15_2024-08-19|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2024-12-12_2024-12-16|2025-01-16_2025-01-20|2025-02-13_2025-02-17|2025-03-13_2025-03-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2025-08-13_2025-08-17|2025-09-12_2025-09-16|2025-10-25_2025-10-29|2026-01-14_2026-01-18|2026-02-14_2026-02-18
0.3,1,Core CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2021-05-13_2021-05-17
