آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,8,5,3,62.5,37.5,1.67,2018-03-14_2018-04-12|2020-05-13_2020-06-11|2022-07-14_2022-08-12|2023-03-15_2023-04-13|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2025-03-13_2025-04-11|2025-05-14_2025-06-12
0.0,1,CPI m/m,Neutral,4,2,2,50.0,50.0,1.0,2018-11-15_2018-12-14|2019-02-14_2019-03-15|2023-04-13_2023-05-12|2025-07-16_2025-08-14
0.0,1,CPI m/m,Bad,6,3,3,50.0,50.0,1.0,2019-11-14_2019-12-13|2021-10-14_2021-11-12|2022-04-13_2022-05-12|2022-09-14_2022-10-13|2023-11-15_2023-12-14|2023-12-13_2024-01-11
0.1,1,CPI m/m,Neutral,13,7,6,53.8,46.2,1.17,2018-03-14_2018-04-12|2018-11-15_2018-12-14|2019-02-14_2019-03-15|2019-11-14_2019-12-13|2020-05-13_2020-06-11|2022-04-13_2022-05-12|2023-03-15_2023-04-13|2023-04-13_2023-05-12|2023-11-15_2023-12-14|2023-12-13_2024-01-11|2024-05-16_2024-06-14|2025-05-14_2025-06-12|2025-07-16_2025-08-14
0.1,1,CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2021-10-14_2021-11-12|2022-09-14_2022-10-13
0.1,1,CPI m/m,Good,3,2,1,66.7,33.3,2.0,2022-07-14_2022-08-12|2024-06-13_2024-07-12|2025-03-13_2025-04-11
0.2,1,CPI m/m,Neutral,17,10,7,58.8,41.2,1.43,2018-03-14_2018-04-12|2018-11-15_2018-12-14|2019-02-14_2019-03-15|2019-11-14_2019-12-13|2020-05-13_2020-06-11|2022-04-13_2022-05-12|2022-07-14_2022-08-12|2022-09-14_2022-10-13|2023-03-15_2023-04-13|2023-04-13_2023-05-12|2023-11-15_2023-12-14|2023-12-13_2024-01-11|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2025-03-13_2025-04-11|2025-05-14_2025-06-12|2025-07-16_2025-08-14
0.2,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2021-10-14_2021-11-12
0.3,1,CPI m/m,Neutral,17,10,7,58.8,41.2,1.43,2018-03-14_2018-04-12|2018-11-15_2018-12-14|2019-02-14_2019-03-15|2019-11-14_2019-12-13|2020-05-13_2020-06-11|2022-04-13_2022-05-12|2022-07-14_2022-08-12|2022-09-14_2022-10-13|2023-03-15_2023-04-13|2023-04-13_2023-05-12|2023-11-15_2023-12-14|2023-12-13_2024-01-11|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2025-03-13_2025-04-11|2025-05-14_2025-06-12|2025-07-16_2025-08-14
0.3,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2021-10-14_2021-11-12
