آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Neutral,5,4,1,80.0,20.0,4.0,2018-02-15_2018-02-24|2019-07-12_2019-07-21|2022-09-14_2022-09-23|2023-12-13_2023-12-22|2026-01-14_2026-01-23
0.0,1,PPI m/m,Bad,8,6,2,75.0,25.0,3.0,2020-06-11_2020-06-20|2020-11-13_2020-11-22|2021-02-11_2021-02-20|2023-02-15_2023-02-24|2023-08-11_2023-08-20|2024-03-13_2024-03-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21
0.0,1,PPI m/m,Good,8,6,2,75.0,25.0,3.0,2023-03-15_2023-03-24|2023-05-11_2023-05-20|2023-07-13_2023-07-22|2023-11-15_2023-11-24|2024-06-13_2024-06-22|2024-10-11_2024-10-20|2025-06-12_2025-06-21|2025-07-16_2025-07-25
0.1,1,PPI m/m,Neutral,13,10,3,76.9,23.1,3.33,2018-02-15_2018-02-24|2019-07-12_2019-07-21|2020-11-13_2020-11-22|2022-09-14_2022-09-23|2023-05-11_2023-05-20|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-12-13_2023-12-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2025-06-12_2025-06-21|2026-01-14_2026-01-23
0.1,1,PPI m/m,Bad,4,3,1,75.0,25.0,3.0,2020-06-11_2020-06-20|2021-02-11_2021-02-20|2023-02-15_2023-02-24|2024-03-13_2024-03-22
0.1,1,PPI m/m,Good,4,3,1,75.0,25.0,3.0,2023-03-15_2023-03-24|2023-11-15_2023-11-24|2024-06-13_2024-06-22|2025-07-16_2025-07-25
0.2,1,PPI m/m,Neutral,14,11,3,78.6,21.4,3.67,2018-02-15_2018-02-24|2019-07-12_2019-07-21|2020-11-13_2020-11-22|2022-09-14_2022-09-23|2023-05-11_2023-05-20|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-12-13_2023-12-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2025-06-12_2025-06-21|2025-07-16_2025-07-25|2026-01-14_2026-01-23
0.2,1,PPI m/m,Bad,4,3,1,75.0,25.0,3.0,2020-06-11_2020-06-20|2021-02-11_2021-02-20|2023-02-15_2023-02-24|2024-03-13_2024-03-22
0.2,1,PPI m/m,Good,3,2,1,66.7,33.3,2.0,2023-03-15_2023-03-24|2023-11-15_2023-11-24|2024-06-13_2024-06-22
0.3,1,PPI m/m,Neutral,16,12,4,75.0,25.0,3.0,2018-02-15_2018-02-24|2019-07-12_2019-07-21|2020-11-13_2020-11-22|2022-09-14_2022-09-23|2023-02-15_2023-02-24|2023-05-11_2023-05-20|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-12-13_2023-12-22|2024-03-13_2024-03-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2025-06-12_2025-06-21|2025-07-16_2025-07-25|2026-01-14_2026-01-23
0.3,1,PPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-06-11_2020-06-20|2021-02-11_2021-02-20
0.3,1,PPI m/m,Good,3,2,1,66.7,33.3,2.0,2023-03-15_2023-03-24|2023-11-15_2023-11-24|2024-06-13_2024-06-22
0.0,1,Core PPI m/m,Bad,9,7,2,77.8,22.2,3.5,2018-02-15_2018-02-24|2019-07-12_2019-07-21|2021-02-11_2021-02-20|2022-09-14_2022-09-23|2023-02-15_2023-02-24|2023-08-11_2023-08-20|2024-03-13_2024-03-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21
0.0,1,Core PPI m/m,Neutral,3,3,0,100.0,0.0,inf,2020-06-11_2020-06-20|2023-05-11_2023-05-20|2024-10-11_2024-10-20
0.0,1,Core PPI m/m,Good,9,6,3,66.7,33.3,2.0,2020-11-13_2020-11-22|2023-03-15_2023-03-24|2023-07-13_2023-07-22|2023-11-15_2023-11-24|2023-12-13_2023-12-22|2024-06-13_2024-06-22|2025-06-12_2025-06-21|2025-07-16_2025-07-25|2026-01-14_2026-01-23
0.1,1,Core PPI m/m,Bad,5,4,1,80.0,20.0,4.0,2018-02-15_2018-02-24|2021-02-11_2021-02-20|2022-09-14_2022-09-23|2023-02-15_2023-02-24|2024-07-12_2024-07-21
0.1,1,Core PPI m/m,Neutral,9,7,2,77.8,22.2,3.5,2019-07-12_2019-07-21|2020-06-11_2020-06-20|2020-11-13_2020-11-22|2023-05-11_2023-05-20|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2024-03-13_2024-03-22|2024-09-12_2024-09-21|2024-10-11_2024-10-20
0.1,1,Core PPI m/m,Good,7,5,2,71.4,28.6,2.5,2023-03-15_2023-03-24|2023-11-15_2023-11-24|2023-12-13_2023-12-22|2024-06-13_2024-06-22|2025-06-12_2025-06-21|2025-07-16_2025-07-25|2026-01-14_2026-01-23
