آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,3,2,1,66.7,33.3,2.0,2018-04-11_2018-04-15|2024-06-08_2024-06-12|2024-07-08_2024-07-12
0.0,1,CPI m/m,Neutral,1,1,0,100.0,0.0,inf,2018-11-12_2018-11-16
0.0,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-10-12_2022-10-16
0.1,1,CPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2018-04-11_2018-04-15|2018-11-12_2018-11-16|2024-06-08_2024-06-12
0.1,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-10-12_2022-10-16
0.1,1,CPI m/m,Good,1,1,0,100.0,0.0,inf,2024-07-08_2024-07-12
0.2,1,CPI m/m,Neutral,5,4,1,80.0,20.0,4.0,2018-04-11_2018-04-15|2018-11-12_2018-11-16|2022-10-12_2022-10-16|2024-06-08_2024-06-12|2024-07-08_2024-07-12
0.3,1,CPI m/m,Neutral,5,4,1,80.0,20.0,4.0,2018-04-11_2018-04-15|2018-11-12_2018-11-16|2022-10-12_2022-10-16|2024-06-08_2024-06-12|2024-07-08_2024-07-12
0.0,1,Core CPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2018-04-11_2018-04-15|2018-11-12_2018-11-16
0.0,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-10-12_2022-10-16
0.0,1,Core CPI m/m,Good,2,2,0,100.0,0.0,inf,2024-06-08_2024-06-12|2024-07-08_2024-07-12
0.1,1,Core CPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2018-04-11_2018-04-15|2018-11-12_2018-11-16|2024-06-08_2024-06-12|2024-07-08_2024-07-12
0.1,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-10-12_2022-10-16
0.2,1,Core CPI m/m,Neutral,5,4,1,80.0,20.0,4.0,2018-04-11_2018-04-15|2018-11-12_2018-11-16|2022-10-12_2022-10-16|2024-06-08_2024-06-12|2024-07-08_2024-07-12
0.3,1,Core CPI m/m,Neutral,5,4,1,80.0,20.0,4.0,2018-04-11_2018-04-15|2018-11-12_2018-11-16|2022-10-12_2022-10-16|2024-06-08_2024-06-12|2024-07-08_2024-07-12
0.0,1,PPI m/m,Bad,4,3,1,75.0,25.0,3.0,2018-11-07_2018-11-11|2019-04-11_2019-04-15|2022-10-12_2022-10-16|2024-07-08_2024-07-12
0.1,1,PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2018-11-07_2018-11-11|2019-04-11_2019-04-15|2022-10-12_2022-10-16
0.1,1,PPI m/m,Neutral,1,1,0,100.0,0.0,inf,2024-07-08_2024-07-12
0.2,1,PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2018-11-07_2018-11-11|2019-04-11_2019-04-15
0.2,1,PPI m/m,Neutral,2,2,0,100.0,0.0,inf,2022-10-12_2022-10-16|2024-07-08_2024-07-12
0.3,1,PPI m/m,Bad,1,1,0,100.0,0.0,inf,2018-11-07_2018-11-11
0.3,1,PPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2019-04-11_2019-04-15|2022-10-12_2022-10-16|2024-07-08_2024-07-12
0.0,1,Core PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2018-11-07_2018-11-11|2019-04-11_2019-04-15|2024-07-08_2024-07-12
0.0,1,Core PPI m/m,Neutral,1,1,0,100.0,0.0,inf,2022-10-12_2022-10-16
0.1,1,Core PPI m/m,Bad,2,2,0,100.0,0.0,inf,2018-11-07_2018-11-11|2024-07-08_2024-07-12
0.1,1,Core PPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2019-04-11_2019-04-15|2022-10-12_2022-10-16
0.2,1,Core PPI m/m,Bad,1,1,0,100.0,0.0,inf,2018-11-07_2018-11-11
0.2,1,Core PPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2019-04-11_2019-04-15|2022-10-12_2022-10-16|2024-07-08_2024-07-12
0.3,1,Core PPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2018-11-07_2018-11-11|2019-04-11_2019-04-15|2022-10-12_2022-10-16|2024-07-08_2024-07-12
0.0,1,FOMC,Neutral,3,2,1,66.7,33.3,2.0,2023-04-30_2023-05-04|2024-06-08_2024-06-12|2024-11-05_2024-11-09
