آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,11,6,5,54.5,45.5,1.2,2018-05-06_2018-05-10|2019-02-10_2019-02-14|2019-05-06_2019-05-10|2020-11-11_2020-11-15|2022-12-11_2022-12-15|2023-06-09_2023-06-13|2023-07-09_2023-07-13|2024-05-14_2024-05-18|2024-06-08_2024-06-12|2024-07-08_2024-07-12|2025-06-08_2025-06-12
0.0,1,CPI m/m,Neutral,10,8,2,80.0,20.0,4.0,2018-12-12_2018-12-16|2019-03-12_2019-03-16|2019-09-08_2019-09-12|2020-10-12_2020-10-16|2021-03-06_2021-03-10|2023-09-12_2023-09-16|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-07-13_2025-07-17|2026-01-09_2026-01-13
0.0,1,CPI m/m,Bad,6,4,2,66.7,33.3,2.0,2019-11-12_2019-11-16|2020-07-14_2020-07-18|2021-10-12_2021-10-16|2021-11-06_2021-11-10|2023-10-12_2023-10-16|2024-10-06_2024-10-10
0.1,1,CPI m/m,Neutral,19,14,5,73.7,26.3,2.8,2018-05-06_2018-05-10|2018-12-12_2018-12-16|2019-02-10_2019-02-14|2019-03-12_2019-03-16|2019-09-08_2019-09-12|2020-07-14_2020-07-18|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2021-03-06_2021-03-10|2023-06-09_2023-06-13|2023-07-09_2023-07-13|2023-09-12_2023-09-16|2024-06-08_2024-06-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2025-01-14_2025-01-18|2025-06-08_2025-06-12|2025-07-13_2025-07-17|2026-01-09_2026-01-13
0.1,1,CPI m/m,Good,4,2,2,50.0,50.0,1.0,2019-05-06_2019-05-10|2022-12-11_2022-12-15|2024-05-14_2024-05-18|2024-07-08_2024-07-12
0.1,1,CPI m/m,Bad,4,2,2,50.0,50.0,1.0,2019-11-12_2019-11-16|2021-10-12_2021-10-16|2021-11-06_2021-11-10|2023-10-12_2023-10-16
0.2,1,CPI m/m,Neutral,26,17,9,65.4,34.6,1.89,2018-05-06_2018-05-10|2018-12-12_2018-12-16|2019-02-10_2019-02-14|2019-03-12_2019-03-16|2019-05-06_2019-05-10|2019-09-08_2019-09-12|2019-11-12_2019-11-16|2020-07-14_2020-07-18|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2021-03-06_2021-03-10|2021-10-12_2021-10-16|2022-12-11_2022-12-15|2023-06-09_2023-06-13|2023-07-09_2023-07-13|2023-09-12_2023-09-16|2023-10-12_2023-10-16|2024-05-14_2024-05-18|2024-06-08_2024-06-12|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2025-01-14_2025-01-18|2025-06-08_2025-06-12|2025-07-13_2025-07-17|2026-01-09_2026-01-13
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-11-06_2021-11-10
0.3,1,CPI m/m,Neutral,26,17,9,65.4,34.6,1.89,2018-05-06_2018-05-10|2018-12-12_2018-12-16|2019-02-10_2019-02-14|2019-03-12_2019-03-16|2019-05-06_2019-05-10|2019-09-08_2019-09-12|2019-11-12_2019-11-16|2020-07-14_2020-07-18|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2021-03-06_2021-03-10|2021-10-12_2021-10-16|2022-12-11_2022-12-15|2023-06-09_2023-06-13|2023-07-09_2023-07-13|2023-09-12_2023-09-16|2023-10-12_2023-10-16|2024-05-14_2024-05-18|2024-06-08_2024-06-12|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2025-01-14_2025-01-18|2025-06-08_2025-06-12|2025-07-13_2025-07-17|2026-01-09_2026-01-13
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-11-06_2021-11-10
0.0,1,Core CPI m/m,Good,13,10,3,76.9,23.1,3.33,2018-05-06_2018-05-10|2019-03-12_2019-03-16|2019-05-06_2019-05-10|2020-11-11_2020-11-15|2021-03-06_2021-03-10|2022-12-11_2022-12-15|2023-07-09_2023-07-13|2024-06-08_2024-06-12|2024-07-08_2024-07-12|2025-01-14_2025-01-18|2025-06-08_2025-06-12|2025-07-13_2025-07-17|2026-01-09_2026-01-13
0.0,1,Core CPI m/m,Neutral,9,4,5,44.4,55.6,0.8,2018-12-12_2018-12-16|2019-02-10_2019-02-14|2019-11-12_2019-11-16|2020-10-12_2020-10-16|2021-10-12_2021-10-16|2023-06-09_2023-06-13|2023-10-12_2023-10-16|2024-05-14_2024-05-18|2024-08-12_2024-08-16
0.0,1,Core CPI m/m,Bad,5,4,1,80.0,20.0,4.0,2019-09-08_2019-09-12|2020-07-14_2020-07-18|2021-11-06_2021-11-10|2023-09-12_2023-09-16|2024-10-06_2024-10-10
0.1,1,Core CPI m/m,Neutral,24,16,8,66.7,33.3,2.0,2018-05-06_2018-05-10|2018-12-12_2018-12-16|2019-02-10_2019-02-14|2019-03-12_2019-03-16|2019-05-06_2019-05-10|2019-09-08_2019-09-12|2019-11-12_2019-11-16|2020-07-14_2020-07-18|2020-10-12_2020-10-16|2021-03-06_2021-03-10|2021-10-12_2021-10-16|2022-12-11_2022-12-15|2023-06-09_2023-06-13|2023-07-09_2023-07-13|2023-09-12_2023-09-16|2023-10-12_2023-10-16|2024-05-14_2024-05-18|2024-06-08_2024-06-12|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2025-01-14_2025-01-18|2025-07-13_2025-07-17|2026-01-09_2026-01-13
0.1,1,Core CPI m/m,Good,2,1,1,50.0,50.0,1.0,2020-11-11_2020-11-15|2025-06-08_2025-06-12
0.1,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-11-06_2021-11-10
0.2,1,Core CPI m/m,Neutral,27,18,9,66.7,33.3,2.0,2018-05-06_2018-05-10|2018-12-12_2018-12-16|2019-02-10_2019-02-14|2019-03-12_2019-03-16|2019-05-06_2019-05-10|2019-09-08_2019-09-12|2019-11-12_2019-11-16|2020-07-14_2020-07-18|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2021-03-06_2021-03-10|2021-10-12_2021-10-16|2021-11-06_2021-11-10|2022-12-11_2022-12-15|2023-06-09_2023-06-13|2023-07-09_2023-07-13|2023-09-12_2023-09-16|2023-10-12_2023-10-16|2024-05-14_2024-05-18|2024-06-08_2024-06-12|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2025-01-14_2025-01-18|2025-06-08_2025-06-12|2025-07-13_2025-07-17|2026-01-09_2026-01-13
