آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2019-08-14_2019-09-12|2024-08-15_2024-09-13
0.0,1,CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2023-09-14_2023-10-13|2024-09-12_2024-10-11
0.0,1,CPI m/m,Good,1,0,1,0.0,100.0,0.0,2025-02-13_2025-03-14
0.1,1,CPI m/m,Neutral,4,2,2,50.0,50.0,1.0,2019-08-14_2019-09-12|2024-08-15_2024-09-13|2024-09-12_2024-10-11|2025-02-13_2025-03-14
0.1,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2023-09-14_2023-10-13
0.2,1,CPI m/m,Neutral,5,2,3,40.0,60.0,0.67,2019-08-14_2019-09-12|2023-09-14_2023-10-13|2024-08-15_2024-09-13|2024-09-12_2024-10-11|2025-02-13_2025-03-14
0.3,1,CPI m/m,Neutral,5,2,3,40.0,60.0,0.67,2019-08-14_2019-09-12|2023-09-14_2023-10-13|2024-08-15_2024-09-13|2024-09-12_2024-10-11|2025-02-13_2025-03-14
0.0,1,Core CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2019-08-14_2019-09-12|2024-08-15_2024-09-13|2024-09-12_2024-10-11
0.0,1,Core CPI m/m,Neutral,1,0,1,0.0,100.0,0.0,2023-09-14_2023-10-13
0.0,1,Core CPI m/m,Good,1,0,1,0.0,100.0,0.0,2025-02-13_2025-03-14
0.1,1,Core CPI m/m,Neutral,5,2,3,40.0,60.0,0.67,2019-08-14_2019-09-12|2023-09-14_2023-10-13|2024-08-15_2024-09-13|2024-09-12_2024-10-11|2025-02-13_2025-03-14
0.2,1,Core CPI m/m,Neutral,5,2,3,40.0,60.0,0.67,2019-08-14_2019-09-12|2023-09-14_2023-10-13|2024-08-15_2024-09-13|2024-09-12_2024-10-11|2025-02-13_2025-03-14
0.3,1,Core CPI m/m,Neutral,5,2,3,40.0,60.0,0.67,2019-08-14_2019-09-12|2023-09-14_2023-10-13|2024-08-15_2024-09-13|2024-09-12_2024-10-11|2025-02-13_2025-03-14
0.0,1,PPI m/m,Good,3,2,1,66.7,33.3,2.0,2019-01-12_2019-02-10|2019-12-12_2020-01-10|2025-02-13_2025-03-14
0.0,1,PPI m/m,Bad,5,3,2,60.0,40.0,1.5,2019-08-14_2019-09-12|2023-09-14_2023-10-13|2024-08-15_2024-09-13|2024-12-12_2025-01-10|2026-02-14_2026-03-15
0.0,1,PPI m/m,Neutral,2,2,0,100.0,0.0,inf,2020-12-11_2021-01-09|2024-09-12_2024-10-11
0.1,1,PPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2019-01-12_2019-02-10|2019-08-14_2019-09-12|2020-12-11_2021-01-09|2024-08-15_2024-09-13|2024-09-12_2024-10-11|2025-02-13_2025-03-14
0.1,1,PPI m/m,Good,1,1,0,100.0,0.0,inf,2019-12-12_2020-01-10
0.1,1,PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2023-09-14_2023-10-13|2024-12-12_2025-01-10|2026-02-14_2026-03-15
0.2,1,PPI m/m,Neutral,9,7,2,77.8,22.2,3.5,2019-01-12_2019-02-10|2019-08-14_2019-09-12|2019-12-12_2020-01-10|2020-12-11_2021-01-09|2024-08-15_2024-09-13|2024-09-12_2024-10-11|2024-12-12_2025-01-10|2025-02-13_2025-03-14|2026-02-14_2026-03-15
0.2,1,PPI m/m,Bad,1,0,1,0.0,100.0,0.0,2023-09-14_2023-10-13
0.3,1,PPI m/m,Neutral,10,7,3,70.0,30.0,2.33,2019-01-12_2019-02-10|2019-08-14_2019-09-12|2019-12-12_2020-01-10|2020-12-11_2021-01-09|2023-09-14_2023-10-13|2024-08-15_2024-09-13|2024-09-12_2024-10-11|2024-12-12_2025-01-10|2025-02-13_2025-03-14|2026-02-14_2026-03-15
0.0,1,Core PPI m/m,Good,4,3,1,75.0,25.0,3.0,2019-01-12_2019-02-10|2019-12-12_2020-01-10|2020-12-11_2021-01-09|2025-02-13_2025-03-14
0.0,1,Core PPI m/m,Bad,5,3,2,60.0,40.0,1.5,2019-08-14_2019-09-12|2023-09-14_2023-10-13|2024-08-15_2024-09-13|2024-09-12_2024-10-11|2026-02-14_2026-03-15
0.0,1,Core PPI m/m,Neutral,1,1,0,100.0,0.0,inf,2024-12-12_2025-01-10
0.1,1,Core PPI m/m,Good,3,2,1,66.7,33.3,2.0,2019-01-12_2019-02-10|2019-12-12_2020-01-10|2025-02-13_2025-03-14
