آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2023-09-07_2023-09-16|2024-08-12_2024-08-21|2024-09-11_2024-09-20
0.0,1,CPI m/m,Good,2,0,2,0.0,100.0,0.0,2024-06-03_2024-06-12|2025-04-09_2025-04-18
0.1,1,CPI m/m,Neutral,4,2,2,50.0,50.0,1.0,2023-09-07_2023-09-16|2024-06-03_2024-06-12|2024-08-12_2024-08-21|2024-09-11_2024-09-20
0.1,1,CPI m/m,Good,1,0,1,0.0,100.0,0.0,2025-04-09_2025-04-18
0.2,1,CPI m/m,Neutral,5,2,3,40.0,60.0,0.67,2023-09-07_2023-09-16|2024-06-03_2024-06-12|2024-08-12_2024-08-21|2024-09-11_2024-09-20|2025-04-09_2025-04-18
0.3,1,CPI m/m,Neutral,5,2,3,40.0,60.0,0.67,2023-09-07_2023-09-16|2024-06-03_2024-06-12|2024-08-12_2024-08-21|2024-09-11_2024-09-20|2025-04-09_2025-04-18
0.0,1,Core CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2023-09-07_2023-09-16|2024-09-11_2024-09-20
0.0,1,Core CPI m/m,Good,2,0,2,0.0,100.0,0.0,2024-06-03_2024-06-12|2025-04-09_2025-04-18
0.0,1,Core CPI m/m,Neutral,1,1,0,100.0,0.0,inf,2024-08-12_2024-08-21
0.1,1,Core CPI m/m,Neutral,4,2,2,50.0,50.0,1.0,2023-09-07_2023-09-16|2024-06-03_2024-06-12|2024-08-12_2024-08-21|2024-09-11_2024-09-20
0.1,1,Core CPI m/m,Good,1,0,1,0.0,100.0,0.0,2025-04-09_2025-04-18
0.2,1,Core CPI m/m,Neutral,5,2,3,40.0,60.0,0.67,2023-09-07_2023-09-16|2024-06-03_2024-06-12|2024-08-12_2024-08-21|2024-09-11_2024-09-20|2025-04-09_2025-04-18
0.3,1,Core CPI m/m,Neutral,5,2,3,40.0,60.0,0.67,2023-09-07_2023-09-16|2024-06-03_2024-06-12|2024-08-12_2024-08-21|2024-09-11_2024-09-20|2025-04-09_2025-04-18
0.0,1,PPI m/m,Good,3,2,1,66.7,33.3,2.0,2020-07-04_2020-07-13|2024-08-12_2024-08-21|2025-04-09_2025-04-18
0.0,1,PPI m/m,Neutral,1,1,0,100.0,0.0,inf,2020-12-11_2020-12-20
0.0,1,PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2023-09-07_2023-09-16|2024-09-11_2024-09-20
0.1,1,PPI m/m,Good,2,1,1,50.0,50.0,1.0,2020-07-04_2020-07-13|2025-04-09_2025-04-18
0.1,1,PPI m/m,Neutral,3,3,0,100.0,0.0,inf,2020-12-11_2020-12-20|2024-08-12_2024-08-21|2024-09-11_2024-09-20
