آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,11,5,6,45.5,54.5,0.83,2018-07-10_2018-07-24|2020-05-30_2020-06-13|2020-11-11_2020-11-25|2023-03-31_2023-04-14|2023-05-30_2023-06-13|2023-11-11_2023-11-25|2025-06-03_2025-06-17|2022-08-03_2022-08-17|2023-06-29_2023-07-13|2024-07-08_2024-07-22|2025-05-04_2025-05-18
0.0,1,CPI m/m,Neutral,18,13,5,72.2,27.8,2.6,2019-03-07_2019-03-21|2019-06-05_2019-06-19|2021-02-09_2021-02-23|2022-03-06_2022-03-20|2022-04-05_2022-04-19|2022-12-31_2023-01-14|2023-02-14_2023-02-28|2023-07-29_2023-08-12|2023-09-12_2023-09-26|2024-08-07_2024-08-21|2024-09-06_2024-09-20|2024-11-05_2024-11-19|2025-01-04_2025-01-18|2025-07-03_2025-07-17|2018-11-07_2018-11-21|2018-12-07_2018-12-21|2020-01-01_2020-01-15|2023-04-30_2023-05-14
0.0,1,CPI m/m,Bad,13,7,6,53.8,46.2,1.17,2019-07-05_2019-07-19|2019-11-02_2019-11-16|2020-07-14_2020-07-28|2020-07-29_2020-08-12|2020-11-26_2020-12-10|2021-04-10_2021-04-24|2022-10-02_2022-10-16|2023-10-12_2023-10-26|2023-12-11_2023-12-25|2025-02-03_2025-02-17|2025-09-01_2025-09-15|2021-10-07_2021-10-21|2024-01-10_2024-01-24
0.1,1,CPI m/m,Neutral,33,20,13,60.6,39.4,1.54,2018-07-10_2018-07-24|2019-03-07_2019-03-21|2019-06-05_2019-06-19|2019-07-05_2019-07-19|2020-05-30_2020-06-13|2020-07-14_2020-07-28|2020-11-11_2020-11-25|2020-11-26_2020-12-10|2021-02-09_2021-02-23|2021-04-10_2021-04-24|2022-03-06_2022-03-20|2022-04-05_2022-04-19|2022-12-31_2023-01-14|2023-02-14_2023-02-28|2023-03-31_2023-04-14|2023-05-30_2023-06-13|2023-07-29_2023-08-12|2023-09-12_2023-09-26|2023-11-11_2023-11-25|2023-12-11_2023-12-25|2024-08-07_2024-08-21|2024-09-06_2024-09-20|2024-11-05_2024-11-19|2025-06-03_2025-06-17|2025-01-04_2025-01-18|2025-07-03_2025-07-17|2018-11-07_2018-11-21|2018-12-07_2018-12-21|2020-01-01_2020-01-15|2023-04-30_2023-05-14|2023-06-29_2023-07-13|2024-01-10_2024-01-24|2025-05-04_2025-05-18
0.1,1,CPI m/m,Bad,7,4,3,57.1,42.9,1.33,2019-11-02_2019-11-16|2020-07-29_2020-08-12|2022-10-02_2022-10-16|2023-10-12_2023-10-26|2025-02-03_2025-02-17|2025-09-01_2025-09-15|2021-10-07_2021-10-21
0.1,1,CPI m/m,Good,2,1,1,50.0,50.0,1.0,2022-08-03_2022-08-17|2024-07-08_2024-07-22
0.2,1,CPI m/m,Neutral,41,24,17,58.5,41.5,1.41,2018-07-10_2018-07-24|2019-03-07_2019-03-21|2019-06-05_2019-06-19|2019-07-05_2019-07-19|2019-11-02_2019-11-16|2020-05-30_2020-06-13|2020-07-14_2020-07-28|2020-11-11_2020-11-25|2020-11-26_2020-12-10|2021-02-09_2021-02-23|2021-04-10_2021-04-24|2022-03-06_2022-03-20|2022-04-05_2022-04-19|2022-10-02_2022-10-16|2022-12-31_2023-01-14|2023-02-14_2023-02-28|2023-03-31_2023-04-14|2023-05-30_2023-06-13|2023-07-29_2023-08-12|2023-09-12_2023-09-26|2023-10-12_2023-10-26|2023-11-11_2023-11-25|2023-12-11_2023-12-25|2024-08-07_2024-08-21|2024-09-06_2024-09-20|2024-11-05_2024-11-19|2025-02-03_2025-02-17|2025-06-03_2025-06-17|2025-09-01_2025-09-15|2021-10-07_2021-10-21|2025-01-04_2025-01-18|2025-07-03_2025-07-17|2018-11-07_2018-11-21|2018-12-07_2018-12-21|2020-01-01_2020-01-15|2022-08-03_2022-08-17|2023-04-30_2023-05-14|2023-06-29_2023-07-13|2024-01-10_2024-01-24|2024-07-08_2024-07-22|2025-05-04_2025-05-18
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-07-29_2020-08-12
0.3,1,CPI m/m,Neutral,42,25,17,59.5,40.5,1.47,2018-07-10_2018-07-24|2019-03-07_2019-03-21|2019-06-05_2019-06-19|2019-07-05_2019-07-19|2019-11-02_2019-11-16|2020-05-30_2020-06-13|2020-07-14_2020-07-28|2020-07-29_2020-08-12|2020-11-11_2020-11-25|2020-11-26_2020-12-10|2021-02-09_2021-02-23|2021-04-10_2021-04-24|2022-03-06_2022-03-20|2022-04-05_2022-04-19|2022-10-02_2022-10-16|2022-12-31_2023-01-14|2023-02-14_2023-02-28|2023-03-31_2023-04-14|2023-05-30_2023-06-13|2023-07-29_2023-08-12|2023-09-12_2023-09-26|2023-10-12_2023-10-26|2023-11-11_2023-11-25|2023-12-11_2023-12-25|2024-08-07_2024-08-21|2024-09-06_2024-09-20|2024-11-05_2024-11-19|2025-02-03_2025-02-17|2025-06-03_2025-06-17|2025-09-01_2025-09-15|2021-10-07_2021-10-21|2025-01-04_2025-01-18|2025-07-03_2025-07-17|2018-11-07_2018-11-21|2018-12-07_2018-12-21|2020-01-01_2020-01-15|2022-08-03_2022-08-17|2023-04-30_2023-05-14|2023-06-29_2023-07-13|2024-01-10_2024-01-24|2024-07-08_2024-07-22|2025-05-04_2025-05-18
0.0,1,Core CPI m/m,Neutral,17,11,6,64.7,35.3,1.83,2018-07-10_2018-07-24|2019-11-02_2019-11-16|2022-03-06_2022-03-20|2022-12-31_2023-01-14|2023-02-14_2023-02-28|2023-03-31_2023-04-14|2023-05-30_2023-06-13|2023-07-29_2023-08-12|2023-10-12_2023-10-26|2023-12-11_2023-12-25|2024-08-07_2024-08-21|2024-11-05_2024-11-19|2025-09-01_2025-09-15|2021-10-07_2021-10-21|2018-11-07_2018-11-21|2018-12-07_2018-12-21|2024-01-10_2024-01-24
