آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,5,4,1,80.0,20.0,4.0,2018-06-13_2018-06-17|2023-08-11_2023-08-15|2023-09-14_2023-09-18|2024-07-12_2024-07-16|2024-12-12_2024-12-16
0.0,1,PPI m/m,Good,9,6,3,66.7,33.3,2.0,2019-01-12_2019-01-16|2019-02-14_2019-02-18|2019-12-12_2019-12-16|2020-03-12_2020-03-16|2021-01-14_2021-01-18|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2024-10-11_2024-10-15
0.1,1,PPI m/m,Bad,3,3,0,100.0,0.0,inf,2018-06-13_2018-06-17|2023-09-14_2023-09-18|2024-12-12_2024-12-16
0.1,1,PPI m/m,Neutral,6,2,4,33.3,66.7,0.5,2019-01-12_2019-01-16|2023-05-11_2023-05-15|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2024-07-12_2024-07-16|2024-10-11_2024-10-15
0.1,1,PPI m/m,Good,5,5,0,100.0,0.0,inf,2019-02-14_2019-02-18|2019-12-12_2019-12-16|2020-03-12_2020-03-16|2021-01-14_2021-01-18|2023-06-14_2023-06-18
0.2,1,PPI m/m,Neutral,12,8,4,66.7,33.3,2.0,2018-06-13_2018-06-17|2019-01-12_2019-01-16|2019-02-14_2019-02-18|2019-12-12_2019-12-16|2021-01-14_2021-01-18|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2024-07-12_2024-07-16|2024-10-11_2024-10-15|2024-12-12_2024-12-16
0.2,1,PPI m/m,Good,1,1,0,100.0,0.0,inf,2020-03-12_2020-03-16
0.2,1,PPI m/m,Bad,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-18
0.3,1,PPI m/m,Neutral,13,9,4,69.2,30.8,2.25,2018-06-13_2018-06-17|2019-01-12_2019-01-16|2019-02-14_2019-02-18|2019-12-12_2019-12-16|2021-01-14_2021-01-18|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-09-14_2023-09-18|2024-07-12_2024-07-16|2024-10-11_2024-10-15|2024-12-12_2024-12-16
0.3,1,PPI m/m,Good,1,1,0,100.0,0.0,inf,2020-03-12_2020-03-16
