آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,ماه‌ها
0.0,1,CPI m/m,Bad,12,6,6,50.0,50.0,1.0,2021-05|2021-07|2021-10|2021-11|2021-12|2022-09|2023-12|2024-01|2024-02|2024-10|2025-02|2025-09
0.0,1,CPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2021-08|2022-04|2024-03|2024-12|2025-08|2026-01
0.0,1,CPI m/m,Good,8,6,2,75.0,25.0,3.0,2021-09|2024-05|2024-07|2025-03|2025-04|2025-05|2025-06|2025-10
0.1,1,CPI m/m,Bad,8,6,2,75.0,25.0,3.0,2021-05|2021-07|2021-10|2021-11|2021-12|2022-09|2025-02|2025-09
0.1,1,CPI m/m,Neutral,13,7,6,53.8,46.2,1.17,2021-08|2022-04|2023-12|2024-01|2024-02|2024-03|2024-10|2024-12|2025-03|2025-05|2025-06|2025-08|2026-01
0.1,1,CPI m/m,Good,5,3,2,60.0,40.0,1.5,2021-09|2024-05|2024-07|2025-04|2025-10
0.2,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-05|2021-07|2021-11
0.2,1,CPI m/m,Neutral,23,14,9,60.9,39.1,1.56,2021-08|2021-09|2021-10|2021-12|2022-04|2022-09|2023-12|2024-01|2024-02|2024-03|2024-05|2024-07|2024-10|2024-12|2025-02|2025-03|2025-04|2025-05|2025-06|2025-08|2025-09|2025-10|2026-01
0.3,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-05|2021-07|2021-11
0.3,1,CPI m/m,Neutral,23,14,9,60.9,39.1,1.56,2021-08|2021-09|2021-10|2021-12|2022-04|2022-09|2023-12|2024-01|2024-02|2024-03|2024-05|2024-07|2024-10|2024-12|2025-02|2025-03|2025-04|2025-05|2025-06|2025-08|2025-09|2025-10|2026-01
0.0,1,Core CPI m/m,Bad,8,4,4,50.0,50.0,1.0,2021-05|2021-07|2021-11|2022-09|2024-02|2024-03|2024-10|2025-02
0.0,1,Core CPI m/m,Good,10,7,3,70.0,30.0,2.33,2021-08|2021-09|2022-04|2024-07|2025-03|2025-04|2025-05|2025-06|2025-10|2026-01
0.0,1,Core CPI m/m,Neutral,8,5,3,62.5,37.5,1.67,2021-10|2021-12|2023-12|2024-01|2024-05|2024-12|2025-08|2025-09
0.1,1,Core CPI m/m,Bad,7,4,3,57.1,42.9,1.33,2021-05|2021-07|2021-11|2022-09|2024-02|2024-03|2025-02
0.1,1,Core CPI m/m,Good,5,3,2,60.0,40.0,1.5,2021-08|2021-09|2022-04|2025-04|2025-06
0.1,1,Core CPI m/m,Neutral,14,9,5,64.3,35.7,1.8,2021-10|2021-12|2023-12|2024-01|2024-05|2024-07|2024-10|2024-12|2025-03|2025-05|2025-08|2025-09|2025-10|2026-01
0.2,1,Core CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-05|2021-07|2022-09
0.2,1,Core CPI m/m,Neutral,23,14,9,60.9,39.1,1.56,2021-08|2021-09|2021-10|2021-11|2021-12|2022-04|2023-12|2024-01|2024-02|2024-03|2024-05|2024-07|2024-10|2024-12|2025-02|2025-03|2025-04|2025-05|2025-06|2025-08|2025-09|2025-10|2026-01
0.3,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-05|2021-07
0.3,1,Core CPI m/m,Neutral,24,14,10,58.3,41.7,1.4,2021-08|2021-09|2021-10|2021-11|2021-12|2022-04|2022-09|2023-12|2024-01|2024-02|2024-03|2024-05|2024-07|2024-10|2024-12|2025-02|2025-03|2025-04|2025-05|2025-06|2025-08|2025-09|2025-10|2026-01
