آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,28,16,12,57.1,42.9,1.33,2018-06-14_2018-06-28|2018-07-12_2018-07-26|2018-11-10_2018-11-24|2018-12-12_2018-12-26|2019-04-12_2019-04-26|2019-09-12_2019-09-26|2020-06-12_2020-06-26|2020-08-12_2020-08-26|2020-09-11_2020-09-25|2020-10-15_2020-10-29|2021-03-13_2021-03-27|2021-06-16_2021-06-30|2021-07-15_2021-07-29|2021-08-13_2021-08-27|2021-09-11_2021-09-25|2021-12-15_2021-12-29|2022-02-16_2022-03-02|2022-10-13_2022-10-27|2022-12-10_2022-12-24|2023-02-17_2023-03-03|2023-08-12_2023-08-26|2023-09-15_2023-09-29|2024-05-15_2024-05-29|2024-07-13_2024-07-27|2024-09-13_2024-09-27|2024-12-13_2024-12-27|2025-02-14_2025-02-28|2026-02-28_2026-03-14
0.0,1,PPI m/m,Neutral,10,1,9,10.0,90.0,0.11,2018-10-11_2018-10-25|2019-05-10_2019-05-24|2019-06-12_2019-06-26|2019-07-13_2019-07-27|2019-08-10_2019-08-24|2020-12-12_2020-12-26|2022-09-15_2022-09-29|2023-12-14_2023-12-28|2025-11-26_2025-12-10|2026-01-15_2026-01-29
0.0,1,PPI m/m,Good,21,12,9,57.1,42.9,1.33,2019-01-16_2019-01-30|2019-02-15_2019-03-01|2019-10-09_2019-10-23|2019-12-13_2019-12-27|2020-03-13_2020-03-27|2020-05-14_2020-05-28|2020-07-11_2020-07-25|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2023-04-14_2023-04-28|2023-05-12_2023-05-26|2023-06-15_2023-06-29|2023-11-16_2023-11-30|2024-04-12_2024-04-26|2024-06-14_2024-06-28|2024-08-14_2024-08-28|2024-10-12_2024-10-26|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-06-13_2025-06-27|2025-09-11_2025-09-25
0.1,1,PPI m/m,Bad,18,11,7,61.1,38.9,1.57,2018-06-14_2018-06-28|2018-11-10_2018-11-24|2019-04-12_2019-04-26|2020-06-12_2020-06-26|2020-08-12_2020-08-26|2020-10-15_2020-10-29|2021-06-16_2021-06-30|2021-07-15_2021-07-29|2021-08-13_2021-08-27|2021-12-15_2021-12-29|2022-02-16_2022-03-02|2022-10-13_2022-10-27|2023-02-17_2023-03-03|2023-09-15_2023-09-29|2024-05-15_2024-05-29|2024-12-13_2024-12-27|2025-02-14_2025-02-28|2026-02-28_2026-03-14
0.1,1,PPI m/m,Neutral,26,9,17,34.6,65.4,0.53,2018-07-12_2018-07-26|2018-10-11_2018-10-25|2018-12-12_2018-12-26|2019-01-16_2019-01-30|2019-05-10_2019-05-24|2019-06-12_2019-06-26|2019-07-13_2019-07-27|2019-08-10_2019-08-24|2019-09-12_2019-09-26|2020-09-11_2020-09-25|2020-12-12_2020-12-26|2021-03-13_2021-03-27|2021-09-11_2021-09-25|2022-09-15_2022-09-29|2022-12-10_2022-12-24|2023-05-12_2023-05-26|2023-08-12_2023-08-26|2023-12-14_2023-12-28|2024-04-12_2024-04-26|2024-07-13_2024-07-27|2024-08-14_2024-08-28|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2025-06-13_2025-06-27|2025-11-26_2025-12-10|2026-01-15_2026-01-29
0.1,1,PPI m/m,Good,15,9,6,60.0,40.0,1.5,2019-02-15_2019-03-01|2019-10-09_2019-10-23|2019-12-13_2019-12-27|2020-03-13_2020-03-27|2020-05-14_2020-05-28|2020-07-11_2020-07-25|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2023-04-14_2023-04-28|2023-06-15_2023-06-29|2023-11-16_2023-11-30|2024-06-14_2024-06-28|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-09-11_2025-09-25
0.2,1,PPI m/m,Neutral,36,15,21,41.7,58.3,0.71,2018-06-14_2018-06-28|2018-07-12_2018-07-26|2018-10-11_2018-10-25|2018-12-12_2018-12-26|2019-01-16_2019-01-30|2019-02-15_2019-03-01|2019-05-10_2019-05-24|2019-06-12_2019-06-26|2019-07-13_2019-07-27|2019-08-10_2019-08-24|2019-09-12_2019-09-26|2019-12-13_2019-12-27|2020-09-11_2020-09-25|2020-10-15_2020-10-29|2020-12-12_2020-12-26|2021-03-13_2021-03-27|2021-09-11_2021-09-25|2022-09-15_2022-09-29|2022-10-13_2022-10-27|2022-12-10_2022-12-24|2023-05-12_2023-05-26|2023-06-15_2023-06-29|2023-08-12_2023-08-26|2023-12-14_2023-12-28|2024-04-12_2024-04-26|2024-05-15_2024-05-29|2024-07-13_2024-07-27|2024-08-14_2024-08-28|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2024-12-13_2024-12-27|2025-02-14_2025-02-28|2025-06-13_2025-06-27|2025-11-26_2025-12-10|2026-01-15_2026-01-29|2026-02-28_2026-03-14
0.2,1,PPI m/m,Bad,11,7,4,63.6,36.4,1.75,2018-11-10_2018-11-24|2019-04-12_2019-04-26|2020-06-12_2020-06-26|2020-08-12_2020-08-26|2021-06-16_2021-06-30|2021-07-15_2021-07-29|2021-08-13_2021-08-27|2021-12-15_2021-12-29|2022-02-16_2022-03-02|2023-02-17_2023-03-03|2023-09-15_2023-09-29
0.2,1,PPI m/m,Good,12,7,5,58.3,41.7,1.4,2019-10-09_2019-10-23|2020-03-13_2020-03-27|2020-05-14_2020-05-28|2020-07-11_2020-07-25|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2023-04-14_2023-04-28|2023-11-16_2023-11-30|2024-06-14_2024-06-28|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-09-11_2025-09-25
0.3,1,PPI m/m,Neutral,41,17,24,41.5,58.5,0.71,2018-06-14_2018-06-28|2018-07-12_2018-07-26|2018-10-11_2018-10-25|2018-12-12_2018-12-26|2019-01-16_2019-01-30|2019-02-15_2019-03-01|2019-04-12_2019-04-26|2019-05-10_2019-05-24|2019-06-12_2019-06-26|2019-07-13_2019-07-27|2019-08-10_2019-08-24|2019-09-12_2019-09-26|2019-12-13_2019-12-27|2020-08-12_2020-08-26|2020-09-11_2020-09-25|2020-10-15_2020-10-29|2020-12-12_2020-12-26|2021-03-13_2021-03-27|2021-09-11_2021-09-25|2022-09-15_2022-09-29|2022-10-13_2022-10-27|2022-12-10_2022-12-24|2023-02-17_2023-03-03|2023-05-12_2023-05-26|2023-06-15_2023-06-29|2023-08-12_2023-08-26|2023-09-15_2023-09-29|2023-12-14_2023-12-28|2024-04-12_2024-04-26|2024-05-15_2024-05-29|2024-07-13_2024-07-27|2024-08-14_2024-08-28|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2024-12-13_2024-12-27|2025-02-14_2025-02-28|2025-03-14_2025-03-28|2025-06-13_2025-06-27|2025-11-26_2025-12-10|2026-01-15_2026-01-29|2026-02-28_2026-03-14
0.3,1,PPI m/m,Bad,7,5,2,71.4,28.6,2.5,2018-11-10_2018-11-24|2020-06-12_2020-06-26|2021-06-16_2021-06-30|2021-07-15_2021-07-29|2021-08-13_2021-08-27|2021-12-15_2021-12-29|2022-02-16_2022-03-02
0.3,1,PPI m/m,Good,11,7,4,63.6,36.4,1.75,2019-10-09_2019-10-23|2020-03-13_2020-03-27|2020-05-14_2020-05-28|2020-07-11_2020-07-25|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2023-04-14_2023-04-28|2023-11-16_2023-11-30|2024-06-14_2024-06-28|2025-04-12_2025-04-26|2025-09-11_2025-09-25
