آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,9,3,6,33.3,66.7,0.5,2018-03-14_2018-03-28|2019-04-11_2019-04-25|2019-11-14_2019-11-28|2020-06-11_2020-06-25|2020-10-14_2020-10-28|2023-08-11_2023-08-25|2024-02-14_2024-02-28|2024-12-12_2024-12-26|2026-02-14_2026-02-28
0.0,1,PPI m/m,Good,9,4,5,44.4,55.6,0.8,2023-04-13_2023-04-27|2023-07-13_2023-07-27|2023-11-15_2023-11-29|2024-01-12_2024-01-26|2024-06-13_2024-06-27|2024-10-11_2024-10-25|2025-05-14_2025-05-28|2025-06-12_2025-06-26|2025-07-16_2025-07-30
0.0,1,PPI m/m,Neutral,2,2,0,100.0,0.0,inf,2023-12-13_2023-12-27|2026-01-14_2026-01-28
0.1,1,PPI m/m,Neutral,7,3,4,42.9,57.1,0.75,2018-03-14_2018-03-28|2023-07-13_2023-07-27|2023-08-11_2023-08-25|2023-12-13_2023-12-27|2024-10-11_2024-10-25|2025-06-12_2025-06-26|2026-01-14_2026-01-28
0.1,1,PPI m/m,Bad,7,3,4,42.9,57.1,0.75,2019-04-11_2019-04-25|2019-11-14_2019-11-28|2020-06-11_2020-06-25|2020-10-14_2020-10-28|2024-02-14_2024-02-28|2024-12-12_2024-12-26|2026-02-14_2026-02-28
0.1,1,PPI m/m,Good,6,3,3,50.0,50.0,1.0,2023-04-13_2023-04-27|2023-11-15_2023-11-29|2024-01-12_2024-01-26|2024-06-13_2024-06-27|2025-05-14_2025-05-28|2025-07-16_2025-07-30
0.2,1,PPI m/m,Neutral,14,7,7,50.0,50.0,1.0,2018-03-14_2018-03-28|2019-11-14_2019-11-28|2020-10-14_2020-10-28|2023-07-13_2023-07-27|2023-08-11_2023-08-25|2023-12-13_2023-12-27|2024-01-12_2024-01-26|2024-02-14_2024-02-28|2024-10-11_2024-10-25|2024-12-12_2024-12-26|2025-06-12_2025-06-26|2025-07-16_2025-07-30|2026-01-14_2026-01-28|2026-02-14_2026-02-28
0.2,1,PPI m/m,Bad,2,0,2,0.0,100.0,0.0,2019-04-11_2019-04-25|2020-06-11_2020-06-25
0.2,1,PPI m/m,Good,4,2,2,50.0,50.0,1.0,2023-04-13_2023-04-27|2023-11-15_2023-11-29|2024-06-13_2024-06-27|2025-05-14_2025-05-28
0.3,1,PPI m/m,Neutral,15,7,8,46.7,53.3,0.87,2018-03-14_2018-03-28|2019-04-11_2019-04-25|2019-11-14_2019-11-28|2020-10-14_2020-10-28|2023-07-13_2023-07-27|2023-08-11_2023-08-25|2023-12-13_2023-12-27|2024-01-12_2024-01-26|2024-02-14_2024-02-28|2024-10-11_2024-10-25|2024-12-12_2024-12-26|2025-06-12_2025-06-26|2025-07-16_2025-07-30|2026-01-14_2026-01-28|2026-02-14_2026-02-28
0.3,1,PPI m/m,Bad,1,0,1,0.0,100.0,0.0,2020-06-11_2020-06-25
