آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,5,4,1,80.0,20.0,4.0,2018-04-26_2018-05-10|2018-10-08_2018-10-22|2024-07-08_2024-07-22|2025-04-04_2025-04-18|2025-10-16_2025-10-30
0.0,1,CPI m/m,Neutral,5,2,3,40.0,60.0,0.67,2019-06-05_2019-06-19|2022-03-06_2022-03-20|2022-12-31_2023-01-14|2023-07-29_2023-08-12|2024-09-06_2024-09-20
0.0,1,CPI m/m,Bad,5,2,3,40.0,60.0,0.67,2020-11-26_2020-12-10|2021-04-10_2021-04-24|2021-11-06_2021-11-20|2022-09-02_2022-09-16|2024-10-06_2024-10-20
0.1,1,CPI m/m,Neutral,10,4,6,40.0,60.0,0.67,2018-04-26_2018-05-10|2018-10-08_2018-10-22|2019-06-05_2019-06-19|2020-11-26_2020-12-10|2021-04-10_2021-04-24|2022-03-06_2022-03-20|2022-12-31_2023-01-14|2023-07-29_2023-08-12|2024-09-06_2024-09-20|2024-10-06_2024-10-20
0.1,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-11-06_2021-11-20|2022-09-02_2022-09-16
0.1,1,CPI m/m,Good,3,2,1,66.7,33.3,2.0,2024-07-08_2024-07-22|2025-04-04_2025-04-18|2025-10-16_2025-10-30
0.2,1,CPI m/m,Neutral,14,7,7,50.0,50.0,1.0,2018-04-26_2018-05-10|2018-10-08_2018-10-22|2019-06-05_2019-06-19|2020-11-26_2020-12-10|2021-04-10_2021-04-24|2022-03-06_2022-03-20|2022-09-02_2022-09-16|2022-12-31_2023-01-14|2023-07-29_2023-08-12|2024-07-08_2024-07-22|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2025-04-04_2025-04-18|2025-10-16_2025-10-30
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-11-06_2021-11-20
0.3,1,CPI m/m,Neutral,14,7,7,50.0,50.0,1.0,2018-04-26_2018-05-10|2018-10-08_2018-10-22|2019-06-05_2019-06-19|2020-11-26_2020-12-10|2021-04-10_2021-04-24|2022-03-06_2022-03-20|2022-09-02_2022-09-16|2022-12-31_2023-01-14|2023-07-29_2023-08-12|2024-07-08_2024-07-22|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2025-04-04_2025-04-18|2025-10-16_2025-10-30
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-11-06_2021-11-20
0.0,1,Core CPI m/m,Good,6,4,2,66.7,33.3,2.0,2018-04-26_2018-05-10|2018-10-08_2018-10-22|2019-06-05_2019-06-19|2024-07-08_2024-07-22|2025-04-04_2025-04-18|2025-10-16_2025-10-30
0.0,1,Core CPI m/m,Bad,6,3,3,50.0,50.0,1.0,2020-11-26_2020-12-10|2021-04-10_2021-04-24|2021-11-06_2021-11-20|2022-09-02_2022-09-16|2024-09-06_2024-09-20|2024-10-06_2024-10-20
0.0,1,Core CPI m/m,Neutral,3,1,2,33.3,66.7,0.5,2022-03-06_2022-03-20|2022-12-31_2023-01-14|2023-07-29_2023-08-12
0.1,1,Core CPI m/m,Neutral,12,5,7,41.7,58.3,0.71,2018-04-26_2018-05-10|2018-10-08_2018-10-22|2019-06-05_2019-06-19|2020-11-26_2020-12-10|2021-04-10_2021-04-24|2022-03-06_2022-03-20|2022-12-31_2023-01-14|2023-07-29_2023-08-12|2024-07-08_2024-07-22|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2025-10-16_2025-10-30
0.1,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-11-06_2021-11-20|2022-09-02_2022-09-16
0.1,1,Core CPI m/m,Good,1,1,0,100.0,0.0,inf,2025-04-04_2025-04-18
0.2,1,Core CPI m/m,Neutral,14,7,7,50.0,50.0,1.0,2018-04-26_2018-05-10|2018-10-08_2018-10-22|2019-06-05_2019-06-19|2020-11-26_2020-12-10|2021-04-10_2021-04-24|2021-11-06_2021-11-20|2022-03-06_2022-03-20|2022-12-31_2023-01-14|2023-07-29_2023-08-12|2024-07-08_2024-07-22|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2025-04-04_2025-04-18|2025-10-16_2025-10-30
0.2,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-09-02_2022-09-16
0.3,1,Core CPI m/m,Neutral,15,8,7,53.3,46.7,1.14,2018-04-26_2018-05-10|2018-10-08_2018-10-22|2019-06-05_2019-06-19|2020-11-26_2020-12-10|2021-04-10_2021-04-24|2021-11-06_2021-11-20|2022-03-06_2022-03-20|2022-09-02_2022-09-16|2022-12-31_2023-01-14|2023-07-29_2023-08-12|2024-07-08_2024-07-22|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2025-04-04_2025-04-18|2025-10-16_2025-10-30
0.0,1,PPI m/m,Good,5,4,1,80.0,20.0,4.0,2018-04-26_2018-05-10|2020-06-29_2020-07-13|2022-03-06_2022-03-20|2024-10-06_2024-10-20|2025-04-04_2025-04-18
0.0,1,PPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2018-10-08_2018-10-22|2019-06-05_2019-06-19|2021-11-06_2021-11-20|2022-09-02_2022-09-16
0.0,1,PPI m/m,Bad,6,4,2,66.7,33.3,2.0,2021-03-26_2021-04-09|2023-07-29_2023-08-12|2023-09-27_2023-10-11|2024-07-08_2024-07-22|2024-09-06_2024-09-20|2026-01-29_2026-02-12
0.1,1,PPI m/m,Neutral,9,6,3,66.7,33.3,2.0,2018-04-26_2018-05-10|2018-10-08_2018-10-22|2019-06-05_2019-06-19|2021-11-06_2021-11-20|2022-09-02_2022-09-16|2023-07-29_2023-08-12|2024-07-08_2024-07-22|2024-09-06_2024-09-20|2024-10-06_2024-10-20
0.1,1,PPI m/m,Good,3,3,0,100.0,0.0,inf,2020-06-29_2020-07-13|2022-03-06_2022-03-20|2025-04-04_2025-04-18
0.1,1,PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-03-26_2021-04-09|2023-09-27_2023-10-11|2026-01-29_2026-02-12
