آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,ماه‌ها
0.0,1,CPI m/m,Good,3,3,0,100.0,0.0,inf,2018-07|2023-06|2024-07
0.0,1,CPI m/m,Neutral,7,5,2,71.4,28.6,2.5,2018-11|2020-01|2021-02|2023-05|2023-08|2023-09|2024-08
0.0,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2019-07
0.1,1,CPI m/m,Neutral,10,8,2,80.0,20.0,4.0,2018-07|2018-11|2019-07|2020-01|2021-02|2023-05|2023-06|2023-08|2023-09|2024-08
0.1,1,CPI m/m,Good,1,1,0,100.0,0.0,inf,2024-07
0.2,1,CPI m/m,Neutral,11,9,2,81.8,18.2,4.5,2018-07|2018-11|2019-07|2020-01|2021-02|2023-05|2023-06|2023-08|2023-09|2024-07|2024-08
0.3,1,CPI m/m,Neutral,11,9,2,81.8,18.2,4.5,2018-07|2018-11|2019-07|2020-01|2021-02|2023-05|2023-06|2023-08|2023-09|2024-07|2024-08
0.0,1,Core CPI m/m,Neutral,5,4,1,80.0,20.0,4.0,2018-07|2018-11|2023-06|2023-08|2024-08
0.0,1,Core CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2019-07|2023-05|2023-09
0.0,1,Core CPI m/m,Good,3,3,0,100.0,0.0,inf,2020-01|2021-02|2024-07
0.1,1,Core CPI m/m,Neutral,9,8,1,88.9,11.1,8.0,2018-07|2018-11|2019-07|2020-01|2023-06|2023-08|2023-09|2024-07|2024-08
0.1,1,Core CPI m/m,Good,1,1,0,100.0,0.0,inf,2021-02
0.1,1,Core CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2023-05
0.2,1,Core CPI m/m,Neutral,11,9,2,81.8,18.2,4.5,2018-07|2018-11|2019-07|2020-01|2021-02|2023-05|2023-06|2023-08|2023-09|2024-07|2024-08
0.3,1,Core CPI m/m,Neutral,11,9,2,81.8,18.2,4.5,2018-07|2018-11|2019-07|2020-01|2021-02|2023-05|2023-06|2023-08|2023-09|2024-07|2024-08
0.0,1,PPI m/m,Bad,6,5,1,83.3,16.7,5.0,2018-07|2018-11|2021-02|2023-08|2023-09|2024-07
0.0,1,PPI m/m,Neutral,1,1,0,100.0,0.0,inf,2019-07
0.0,1,PPI m/m,Good,4,3,1,75.0,25.0,3.0,2020-01|2023-05|2023-06|2024-08
0.1,1,PPI m/m,Neutral,7,5,2,71.4,28.6,2.5,2018-07|2019-07|2020-01|2023-05|2023-08|2024-07|2024-08
0.1,1,PPI m/m,Bad,3,3,0,100.0,0.0,inf,2018-11|2021-02|2023-09
