آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Bad,7,5,2,71.4,28.6,2.5,2018-07-12_2018-08-10|2019-04-12_2019-05-11|2019-07-13_2019-08-11|2020-08-12_2020-09-10|2020-09-11_2020-10-10|2020-10-15_2020-11-13|2023-08-12_2023-09-10
0.0,1,Core PPI m/m,Good,15,11,4,73.3,26.7,2.75,2018-08-10_2018-09-08|2019-03-14_2019-04-12|2019-10-09_2019-11-07|2019-12-13_2020-01-11|2020-05-14_2020-06-12|2020-11-14_2020-12-13|2020-12-12_2021-01-10|2022-05-13_2022-06-11|2023-03-16_2023-04-14|2023-07-14_2023-08-12|2024-06-14_2024-07-13|2025-01-15_2025-02-13|2025-03-14_2025-04-12|2025-07-17_2025-08-15|2025-09-11_2025-10-10
0.0,1,Core PPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2018-10-11_2018-11-09|2021-01-16_2021-02-14|2021-03-13_2021-04-11|2023-01-19_2023-02-17
0.1,1,Core PPI m/m,Neutral,13,9,4,69.2,30.8,2.25,2018-07-12_2018-08-10|2018-08-10_2018-09-08|2018-10-11_2018-11-09|2019-03-14_2019-04-12|2019-04-12_2019-05-11|2019-07-13_2019-08-11|2020-11-14_2020-12-13|2020-12-12_2021-01-10|2021-01-16_2021-02-14|2021-03-13_2021-04-11|2023-01-19_2023-02-17|2023-07-14_2023-08-12|2023-08-12_2023-09-10
0.1,1,Core PPI m/m,Good,10,8,2,80.0,20.0,4.0,2019-10-09_2019-11-07|2019-12-13_2020-01-11|2020-05-14_2020-06-12|2022-05-13_2022-06-11|2023-03-16_2023-04-14|2024-06-14_2024-07-13|2025-01-15_2025-02-13|2025-03-14_2025-04-12|2025-07-17_2025-08-15|2025-09-11_2025-10-10
0.1,1,Core PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2020-08-12_2020-09-10|2020-09-11_2020-10-10|2020-10-15_2020-11-13
0.2,1,Core PPI m/m,Neutral,19,12,7,63.2,36.8,1.71,2018-07-12_2018-08-10|2018-08-10_2018-09-08|2018-10-11_2018-11-09|2019-03-14_2019-04-12|2019-04-12_2019-05-11|2019-07-13_2019-08-11|2020-05-14_2020-06-12|2020-09-11_2020-10-10|2020-10-15_2020-11-13|2020-11-14_2020-12-13|2020-12-12_2021-01-10|2021-01-16_2021-02-14|2021-03-13_2021-04-11|2022-05-13_2022-06-11|2023-01-19_2023-02-17|2023-07-14_2023-08-12|2023-08-12_2023-09-10|2025-01-15_2025-02-13|2025-07-17_2025-08-15
0.2,1,Core PPI m/m,Good,6,6,0,100.0,0.0,inf,2019-10-09_2019-11-07|2019-12-13_2020-01-11|2023-03-16_2023-04-14|2024-06-14_2024-07-13|2025-03-14_2025-04-12|2025-09-11_2025-10-10
0.2,1,Core PPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-09-10
0.3,1,Core PPI m/m,Neutral,20,13,7,65.0,35.0,1.86,2018-07-12_2018-08-10|2018-08-10_2018-09-08|2018-10-11_2018-11-09|2019-03-14_2019-04-12|2019-04-12_2019-05-11|2019-07-13_2019-08-11|2020-05-14_2020-06-12|2020-09-11_2020-10-10|2020-10-15_2020-11-13|2020-11-14_2020-12-13|2020-12-12_2021-01-10|2021-01-16_2021-02-14|2021-03-13_2021-04-11|2022-05-13_2022-06-11|2023-01-19_2023-02-17|2023-07-14_2023-08-12|2023-08-12_2023-09-10|2024-06-14_2024-07-13|2025-01-15_2025-02-13|2025-07-17_2025-08-15
0.3,1,Core PPI m/m,Good,5,5,0,100.0,0.0,inf,2019-10-09_2019-11-07|2019-12-13_2020-01-11|2023-03-16_2023-04-14|2025-03-14_2025-04-12|2025-09-11_2025-10-10
0.3,1,Core PPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-09-10
