آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,FOMC,Neutral,16,11,5,68.8,31.2,2.2,2018-07-27_2018-07-31|2018-11-03_2018-11-07|2019-04-26_2019-04-30|2020-01-24_2020-01-28|2020-06-05_2020-06-09|2020-09-11_2020-09-15|2020-10-31_2020-11-04|2020-12-11_2020-12-15|2021-01-22_2021-01-26|2021-03-12_2021-03-16|2021-04-23_2021-04-27|2023-09-15_2023-09-19|2024-07-26_2024-07-30|2025-01-24_2025-01-28|2025-03-14_2025-03-18|2025-07-25_2025-07-29
0.0,1,FOMC,Bad,5,4,1,80.0,20.0,4.0,2018-09-21_2018-09-25|2022-06-10_2022-06-14|2023-03-17_2023-03-21|2023-04-28_2023-05-02|2023-07-21_2023-07-25
0.0,1,FOMC,Good,4,3,1,75.0,25.0,3.0,2019-09-13_2019-09-17|2019-10-25_2019-10-29|2025-10-24_2025-10-28|2025-12-05_2025-12-09
0.1,1,FOMC,Neutral,16,11,5,68.8,31.2,2.2,2018-07-27_2018-07-31|2018-11-03_2018-11-07|2019-04-26_2019-04-30|2020-01-24_2020-01-28|2020-06-05_2020-06-09|2020-09-11_2020-09-15|2020-10-31_2020-11-04|2020-12-11_2020-12-15|2021-01-22_2021-01-26|2021-03-12_2021-03-16|2021-04-23_2021-04-27|2023-09-15_2023-09-19|2024-07-26_2024-07-30|2025-01-24_2025-01-28|2025-03-14_2025-03-18|2025-07-25_2025-07-29
0.1,1,FOMC,Bad,5,4,1,80.0,20.0,4.0,2018-09-21_2018-09-25|2022-06-10_2022-06-14|2023-03-17_2023-03-21|2023-04-28_2023-05-02|2023-07-21_2023-07-25
0.1,1,FOMC,Good,4,3,1,75.0,25.0,3.0,2019-09-13_2019-09-17|2019-10-25_2019-10-29|2025-10-24_2025-10-28|2025-12-05_2025-12-09
0.2,1,FOMC,Neutral,16,11,5,68.8,31.2,2.2,2018-07-27_2018-07-31|2018-11-03_2018-11-07|2019-04-26_2019-04-30|2020-01-24_2020-01-28|2020-06-05_2020-06-09|2020-09-11_2020-09-15|2020-10-31_2020-11-04|2020-12-11_2020-12-15|2021-01-22_2021-01-26|2021-03-12_2021-03-16|2021-04-23_2021-04-27|2023-09-15_2023-09-19|2024-07-26_2024-07-30|2025-01-24_2025-01-28|2025-03-14_2025-03-18|2025-07-25_2025-07-29
0.2,1,FOMC,Bad,5,4,1,80.0,20.0,4.0,2018-09-21_2018-09-25|2022-06-10_2022-06-14|2023-03-17_2023-03-21|2023-04-28_2023-05-02|2023-07-21_2023-07-25
0.2,1,FOMC,Good,4,3,1,75.0,25.0,3.0,2019-09-13_2019-09-17|2019-10-25_2019-10-29|2025-10-24_2025-10-28|2025-12-05_2025-12-09
0.3,1,FOMC,Neutral,24,18,6,75.0,25.0,3.0,2018-07-27_2018-07-31|2018-09-21_2018-09-25|2018-11-03_2018-11-07|2019-04-26_2019-04-30|2019-09-13_2019-09-17|2019-10-25_2019-10-29|2020-01-24_2020-01-28|2020-06-05_2020-06-09|2020-09-11_2020-09-15|2020-10-31_2020-11-04|2020-12-11_2020-12-15|2021-01-22_2021-01-26|2021-03-12_2021-03-16|2021-04-23_2021-04-27|2023-03-17_2023-03-21|2023-04-28_2023-05-02|2023-07-21_2023-07-25|2023-09-15_2023-09-19|2024-07-26_2024-07-30|2025-01-24_2025-01-28|2025-03-14_2025-03-18|2025-07-25_2025-07-29|2025-10-24_2025-10-28|2025-12-05_2025-12-09
0.3,1,FOMC,Bad,1,0,1,0.0,100.0,0.0,2022-06-10_2022-06-14
