آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Good,26,21,5,80.8,19.2,4.2,2018-01-12_2018-01-26|2018-05-10_2018-05-24|2018-08-10_2018-08-24|2019-01-16_2019-01-30|2019-02-15_2019-03-01|2019-03-14_2019-03-28|2019-10-09_2019-10-23|2019-12-13_2019-12-27|2020-03-13_2020-03-27|2020-05-14_2020-05-28|2021-01-16_2021-01-30|2022-03-16_2022-03-30|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2023-06-15_2023-06-29|2023-07-14_2023-07-28|2024-04-12_2024-04-26|2024-06-14_2024-06-28|2024-08-14_2024-08-28|2025-01-15_2025-01-29|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-09-11_2025-09-25
0.0,1,PPI m/m,Bad,19,11,8,57.9,42.1,1.38,2018-04-11_2018-04-25|2018-06-14_2018-06-28|2018-07-12_2018-07-26|2018-12-12_2018-12-26|2019-04-12_2019-04-26|2019-11-15_2019-11-29|2020-06-12_2020-06-26|2020-08-12_2020-08-26|2020-09-11_2020-09-25|2020-10-15_2020-10-29|2020-11-14_2020-11-28|2021-03-13_2021-03-27|2022-10-13_2022-10-27|2023-08-12_2023-08-26|2023-10-12_2023-10-26|2024-02-17_2024-03-02|2024-07-13_2024-07-27|2024-09-13_2024-09-27|2025-08-15_2025-08-29
0.0,1,PPI m/m,Neutral,9,5,4,55.6,44.4,1.25,2018-10-11_2018-10-25|2019-05-10_2019-05-24|2019-07-13_2019-07-27|2020-12-12_2020-12-26|2021-11-10_2021-11-24|2022-05-13_2022-05-27|2022-09-15_2022-09-29|2024-11-15_2024-11-29|2025-11-26_2025-12-10
0.1,1,PPI m/m,Good,19,16,3,84.2,15.8,5.33,2018-01-12_2018-01-26|2018-08-10_2018-08-24|2019-02-15_2019-03-01|2019-10-09_2019-10-23|2019-12-13_2019-12-27|2020-03-13_2020-03-27|2020-05-14_2020-05-28|2021-01-16_2021-01-30|2022-03-16_2022-03-30|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2023-06-15_2023-06-29|2024-06-14_2024-06-28|2025-01-15_2025-01-29|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-07-17_2025-07-31|2025-09-11_2025-09-25
0.1,1,PPI m/m,Bad,11,7,4,63.6,36.4,1.75,2018-04-11_2018-04-25|2018-06-14_2018-06-28|2019-04-12_2019-04-26|2019-11-15_2019-11-29|2020-06-12_2020-06-26|2020-08-12_2020-08-26|2020-10-15_2020-10-29|2022-10-13_2022-10-27|2023-10-12_2023-10-26|2024-02-17_2024-03-02|2025-08-15_2025-08-29
0.1,1,PPI m/m,Neutral,24,14,10,58.3,41.7,1.4,2018-05-10_2018-05-24|2018-07-12_2018-07-26|2018-10-11_2018-10-25|2018-12-12_2018-12-26|2019-01-16_2019-01-30|2019-03-14_2019-03-28|2019-05-10_2019-05-24|2019-07-13_2019-07-27|2020-09-11_2020-09-25|2020-11-14_2020-11-28|2020-12-12_2020-12-26|2021-03-13_2021-03-27|2021-11-10_2021-11-24|2022-05-13_2022-05-27|2022-09-15_2022-09-29|2023-07-14_2023-07-28|2023-08-12_2023-08-26|2024-04-12_2024-04-26|2024-07-13_2024-07-27|2024-08-14_2024-08-28|2024-09-13_2024-09-27|2024-11-15_2024-11-29|2025-06-13_2025-06-27|2025-11-26_2025-12-10
0.2,1,PPI m/m,Good,11,10,1,90.9,9.1,10.0,2018-01-12_2018-01-26|2019-10-09_2019-10-23|2020-03-13_2020-03-27|2020-05-14_2020-05-28|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2024-06-14_2024-06-28|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-09-11_2025-09-25
0.2,1,PPI m/m,Neutral,39,24,15,61.5,38.5,1.6,2018-04-11_2018-04-25|2018-05-10_2018-05-24|2018-06-14_2018-06-28|2018-07-12_2018-07-26|2018-08-10_2018-08-24|2018-10-11_2018-10-25|2018-12-12_2018-12-26|2019-01-16_2019-01-30|2019-02-15_2019-03-01|2019-03-14_2019-03-28|2019-05-10_2019-05-24|2019-07-13_2019-07-27|2019-11-15_2019-11-29|2019-12-13_2019-12-27|2020-09-11_2020-09-25|2020-10-15_2020-10-29|2020-11-14_2020-11-28|2020-12-12_2020-12-26|2021-01-16_2021-01-30|2021-03-13_2021-03-27|2021-11-10_2021-11-24|2022-03-16_2022-03-30|2022-05-13_2022-05-27|2022-09-15_2022-09-29|2022-10-13_2022-10-27|2023-06-15_2023-06-29|2023-07-14_2023-07-28|2023-08-12_2023-08-26|2023-10-12_2023-10-26|2024-02-17_2024-03-02|2024-04-12_2024-04-26|2024-07-13_2024-07-27|2024-08-14_2024-08-28|2024-09-13_2024-09-27|2024-11-15_2024-11-29|2025-01-15_2025-01-29|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-11-26_2025-12-10
0.2,1,PPI m/m,Bad,4,3,1,75.0,25.0,3.0,2019-04-12_2019-04-26|2020-06-12_2020-06-26|2020-08-12_2020-08-26|2025-08-15_2025-08-29
0.3,1,PPI m/m,Good,10,9,1,90.0,10.0,9.0,2018-01-12_2018-01-26|2019-10-09_2019-10-23|2020-03-13_2020-03-27|2020-05-14_2020-05-28|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2024-06-14_2024-06-28|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-09-11_2025-09-25
