آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core CPI m/m,Bad,12,5,7,41.7,58.3,0.71,2018-01-13_2018-01-22|2019-07-12_2019-07-21|2019-08-14_2019-08-23|2020-09-12_2020-09-21|2021-05-13_2021-05-22|2022-01-13_2022-01-22|2022-02-11_2022-02-20|2022-05-12_2022-05-21|2022-06-11_2022-06-20|2023-09-14_2023-09-23|2024-03-13_2024-03-22|2024-09-12_2024-09-21
0.0,1,Core CPI m/m,Good,9,6,3,66.7,33.3,2.0,2019-05-11_2019-05-20|2021-02-11_2021-02-20|2021-03-11_2021-03-20|2022-04-13_2022-04-22|2023-07-13_2023-07-22|2024-06-13_2024-06-22|2025-01-16_2025-01-25|2025-04-11_2025-04-20|2025-06-12_2025-06-21
0.0,1,Core CPI m/m,Neutral,8,6,2,75.0,25.0,3.0,2021-12-11_2021-12-20|2023-01-13_2023-01-22|2023-06-14_2023-06-23|2023-08-11_2023-08-20|2024-01-12_2024-01-21|2025-08-13_2025-08-22|2025-09-12_2025-09-21|2026-02-14_2026-02-23
0.1,1,Core CPI m/m,Neutral,21,12,9,57.1,42.9,1.33,2018-01-13_2018-01-22|2019-05-11_2019-05-20|2019-07-12_2019-07-21|2019-08-14_2019-08-23|2021-03-11_2021-03-20|2021-12-11_2021-12-20|2022-01-13_2022-01-22|2022-02-11_2022-02-20|2022-06-11_2022-06-20|2023-01-13_2023-01-22|2023-06-14_2023-06-23|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2024-01-12_2024-01-21|2024-06-13_2024-06-22|2024-09-12_2024-09-21|2025-01-16_2025-01-25|2025-08-13_2025-08-22|2025-09-12_2025-09-21|2026-02-14_2026-02-23
0.1,1,Core CPI m/m,Bad,4,2,2,50.0,50.0,1.0,2020-09-12_2020-09-21|2021-05-13_2021-05-22|2022-05-12_2022-05-21|2024-03-13_2024-03-22
0.1,1,Core CPI m/m,Good,4,3,1,75.0,25.0,3.0,2021-02-11_2021-02-20|2022-04-13_2022-04-22|2025-04-11_2025-04-20|2025-06-12_2025-06-21
0.2,1,Core CPI m/m,Neutral,28,16,12,57.1,42.9,1.33,2018-01-13_2018-01-22|2019-05-11_2019-05-20|2019-07-12_2019-07-21|2019-08-14_2019-08-23|2020-09-12_2020-09-21|2021-02-11_2021-02-20|2021-03-11_2021-03-20|2021-12-11_2021-12-20|2022-01-13_2022-01-22|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2022-05-12_2022-05-21|2022-06-11_2022-06-20|2023-01-13_2023-01-22|2023-06-14_2023-06-23|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2024-01-12_2024-01-21|2024-03-13_2024-03-22|2024-06-13_2024-06-22|2024-09-12_2024-09-21|2025-01-16_2025-01-25|2025-04-11_2025-04-20|2025-06-12_2025-06-21|2025-08-13_2025-08-22|2025-09-12_2025-09-21|2026-02-14_2026-02-23
0.2,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-05-13_2021-05-22
0.3,1,Core CPI m/m,Neutral,28,16,12,57.1,42.9,1.33,2018-01-13_2018-01-22|2019-05-11_2019-05-20|2019-07-12_2019-07-21|2019-08-14_2019-08-23|2020-09-12_2020-09-21|2021-02-11_2021-02-20|2021-03-11_2021-03-20|2021-12-11_2021-12-20|2022-01-13_2022-01-22|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2022-05-12_2022-05-21|2022-06-11_2022-06-20|2023-01-13_2023-01-22|2023-06-14_2023-06-23|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2024-01-12_2024-01-21|2024-03-13_2024-03-22|2024-06-13_2024-06-22|2024-09-12_2024-09-21|2025-01-16_2025-01-25|2025-04-11_2025-04-20|2025-06-12_2025-06-21|2025-08-13_2025-08-22|2025-09-12_2025-09-21|2026-02-14_2026-02-23
0.3,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-05-13_2021-05-22
