آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI y/y,Good,11,6,5,54.5,45.5,1.2,2019-05-11_2019-05-15|2019-06-13_2019-06-17|2019-09-13_2019-09-17|2020-06-11_2020-06-15|2022-12-14_2022-12-18|2023-05-11_2023-05-15|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-11-15_2023-11-19|2025-06-12_2025-06-16|2026-02-14_2026-02-18
0.0,1,CPI y/y,Neutral,5,5,0,100.0,0.0,inf,2019-07-12_2019-07-16|2021-02-11_2021-02-15|2024-09-12_2024-09-16|2025-01-16_2025-01-20|2026-01-14_2026-01-18
0.0,1,CPI y/y,Bad,7,6,1,85.7,14.3,6.0,2020-08-13_2020-08-17|2020-09-12_2020-09-16|2022-09-14_2022-09-18|2023-02-15_2023-02-19|2024-03-13_2024-03-17|2024-10-11_2024-10-15|2025-07-16_2025-07-20
0.1,1,CPI y/y,Good,7,5,2,71.4,28.6,2.5,2019-05-11_2019-05-15|2019-09-13_2019-09-17|2020-06-11_2020-06-15|2022-12-14_2022-12-18|2023-07-13_2023-07-17|2025-06-12_2025-06-16|2026-02-14_2026-02-18
0.1,1,CPI y/y,Neutral,9,6,3,66.7,33.3,2.0,2019-06-13_2019-06-17|2019-07-12_2019-07-16|2021-02-11_2021-02-15|2023-05-11_2023-05-15|2023-08-11_2023-08-15|2023-11-15_2023-11-19|2024-09-12_2024-09-16|2025-01-16_2025-01-20|2026-01-14_2026-01-18
0.1,1,CPI y/y,Bad,7,6,1,85.7,14.3,6.0,2020-08-13_2020-08-17|2020-09-12_2020-09-16|2022-09-14_2022-09-18|2023-02-15_2023-02-19|2024-03-13_2024-03-17|2024-10-11_2024-10-15|2025-07-16_2025-07-20
0.2,1,CPI y/y,Neutral,19,15,4,78.9,21.1,3.75,2019-05-11_2019-05-15|2019-06-13_2019-06-17|2019-07-12_2019-07-16|2019-09-13_2019-09-17|2020-06-11_2020-06-15|2020-09-12_2020-09-16|2021-02-11_2021-02-15|2023-05-11_2023-05-15|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-11-15_2023-11-19|2024-03-13_2024-03-17|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2025-01-16_2025-01-20|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2026-01-14_2026-01-18|2026-02-14_2026-02-18
0.2,1,CPI y/y,Bad,3,2,1,66.7,33.3,2.0,2020-08-13_2020-08-17|2022-09-14_2022-09-18|2023-02-15_2023-02-19
0.2,1,CPI y/y,Good,1,0,1,0.0,100.0,0.0,2022-12-14_2022-12-18
0.3,1,CPI y/y,Neutral,22,16,6,72.7,27.3,2.67,2019-05-11_2019-05-15|2019-06-13_2019-06-17|2019-07-12_2019-07-16|2019-09-13_2019-09-17|2020-06-11_2020-06-15|2020-09-12_2020-09-16|2021-02-11_2021-02-15|2022-09-14_2022-09-18|2022-12-14_2022-12-18|2023-02-15_2023-02-19|2023-05-11_2023-05-15|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-11-15_2023-11-19|2024-03-13_2024-03-17|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2025-01-16_2025-01-20|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2026-01-14_2026-01-18|2026-02-14_2026-02-18
0.3,1,CPI y/y,Bad,1,1,0,100.0,0.0,inf,2020-08-13_2020-08-17
