آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,FOMC,Neutral,15,12,3,80.0,20.0,4.0,2019-06-14_2019-06-18|2020-07-24_2020-07-28|2020-09-11_2020-09-15|2020-10-31_2020-11-04|2021-03-12_2021-03-16|2023-06-09_2023-06-13|2023-09-15_2023-09-19|2023-12-08_2023-12-12|2024-04-26_2024-04-30|2025-03-14_2025-03-18|2025-06-13_2025-06-17|2025-07-25_2025-07-29|2026-01-23_2026-01-27|2026-03-13_2026-03-17|2026-04-24_2026-04-28
0.0,1,FOMC,Good,4,4,0,100.0,0.0,inf,2019-07-26_2019-07-30|2019-10-25_2019-10-29|2024-09-13_2024-09-17|2024-11-02_2024-11-06
0.0,1,FOMC,Bad,4,1,3,25.0,75.0,0.33,2022-10-28_2022-11-01|2023-01-27_2023-01-31|2023-03-17_2023-03-21|2023-07-21_2023-07-25
0.1,1,FOMC,Neutral,15,12,3,80.0,20.0,4.0,2019-06-14_2019-06-18|2020-07-24_2020-07-28|2020-09-11_2020-09-15|2020-10-31_2020-11-04|2021-03-12_2021-03-16|2023-06-09_2023-06-13|2023-09-15_2023-09-19|2023-12-08_2023-12-12|2024-04-26_2024-04-30|2025-03-14_2025-03-18|2025-06-13_2025-06-17|2025-07-25_2025-07-29|2026-01-23_2026-01-27|2026-03-13_2026-03-17|2026-04-24_2026-04-28
0.1,1,FOMC,Good,4,4,0,100.0,0.0,inf,2019-07-26_2019-07-30|2019-10-25_2019-10-29|2024-09-13_2024-09-17|2024-11-02_2024-11-06
0.1,1,FOMC,Bad,4,1,3,25.0,75.0,0.33,2022-10-28_2022-11-01|2023-01-27_2023-01-31|2023-03-17_2023-03-21|2023-07-21_2023-07-25
0.2,1,FOMC,Neutral,15,12,3,80.0,20.0,4.0,2019-06-14_2019-06-18|2020-07-24_2020-07-28|2020-09-11_2020-09-15|2020-10-31_2020-11-04|2021-03-12_2021-03-16|2023-06-09_2023-06-13|2023-09-15_2023-09-19|2023-12-08_2023-12-12|2024-04-26_2024-04-30|2025-03-14_2025-03-18|2025-06-13_2025-06-17|2025-07-25_2025-07-29|2026-01-23_2026-01-27|2026-03-13_2026-03-17|2026-04-24_2026-04-28
0.2,1,FOMC,Good,4,4,0,100.0,0.0,inf,2019-07-26_2019-07-30|2019-10-25_2019-10-29|2024-09-13_2024-09-17|2024-11-02_2024-11-06
0.2,1,FOMC,Bad,4,1,3,25.0,75.0,0.33,2022-10-28_2022-11-01|2023-01-27_2023-01-31|2023-03-17_2023-03-21|2023-07-21_2023-07-25
0.3,1,FOMC,Neutral,21,15,6,71.4,28.6,2.5,2019-06-14_2019-06-18|2019-07-26_2019-07-30|2019-10-25_2019-10-29|2020-07-24_2020-07-28|2020-09-11_2020-09-15|2020-10-31_2020-11-04|2021-03-12_2021-03-16|2023-01-27_2023-01-31|2023-03-17_2023-03-21|2023-06-09_2023-06-13|2023-07-21_2023-07-25|2023-09-15_2023-09-19|2023-12-08_2023-12-12|2024-04-26_2024-04-30|2024-11-02_2024-11-06|2025-03-14_2025-03-18|2025-06-13_2025-06-17|2025-07-25_2025-07-29|2026-01-23_2026-01-27|2026-03-13_2026-03-17|2026-04-24_2026-04-28
0.3,1,FOMC,Bad,1,1,0,100.0,0.0,inf,2022-10-28_2022-11-01
0.3,1,FOMC,Good,1,1,0,100.0,0.0,inf,2024-09-13_2024-09-17
