آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2021-11-10_2021-11-24|2022-09-15_2022-09-29|2025-11-26_2025-12-10
0.0,1,PPI m/m,Bad,5,3,2,60.0,40.0,1.5,2023-02-17_2023-03-03|2024-05-15_2024-05-29|2024-09-13_2024-09-27|2024-12-13_2024-12-27|2025-08-15_2025-08-29
0.0,1,PPI m/m,Good,4,3,1,75.0,25.0,3.0,2023-05-12_2023-05-26|2023-07-14_2023-07-28|2024-01-13_2024-01-27|2024-06-14_2024-06-28
0.1,1,PPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2021-11-10_2021-11-24|2022-09-15_2022-09-29|2023-05-12_2023-05-26|2023-07-14_2023-07-28|2024-09-13_2024-09-27|2025-11-26_2025-12-10
0.1,1,PPI m/m,Bad,4,2,2,50.0,50.0,1.0,2023-02-17_2023-03-03|2024-05-15_2024-05-29|2024-12-13_2024-12-27|2025-08-15_2025-08-29
0.1,1,PPI m/m,Good,2,2,0,100.0,0.0,inf,2024-01-13_2024-01-27|2024-06-14_2024-06-28
0.2,1,PPI m/m,Neutral,9,6,3,66.7,33.3,2.0,2021-11-10_2021-11-24|2022-09-15_2022-09-29|2023-05-12_2023-05-26|2023-07-14_2023-07-28|2024-01-13_2024-01-27|2024-05-15_2024-05-29|2024-09-13_2024-09-27|2024-12-13_2024-12-27|2025-11-26_2025-12-10
0.2,1,PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2023-02-17_2023-03-03|2025-08-15_2025-08-29
0.2,1,PPI m/m,Good,1,1,0,100.0,0.0,inf,2024-06-14_2024-06-28
0.3,1,PPI m/m,Neutral,10,6,4,60.0,40.0,1.5,2021-11-10_2021-11-24|2022-09-15_2022-09-29|2023-02-17_2023-03-03|2023-05-12_2023-05-26|2023-07-14_2023-07-28|2024-01-13_2024-01-27|2024-05-15_2024-05-29|2024-09-13_2024-09-27|2024-12-13_2024-12-27|2025-11-26_2025-12-10
0.3,1,PPI m/m,Good,1,1,0,100.0,0.0,inf,2024-06-14_2024-06-28
0.3,1,PPI m/m,Bad,1,1,0,100.0,0.0,inf,2025-08-15_2025-08-29
