آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI y/y,Neutral,9,7,2,77.8,22.2,3.5,2018-06-13_2018-07-12|2018-07-13_2018-08-11|2018-11-15_2018-12-14|2018-12-13_2019-01-11|2019-01-12_2019-02-10|2020-07-15_2020-08-13|2021-01-14_2021-02-12|2024-12-12_2025-01-10|2025-09-12_2025-10-11
0.0,1,CPI y/y,Good,10,7,3,70.0,30.0,2.33,2018-10-12_2018-11-10|2019-06-13_2019-07-12|2023-05-11_2023-06-09|2023-06-14_2023-07-13|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2024-07-12_2024-08-10|2024-08-15_2024-09-13|2025-12-19_2026-01-17|2026-02-14_2026-03-15
0.0,1,CPI y/y,Bad,5,4,1,80.0,20.0,4.0,2019-02-14_2019-03-15|2019-12-12_2020-01-10|2020-03-12_2020-04-10|2023-09-14_2023-10-13|2024-10-11_2024-11-09
0.1,1,CPI y/y,Neutral,14,10,4,71.4,28.6,2.5,2018-06-13_2018-07-12|2018-07-13_2018-08-11|2018-11-15_2018-12-14|2018-12-13_2019-01-11|2019-01-12_2019-02-10|2019-06-13_2019-07-12|2020-03-12_2020-04-10|2020-07-15_2020-08-13|2021-01-14_2021-02-12|2023-05-11_2023-06-09|2023-06-14_2023-07-13|2023-08-11_2023-09-09|2024-12-12_2025-01-10|2025-09-12_2025-10-11
0.1,1,CPI y/y,Good,6,5,1,83.3,16.7,5.0,2018-10-12_2018-11-10|2023-07-13_2023-08-11|2024-07-12_2024-08-10|2024-08-15_2024-09-13|2025-12-19_2026-01-17|2026-02-14_2026-03-15
0.1,1,CPI y/y,Bad,4,3,1,75.0,25.0,3.0,2019-02-14_2019-03-15|2019-12-12_2020-01-10|2023-09-14_2023-10-13|2024-10-11_2024-11-09
0.2,1,CPI y/y,Neutral,23,17,6,73.9,26.1,2.83,2018-06-13_2018-07-12|2018-07-13_2018-08-11|2018-10-12_2018-11-10|2018-11-15_2018-12-14|2018-12-13_2019-01-11|2019-01-12_2019-02-10|2019-02-14_2019-03-15|2019-06-13_2019-07-12|2019-12-12_2020-01-10|2020-03-12_2020-04-10|2020-07-15_2020-08-13|2021-01-14_2021-02-12|2023-05-11_2023-06-09|2023-06-14_2023-07-13|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2023-09-14_2023-10-13|2024-07-12_2024-08-10|2024-08-15_2024-09-13|2024-10-11_2024-11-09|2024-12-12_2025-01-10|2025-09-12_2025-10-11|2026-02-14_2026-03-15
0.2,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2025-12-19_2026-01-17
0.3,1,CPI y/y,Neutral,23,17,6,73.9,26.1,2.83,2018-06-13_2018-07-12|2018-07-13_2018-08-11|2018-10-12_2018-11-10|2018-11-15_2018-12-14|2018-12-13_2019-01-11|2019-01-12_2019-02-10|2019-02-14_2019-03-15|2019-06-13_2019-07-12|2019-12-12_2020-01-10|2020-03-12_2020-04-10|2020-07-15_2020-08-13|2021-01-14_2021-02-12|2023-05-11_2023-06-09|2023-06-14_2023-07-13|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2023-09-14_2023-10-13|2024-07-12_2024-08-10|2024-08-15_2024-09-13|2024-10-11_2024-11-09|2024-12-12_2025-01-10|2025-09-12_2025-10-11|2026-02-14_2026-03-15
0.3,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2025-12-19_2026-01-17
