آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,15,10,5,66.7,33.3,2.0,2021-10-14_2021-11-12|2021-11-11_2021-12-10|2022-09-14_2022-10-13|2022-10-14_2022-11-12|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-02-14_2024-03-14|2019-12-12_2020-01-10|2020-03-12_2020-04-10|2020-07-15_2020-08-13|2022-01-13_2022-02-11|2022-02-11_2022-03-12|2022-07-14_2022-08-12|2024-10-11_2024-11-09|2025-09-12_2025-10-11
0.0,1,CPI m/m,Neutral,17,13,4,76.5,23.5,3.25,2022-04-13_2022-05-12|2023-02-15_2023-03-16|2023-05-11_2023-06-09|2023-09-14_2023-10-13|2024-03-13_2024-04-11|2024-09-12_2024-10-11|2024-12-12_2025-01-10|2025-08-13_2025-09-11|2018-06-13_2018-07-12|2018-11-15_2018-12-14|2018-12-13_2019-01-11|2019-01-12_2019-02-10|2019-06-13_2019-07-12|2021-01-14_2021-02-12|2023-08-11_2023-09-09|2024-08-15_2024-09-13|2025-01-16_2025-02-14
0.0,1,CPI m/m,Good,17,11,6,64.7,35.3,1.83,2023-07-13_2023-08-11|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2025-06-12_2025-07-11|2025-10-25_2025-11-23|2026-02-14_2026-03-15|2018-05-11_2018-06-09|2018-07-13_2018-08-11|2018-09-14_2018-10-13|2018-10-12_2018-11-10|2019-02-14_2019-03-15|2020-05-13_2020-06-11|2020-06-11_2020-07-10|2022-12-14_2023-01-12|2023-06-14_2023-07-13|2024-07-12_2024-08-10|2025-04-11_2025-05-10
0.1,1,CPI m/m,Bad,7,4,3,57.1,42.9,1.33,2021-10-14_2021-11-12|2021-11-11_2021-12-10|2022-09-14_2022-10-13|2022-10-14_2022-11-12|2022-02-11_2022-03-12|2022-07-14_2022-08-12|2025-09-12_2025-10-11
0.1,1,CPI m/m,Neutral,36,27,9,75.0,25.0,3.0,2022-04-13_2022-05-12|2023-02-15_2023-03-16|2023-05-11_2023-06-09|2023-07-13_2023-08-11|2023-09-14_2023-10-13|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-02-14_2024-03-14|2024-03-13_2024-04-11|2024-06-13_2024-07-12|2024-09-12_2024-10-11|2024-12-12_2025-01-10|2025-06-12_2025-07-11|2025-08-13_2025-09-11|2026-02-14_2026-03-15|2018-05-11_2018-06-09|2018-06-13_2018-07-12|2018-07-13_2018-08-11|2018-09-14_2018-10-13|2018-10-12_2018-11-10|2018-11-15_2018-12-14|2018-12-13_2019-01-11|2019-01-12_2019-02-10|2019-02-14_2019-03-15|2019-06-13_2019-07-12|2019-12-12_2020-01-10|2020-03-12_2020-04-10|2020-06-11_2020-07-10|2020-07-15_2020-08-13|2021-01-14_2021-02-12|2022-01-13_2022-02-11|2023-06-14_2023-07-13|2023-08-11_2023-09-09|2024-08-15_2024-09-13|2024-10-11_2024-11-09|2025-01-16_2025-02-14
0.1,1,CPI m/m,Good,6,3,3,50.0,50.0,1.0,2024-05-16_2024-06-14|2025-10-25_2025-11-23|2020-05-13_2020-06-11|2022-12-14_2023-01-12|2024-07-12_2024-08-10|2025-04-11_2025-05-10
0.2,1,CPI m/m,Neutral,48,34,14,70.8,29.2,2.43,2021-10-14_2021-11-12|2022-04-13_2022-05-12|2022-09-14_2022-10-13|2022-10-14_2022-11-12|2023-02-15_2023-03-16|2023-05-11_2023-06-09|2023-07-13_2023-08-11|2023-09-14_2023-10-13|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-02-14_2024-03-14|2024-03-13_2024-04-11|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2024-09-12_2024-10-11|2024-12-12_2025-01-10|2025-06-12_2025-07-11|2025-08-13_2025-09-11|2025-10-25_2025-11-23|2026-02-14_2026-03-15|2018-05-11_2018-06-09|2018-06-13_2018-07-12|2018-07-13_2018-08-11|2018-09-14_2018-10-13|2018-10-12_2018-11-10|2018-11-15_2018-12-14|2018-12-13_2019-01-11|2019-01-12_2019-02-10|2019-02-14_2019-03-15|2019-06-13_2019-07-12|2019-12-12_2020-01-10|2020-03-12_2020-04-10|2020-05-13_2020-06-11|2020-06-11_2020-07-10|2020-07-15_2020-08-13|2021-01-14_2021-02-12|2022-01-13_2022-02-11|2022-02-11_2022-03-12|2022-07-14_2022-08-12|2022-12-14_2023-01-12|2023-06-14_2023-07-13|2023-08-11_2023-09-09|2024-07-12_2024-08-10|2024-08-15_2024-09-13|2024-10-11_2024-11-09|2025-01-16_2025-02-14|2025-04-11_2025-05-10|2025-09-12_2025-10-11
0.2,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2021-11-11_2021-12-10
0.3,1,CPI m/m,Neutral,48,34,14,70.8,29.2,2.43,2021-10-14_2021-11-12|2022-04-13_2022-05-12|2022-09-14_2022-10-13|2022-10-14_2022-11-12|2023-02-15_2023-03-16|2023-05-11_2023-06-09|2023-07-13_2023-08-11|2023-09-14_2023-10-13|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-02-14_2024-03-14|2024-03-13_2024-04-11|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2024-09-12_2024-10-11|2024-12-12_2025-01-10|2025-06-12_2025-07-11|2025-08-13_2025-09-11|2025-10-25_2025-11-23|2026-02-14_2026-03-15|2018-05-11_2018-06-09|2018-06-13_2018-07-12|2018-07-13_2018-08-11|2018-09-14_2018-10-13|2018-10-12_2018-11-10|2018-11-15_2018-12-14|2018-12-13_2019-01-11|2019-01-12_2019-02-10|2019-02-14_2019-03-15|2019-06-13_2019-07-12|2019-12-12_2020-01-10|2020-03-12_2020-04-10|2020-05-13_2020-06-11|2020-06-11_2020-07-10|2020-07-15_2020-08-13|2021-01-14_2021-02-12|2022-01-13_2022-02-11|2022-02-11_2022-03-12|2022-07-14_2022-08-12|2022-12-14_2023-01-12|2023-06-14_2023-07-13|2023-08-11_2023-09-09|2024-07-12_2024-08-10|2024-08-15_2024-09-13|2024-10-11_2024-11-09|2025-01-16_2025-02-14|2025-04-11_2025-05-10|2025-09-12_2025-10-11
0.3,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2021-11-11_2021-12-10
