آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,5,3,2,60.0,40.0,1.5,2018-04-11_2018-04-25|2018-07-12_2018-07-26|2021-09-11_2021-09-25|2022-12-10_2022-12-24|2024-05-15_2024-05-29
0.0,1,CPI m/m,Neutral,3,1,2,33.3,66.7,0.5,2018-12-12_2018-12-26|2019-06-12_2019-06-26|2019-08-10_2019-08-24
0.0,1,CPI m/m,Bad,4,2,2,50.0,50.0,1.0,2020-07-11_2020-07-25|2022-10-13_2022-10-27|2023-10-12_2023-10-26|2025-09-11_2025-09-25
0.1,1,CPI m/m,Neutral,6,2,4,33.3,66.7,0.5,2018-04-11_2018-04-25|2018-07-12_2018-07-26|2018-12-12_2018-12-26|2019-06-12_2019-06-26|2019-08-10_2019-08-24|2020-07-11_2020-07-25
0.1,1,CPI m/m,Good,3,2,1,66.7,33.3,2.0,2021-09-11_2021-09-25|2022-12-10_2022-12-24|2024-05-15_2024-05-29
0.1,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2022-10-13_2022-10-27|2023-10-12_2023-10-26|2025-09-11_2025-09-25
0.2,1,CPI m/m,Neutral,12,6,6,50.0,50.0,1.0,2018-04-11_2018-04-25|2018-07-12_2018-07-26|2018-12-12_2018-12-26|2019-06-12_2019-06-26|2019-08-10_2019-08-24|2020-07-11_2020-07-25|2021-09-11_2021-09-25|2022-10-13_2022-10-27|2022-12-10_2022-12-24|2023-10-12_2023-10-26|2024-05-15_2024-05-29|2025-09-11_2025-09-25
0.3,1,CPI m/m,Neutral,12,6,6,50.0,50.0,1.0,2018-04-11_2018-04-25|2018-07-12_2018-07-26|2018-12-12_2018-12-26|2019-06-12_2019-06-26|2019-08-10_2019-08-24|2020-07-11_2020-07-25|2021-09-11_2021-09-25|2022-10-13_2022-10-27|2022-12-10_2022-12-24|2023-10-12_2023-10-26|2024-05-15_2024-05-29|2025-09-11_2025-09-25
0.0,1,Core CPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2018-04-11_2018-04-25|2018-07-12_2018-07-26|2018-12-12_2018-12-26|2023-10-12_2023-10-26|2024-05-15_2024-05-29|2025-09-11_2025-09-25
0.0,1,Core CPI m/m,Good,3,1,2,33.3,66.7,0.5,2019-06-12_2019-06-26|2021-09-11_2021-09-25|2022-12-10_2022-12-24
0.0,1,Core CPI m/m,Bad,3,1,2,33.3,66.7,0.5,2019-08-10_2019-08-24|2020-07-11_2020-07-25|2022-10-13_2022-10-27
0.1,1,Core CPI m/m,Neutral,10,5,5,50.0,50.0,1.0,2018-04-11_2018-04-25|2018-07-12_2018-07-26|2018-12-12_2018-12-26|2019-06-12_2019-06-26|2019-08-10_2019-08-24|2020-07-11_2020-07-25|2022-12-10_2022-12-24|2023-10-12_2023-10-26|2024-05-15_2024-05-29|2025-09-11_2025-09-25
0.1,1,Core CPI m/m,Good,1,0,1,0.0,100.0,0.0,2021-09-11_2021-09-25
0.1,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-10-13_2022-10-27
0.2,1,Core CPI m/m,Neutral,12,6,6,50.0,50.0,1.0,2018-04-11_2018-04-25|2018-07-12_2018-07-26|2018-12-12_2018-12-26|2019-06-12_2019-06-26|2019-08-10_2019-08-24|2020-07-11_2020-07-25|2021-09-11_2021-09-25|2022-10-13_2022-10-27|2022-12-10_2022-12-24|2023-10-12_2023-10-26|2024-05-15_2024-05-29|2025-09-11_2025-09-25
0.3,1,Core CPI m/m,Neutral,12,6,6,50.0,50.0,1.0,2018-04-11_2018-04-25|2018-07-12_2018-07-26|2018-12-12_2018-12-26|2019-06-12_2019-06-26|2019-08-10_2019-08-24|2020-07-11_2020-07-25|2021-09-11_2021-09-25|2022-10-13_2022-10-27|2022-12-10_2022-12-24|2023-10-12_2023-10-26|2024-05-15_2024-05-29|2025-09-11_2025-09-25
