آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,1,0,1,0.0,100.0,0.0,2016-09-22_2016-10-21
0.0,1,CPI m/m,Bad,3,3,0,100.0,0.0,inf,2023-12-15_2024-01-13|2024-09-19_2024-10-18|2025-01-31_2025-03-01
0.0,1,CPI m/m,Good,1,0,1,0.0,100.0,0.0,2024-06-13_2024-07-12
0.1,1,CPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2016-09-22_2016-10-21|2023-12-15_2024-01-13|2024-09-19_2024-10-18
0.1,1,CPI m/m,Good,1,0,1,0.0,100.0,0.0,2024-06-13_2024-07-12
0.1,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2025-01-31_2025-03-01
0.2,1,CPI m/m,Neutral,5,3,2,60.0,40.0,1.5,2016-09-22_2016-10-21|2023-12-15_2024-01-13|2024-06-13_2024-07-12|2024-09-19_2024-10-18|2025-01-31_2025-03-01
0.3,1,CPI m/m,Neutral,5,3,2,60.0,40.0,1.5,2016-09-22_2016-10-21|2023-12-15_2024-01-13|2024-06-13_2024-07-12|2024-09-19_2024-10-18|2025-01-31_2025-03-01
0.0,1,Core CPI m/m,Good,2,0,2,0.0,100.0,0.0,2016-09-22_2016-10-21|2024-06-13_2024-07-12
0.0,1,Core CPI m/m,Neutral,1,1,0,100.0,0.0,inf,2023-12-15_2024-01-13
0.0,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2024-09-19_2024-10-18|2025-01-31_2025-03-01
0.1,1,Core CPI m/m,Neutral,4,2,2,50.0,50.0,1.0,2016-09-22_2016-10-21|2023-12-15_2024-01-13|2024-06-13_2024-07-12|2024-09-19_2024-10-18
0.1,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2025-01-31_2025-03-01
0.2,1,Core CPI m/m,Neutral,5,3,2,60.0,40.0,1.5,2016-09-22_2016-10-21|2023-12-15_2024-01-13|2024-06-13_2024-07-12|2024-09-19_2024-10-18|2025-01-31_2025-03-01
0.3,1,Core CPI m/m,Neutral,5,3,2,60.0,40.0,1.5,2016-09-22_2016-10-21|2023-12-15_2024-01-13|2024-06-13_2024-07-12|2024-09-19_2024-10-18|2025-01-31_2025-03-01
0.0,1,PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2016-09-22_2016-10-21|2025-01-31_2025-03-01
