آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2018-01-11_2018-01-15|2018-03-12_2018-03-16|2018-11-12_2018-11-16|2021-01-10_2021-01-14|2022-03-06_2022-03-10|2023-05-10_2023-05-14
0.0,1,CPI m/m,Good,4,0,4,0.0,100.0,0.0,2018-05-06_2018-05-10|2018-10-08_2018-10-12|2022-12-11_2022-12-15|2023-07-09_2023-07-13
0.0,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2019-12-07_2019-12-11|2020-03-11_2020-03-15
0.1,1,CPI m/m,Neutral,11,6,5,54.5,45.5,1.2,2018-01-11_2018-01-15|2018-03-12_2018-03-16|2018-05-06_2018-05-10|2018-10-08_2018-10-12|2018-11-12_2018-11-16|2019-12-07_2019-12-11|2020-03-11_2020-03-15|2021-01-10_2021-01-14|2022-03-06_2022-03-10|2023-05-10_2023-05-14|2023-07-09_2023-07-13
0.1,1,CPI m/m,Good,1,0,1,0.0,100.0,0.0,2022-12-11_2022-12-15
0.2,1,CPI m/m,Neutral,12,6,6,50.0,50.0,1.0,2018-01-11_2018-01-15|2018-03-12_2018-03-16|2018-05-06_2018-05-10|2018-10-08_2018-10-12|2018-11-12_2018-11-16|2019-12-07_2019-12-11|2020-03-11_2020-03-15|2021-01-10_2021-01-14|2022-03-06_2022-03-10|2022-12-11_2022-12-15|2023-05-10_2023-05-14|2023-07-09_2023-07-13
0.3,1,CPI m/m,Neutral,12,6,6,50.0,50.0,1.0,2018-01-11_2018-01-15|2018-03-12_2018-03-16|2018-05-06_2018-05-10|2018-10-08_2018-10-12|2018-11-12_2018-11-16|2019-12-07_2019-12-11|2020-03-11_2020-03-15|2021-01-10_2021-01-14|2022-03-06_2022-03-10|2022-12-11_2022-12-15|2023-05-10_2023-05-14|2023-07-09_2023-07-13
0.0,1,Core CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2018-01-11_2018-01-15|2023-05-10_2023-05-14
0.0,1,Core CPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2018-03-12_2018-03-16|2018-11-12_2018-11-16|2019-12-07_2019-12-11|2020-03-11_2020-03-15|2021-01-10_2021-01-14|2022-03-06_2022-03-10
0.0,1,Core CPI m/m,Good,4,0,4,0.0,100.0,0.0,2018-05-06_2018-05-10|2018-10-08_2018-10-12|2022-12-11_2022-12-15|2023-07-09_2023-07-13
0.1,1,Core CPI m/m,Neutral,11,6,5,54.5,45.5,1.2,2018-01-11_2018-01-15|2018-03-12_2018-03-16|2018-05-06_2018-05-10|2018-10-08_2018-10-12|2018-11-12_2018-11-16|2019-12-07_2019-12-11|2020-03-11_2020-03-15|2021-01-10_2021-01-14|2022-03-06_2022-03-10|2022-12-11_2022-12-15|2023-07-09_2023-07-13
0.1,1,Core CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2023-05-10_2023-05-14
0.2,1,Core CPI m/m,Neutral,12,6,6,50.0,50.0,1.0,2018-01-11_2018-01-15|2018-03-12_2018-03-16|2018-05-06_2018-05-10|2018-10-08_2018-10-12|2018-11-12_2018-11-16|2019-12-07_2019-12-11|2020-03-11_2020-03-15|2021-01-10_2021-01-14|2022-03-06_2022-03-10|2022-12-11_2022-12-15|2023-05-10_2023-05-14|2023-07-09_2023-07-13
0.3,1,Core CPI m/m,Neutral,12,6,6,50.0,50.0,1.0,2018-01-11_2018-01-15|2018-03-12_2018-03-16|2018-05-06_2018-05-10|2018-10-08_2018-10-12|2018-11-12_2018-11-16|2019-12-07_2019-12-11|2020-03-11_2020-03-15|2021-01-10_2021-01-14|2022-03-06_2022-03-10|2022-12-11_2022-12-15|2023-05-10_2023-05-14|2023-07-09_2023-07-13
0.0,1,PPI m/m,Good,8,5,3,62.5,37.5,1.67,2018-01-11_2018-01-15|2018-05-06_2018-05-10|2018-09-08_2018-09-12|2020-03-11_2020-03-15|2021-01-15_2021-01-19|2023-05-10_2023-05-14|2023-07-09_2023-07-13|2025-09-06_2025-09-10
0.0,1,PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2018-03-12_2018-03-16|2018-11-07_2018-11-11|2019-04-11_2019-04-15
0.0,1,PPI m/m,Neutral,3,1,2,33.3,66.7,0.5,2018-10-08_2018-10-12|2022-06-14_2022-06-18|2026-01-14_2026-01-18
0.1,1,PPI m/m,Good,5,5,0,100.0,0.0,inf,2018-01-11_2018-01-15|2018-09-08_2018-09-12|2020-03-11_2020-03-15|2021-01-15_2021-01-19|2025-09-06_2025-09-10
0.1,1,PPI m/m,Neutral,7,2,5,28.6,71.4,0.4,2018-03-12_2018-03-16|2018-05-06_2018-05-10|2018-10-08_2018-10-12|2022-06-14_2022-06-18|2023-05-10_2023-05-14|2023-07-09_2023-07-13|2026-01-14_2026-01-18
0.1,1,PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2018-11-07_2018-11-11|2019-04-11_2019-04-15
0.2,1,PPI m/m,Good,4,4,0,100.0,0.0,inf,2018-01-11_2018-01-15|2018-09-08_2018-09-12|2020-03-11_2020-03-15|2025-09-06_2025-09-10
0.2,1,PPI m/m,Neutral,8,3,5,37.5,62.5,0.6,2018-03-12_2018-03-16|2018-05-06_2018-05-10|2018-10-08_2018-10-12|2021-01-15_2021-01-19|2022-06-14_2022-06-18|2023-05-10_2023-05-14|2023-07-09_2023-07-13|2026-01-14_2026-01-18
0.2,1,PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2018-11-07_2018-11-11|2019-04-11_2019-04-15
0.3,1,PPI m/m,Good,4,4,0,100.0,0.0,inf,2018-01-11_2018-01-15|2018-09-08_2018-09-12|2020-03-11_2020-03-15|2025-09-06_2025-09-10
0.3,1,PPI m/m,Neutral,9,3,6,33.3,66.7,0.5,2018-03-12_2018-03-16|2018-05-06_2018-05-10|2018-10-08_2018-10-12|2019-04-11_2019-04-15|2021-01-15_2021-01-19|2022-06-14_2022-06-18|2023-05-10_2023-05-14|2023-07-09_2023-07-13|2026-01-14_2026-01-18
0.3,1,PPI m/m,Bad,1,1,0,100.0,0.0,inf,2018-11-07_2018-11-11
0.0,1,Core PPI m/m,Good,7,5,2,71.4,28.6,2.5,2018-01-11_2018-01-15|2018-09-08_2018-09-12|2020-03-11_2020-03-15|2022-06-14_2022-06-18|2023-07-09_2023-07-13|2025-09-06_2025-09-10|2026-01-14_2026-01-18
