آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Good,17,8,9,47.1,52.9,0.89,2019-02-14_2019-02-23|2019-03-13_2019-03-22|2019-12-12_2019-12-21|2020-01-15_2020-01-24|2020-03-12_2020-03-21|2020-05-13_2020-05-22|2021-01-14_2021-01-23|2022-01-13_2022-01-22|2022-03-11_2022-03-20|2022-08-11_2022-08-20|2023-04-13_2023-04-22|2023-05-11_2023-05-20|2023-06-14_2023-06-23|2023-11-15_2023-11-24|2024-04-11_2024-04-20|2025-04-11_2025-04-20|2025-06-12_2025-06-21
0.0,1,PPI m/m,Bad,12,9,3,75.0,25.0,3.0,2019-04-11_2019-04-20|2019-11-14_2019-11-23|2021-03-11_2021-03-20|2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-07-14_2022-07-23|2023-02-15_2023-02-24|2024-03-13_2024-03-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2025-08-13_2025-08-22
0.0,1,PPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2020-12-11_2020-12-20|2022-06-11_2022-06-20|2023-12-13_2023-12-22|2024-11-14_2024-11-23
0.1,1,PPI m/m,Good,12,5,7,41.7,58.3,0.71,2019-02-14_2019-02-23|2019-12-12_2019-12-21|2020-03-12_2020-03-21|2020-05-13_2020-05-22|2021-01-14_2021-01-23|2022-01-13_2022-01-22|2022-03-11_2022-03-20|2022-08-11_2022-08-20|2023-04-13_2023-04-22|2023-06-14_2023-06-23|2023-11-15_2023-11-24|2025-04-11_2025-04-20
0.1,1,PPI m/m,Neutral,12,9,3,75.0,25.0,3.0,2019-03-13_2019-03-22|2020-01-15_2020-01-24|2020-12-11_2020-12-20|2021-03-11_2021-03-20|2022-06-11_2022-06-20|2023-05-11_2023-05-20|2023-12-13_2023-12-22|2024-04-11_2024-04-20|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-11-14_2024-11-23|2025-06-12_2025-06-21
0.1,1,PPI m/m,Bad,9,6,3,66.7,33.3,2.0,2019-04-11_2019-04-20|2019-11-14_2019-11-23|2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-07-14_2022-07-23|2023-02-15_2023-02-24|2024-03-13_2024-03-22|2025-08-13_2025-08-22
0.2,1,PPI m/m,Neutral,19,12,7,63.2,36.8,1.71,2019-02-14_2019-02-23|2019-03-13_2019-03-22|2019-11-14_2019-11-23|2019-12-12_2019-12-21|2020-01-15_2020-01-24|2020-12-11_2020-12-20|2021-01-14_2021-01-23|2021-03-11_2021-03-20|2022-01-13_2022-01-22|2022-03-11_2022-03-20|2022-06-11_2022-06-20|2023-05-11_2023-05-20|2023-06-14_2023-06-23|2023-12-13_2023-12-22|2024-04-11_2024-04-20|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-11-14_2024-11-23|2025-06-12_2025-06-21
0.2,1,PPI m/m,Bad,8,5,3,62.5,37.5,1.67,2019-04-11_2019-04-20|2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-07-14_2022-07-23|2023-02-15_2023-02-24|2024-03-13_2024-03-22|2025-08-13_2025-08-22
0.2,1,PPI m/m,Good,6,3,3,50.0,50.0,1.0,2020-03-12_2020-03-21|2020-05-13_2020-05-22|2022-08-11_2022-08-20|2023-04-13_2023-04-22|2023-11-15_2023-11-24|2025-04-11_2025-04-20
0.3,1,PPI m/m,Neutral,22,14,8,63.6,36.4,1.75,2019-02-14_2019-02-23|2019-03-13_2019-03-22|2019-04-11_2019-04-20|2019-11-14_2019-11-23|2019-12-12_2019-12-21|2020-01-15_2020-01-24|2020-12-11_2020-12-20|2021-01-14_2021-01-23|2021-03-11_2021-03-20|2022-01-13_2022-01-22|2022-03-11_2022-03-20|2022-06-11_2022-06-20|2023-02-15_2023-02-24|2023-05-11_2023-05-20|2023-06-14_2023-06-23|2023-12-13_2023-12-22|2024-03-13_2024-03-22|2024-04-11_2024-04-20|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-11-14_2024-11-23|2025-06-12_2025-06-21
0.3,1,PPI m/m,Good,6,3,3,50.0,50.0,1.0,2020-03-12_2020-03-21|2020-05-13_2020-05-22|2022-08-11_2022-08-20|2023-04-13_2023-04-22|2023-11-15_2023-11-24|2025-04-11_2025-04-20
0.3,1,PPI m/m,Bad,5,3,2,60.0,40.0,1.5,2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-07-14_2022-07-23|2025-08-13_2025-08-22
