آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,6,6,0,100.0,0.0,inf,2021-03-06_2021-03-10|2022-04-10_2022-04-14|2023-03-11_2023-03-15|2024-08-12_2024-08-16|2024-11-10_2024-11-14|2025-01-14_2025-01-18
0.0,1,CPI m/m,Bad,8,3,5,37.5,62.5,0.6,2021-05-10_2021-05-14|2021-06-09_2021-06-13|2021-11-06_2021-11-10|2022-01-10_2022-01-14|2022-02-09_2022-02-13|2023-12-11_2023-12-15|2024-10-06_2024-10-10|2025-09-11_2025-09-15
0.0,1,CPI m/m,Good,6,6,0,100.0,0.0,inf,2022-08-08_2022-08-12|2022-11-06_2022-11-10|2023-11-11_2023-11-15|2024-06-08_2024-06-12|2024-07-08_2024-07-12|2025-03-10_2025-03-14
0.1,1,CPI m/m,Neutral,12,10,2,83.3,16.7,5.0,2021-03-06_2021-03-10|2022-01-10_2022-01-14|2022-04-10_2022-04-14|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2023-12-11_2023-12-15|2024-06-08_2024-06-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2024-11-10_2024-11-14|2025-01-14_2025-01-18|2025-03-10_2025-03-14
0.1,1,CPI m/m,Bad,5,2,3,40.0,60.0,0.67,2021-05-10_2021-05-14|2021-06-09_2021-06-13|2021-11-06_2021-11-10|2022-02-09_2022-02-13|2025-09-11_2025-09-15
0.1,1,CPI m/m,Good,3,3,0,100.0,0.0,inf,2022-08-08_2022-08-12|2022-11-06_2022-11-10|2024-07-08_2024-07-12
0.2,1,CPI m/m,Neutral,18,15,3,83.3,16.7,5.0,2021-03-06_2021-03-10|2021-06-09_2021-06-13|2022-01-10_2022-01-14|2022-02-09_2022-02-13|2022-04-10_2022-04-14|2022-08-08_2022-08-12|2022-11-06_2022-11-10|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2023-12-11_2023-12-15|2024-06-08_2024-06-12|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2024-11-10_2024-11-14|2025-01-14_2025-01-18|2025-03-10_2025-03-14|2025-09-11_2025-09-15
0.2,1,CPI m/m,Bad,2,0,2,0.0,100.0,0.0,2021-05-10_2021-05-14|2021-11-06_2021-11-10
0.3,1,CPI m/m,Neutral,18,15,3,83.3,16.7,5.0,2021-03-06_2021-03-10|2021-06-09_2021-06-13|2022-01-10_2022-01-14|2022-02-09_2022-02-13|2022-04-10_2022-04-14|2022-08-08_2022-08-12|2022-11-06_2022-11-10|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2023-12-11_2023-12-15|2024-06-08_2024-06-12|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2024-11-10_2024-11-14|2025-01-14_2025-01-18|2025-03-10_2025-03-14|2025-09-11_2025-09-15
0.3,1,CPI m/m,Bad,2,0,2,0.0,100.0,0.0,2021-05-10_2021-05-14|2021-11-06_2021-11-10
0.0,1,Core CPI m/m,Good,9,9,0,100.0,0.0,inf,2021-03-06_2021-03-10|2022-04-10_2022-04-14|2022-08-08_2022-08-12|2022-11-06_2022-11-10|2023-11-11_2023-11-15|2024-06-08_2024-06-12|2024-07-08_2024-07-12|2025-01-14_2025-01-18|2025-03-10_2025-03-14
0.0,1,Core CPI m/m,Bad,7,2,5,28.6,71.4,0.4,2021-05-10_2021-05-14|2021-06-09_2021-06-13|2021-11-06_2021-11-10|2022-01-10_2022-01-14|2022-02-09_2022-02-13|2023-03-11_2023-03-15|2024-10-06_2024-10-10
0.0,1,Core CPI m/m,Neutral,4,4,0,100.0,0.0,inf,2023-12-11_2023-12-15|2024-08-12_2024-08-16|2024-11-10_2024-11-14|2025-09-11_2025-09-15
0.1,1,Core CPI m/m,Neutral,14,11,3,78.6,21.4,3.67,2021-03-06_2021-03-10|2022-01-10_2022-01-14|2022-02-09_2022-02-13|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2023-12-11_2023-12-15|2024-06-08_2024-06-12|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2024-11-10_2024-11-14|2025-01-14_2025-01-18|2025-03-10_2025-03-14|2025-09-11_2025-09-15
0.1,1,Core CPI m/m,Bad,3,1,2,33.3,66.7,0.5,2021-05-10_2021-05-14|2021-06-09_2021-06-13|2021-11-06_2021-11-10
0.1,1,Core CPI m/m,Good,3,3,0,100.0,0.0,inf,2022-04-10_2022-04-14|2022-08-08_2022-08-12|2022-11-06_2022-11-10
0.2,1,Core CPI m/m,Neutral,19,15,4,78.9,21.1,3.75,2021-03-06_2021-03-10|2021-06-09_2021-06-13|2021-11-06_2021-11-10|2022-01-10_2022-01-14|2022-02-09_2022-02-13|2022-04-10_2022-04-14|2022-08-08_2022-08-12|2022-11-06_2022-11-10|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2023-12-11_2023-12-15|2024-06-08_2024-06-12|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2024-11-10_2024-11-14|2025-01-14_2025-01-18|2025-03-10_2025-03-14|2025-09-11_2025-09-15
0.2,1,Core CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2021-05-10_2021-05-14
0.3,1,Core CPI m/m,Neutral,19,15,4,78.9,21.1,3.75,2021-03-06_2021-03-10|2021-06-09_2021-06-13|2021-11-06_2021-11-10|2022-01-10_2022-01-14|2022-02-09_2022-02-13|2022-04-10_2022-04-14|2022-08-08_2022-08-12|2022-11-06_2022-11-10|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2023-12-11_2023-12-15|2024-06-08_2024-06-12|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2024-11-10_2024-11-14|2025-01-14_2025-01-18|2025-03-10_2025-03-14|2025-09-11_2025-09-15
0.3,1,Core CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2021-05-10_2021-05-14
0.0,1,PPI m/m,Bad,4,3,1,75.0,25.0,3.0,2021-05-10_2021-05-14|2022-04-10_2022-04-14|2024-02-14_2024-02-18|2024-07-08_2024-07-12
0.0,1,PPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2021-11-06_2021-11-10|2023-12-11_2023-12-15|2024-11-10_2024-11-14|2026-01-14_2026-01-18
0.0,1,PPI m/m,Good,11,10,1,90.9,9.1,10.0,2022-01-10_2022-01-14|2022-03-11_2022-03-15|2022-08-08_2022-08-12|2023-01-15_2023-01-19|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2024-06-13_2024-06-17|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-03-10_2025-03-14|2025-09-06_2025-09-10
0.1,1,PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-05-10_2021-05-14|2022-04-10_2022-04-14|2024-02-14_2024-02-18
0.1,1,PPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2021-11-06_2021-11-10|2023-12-11_2023-12-15|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-11-10_2024-11-14|2026-01-14_2026-01-18
0.1,1,PPI m/m,Good,10,9,1,90.0,10.0,9.0,2022-01-10_2022-01-14|2022-03-11_2022-03-15|2022-08-08_2022-08-12|2023-01-15_2023-01-19|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2024-06-13_2024-06-17|2025-01-14_2025-01-18|2025-03-10_2025-03-14|2025-09-06_2025-09-10
0.2,1,PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2021-05-10_2021-05-14|2022-04-10_2022-04-14
0.2,1,PPI m/m,Neutral,10,8,2,80.0,20.0,4.0,2021-11-06_2021-11-10|2022-01-10_2022-01-14|2022-03-11_2022-03-15|2023-12-11_2023-12-15|2024-02-14_2024-02-18|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-11-10_2024-11-14|2025-01-14_2025-01-18|2026-01-14_2026-01-18
0.2,1,PPI m/m,Good,7,7,0,100.0,0.0,inf,2022-08-08_2022-08-12|2023-01-15_2023-01-19|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2024-06-13_2024-06-17|2025-03-10_2025-03-14|2025-09-06_2025-09-10
